/* DATA DESCRIPTION:
Citation:	Gkinis, Vasileios; Simonsen, Sebastian B; Buchardt, Susanne L; White, James W C; Vinther, Bo M (2014): Accumulation reconstruction using a DJ model for the NorthGRIP site. PANGAEA, https://doi.org/10.1594/PANGAEA.871564, 
	In supplement to: Gkinis, V et al. (2014): Water isotope diffusion rates from the NorthGRIP ice core for the last 16,000 years – Glaciological and paleoclimatic implications. Earth and Planetary Science Letters, 405, 132-141, https://doi.org/10.1016/j.epsl.2014.08.022
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: http://www.gfy.ku.dk/~www-glac/ngrip/index_eng.htm)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 22.375 m * MAXIMUM DEPTH, ice/snow: 1635.375 m
Event(s):	NGRIP * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2925.0 m * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Age [ka b2k] (Age) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Accumulation rate in ice equivalent per year [m/a] (Acc rate ice per year) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Annual layer thickness [m] (Ann layer thick) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558) * COMMENT: The annual layer thickness lambda is based on the GICC05 chronology
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	9681 data points
*/
Depth ice/snow [m]	Age [ka b2k]	Acc rate ice per year [m/a]	Ann layer thick [m]
22.375	0.0669	0.3033	0.3030
22.875	0.0687	0.3009	0.3006
23.375	0.0704	0.2984	0.2981
23.875	0.0722	0.2960	0.2957
24.375	0.0739	0.2936	0.2933
24.875	0.0757	0.2912	0.2909
25.375	0.0775	0.2888	0.2885
25.875	0.0792	0.2864	0.2861
26.375	0.0810	0.2846	0.2843
26.875	0.0829	0.2834	0.2831
27.375	0.0847	0.2821	0.2818
27.875	0.0865	0.2809	0.2806
28.375	0.0884	0.2797	0.2793
28.875	0.0902	0.2785	0.2781
29.375	0.0921	0.2773	0.2769
29.875	0.0939	0.2762	0.2756
30.375	0.0957	0.2750	0.2744
30.875	0.0976	0.2738	0.2731
31.375	0.0994	0.2726	0.2719
31.875	0.1013	0.2718	0.2711
32.375	0.1032	0.2713	0.2705
32.875	0.1051	0.2707	0.2699
33.375	0.1070	0.2701	0.2692
33.875	0.1088	0.2696	0.2686
34.375	0.1107	0.2690	0.2680
34.875	0.1126	0.2685	0.2674
35.375	0.1145	0.2679	0.2668
35.875	0.1164	0.2673	0.2662
36.375	0.1183	0.2668	0.2656
36.875	0.1202	0.2662	0.2650
37.375	0.1221	0.2659	0.2646
37.875	0.1240	0.2656	0.2642
38.375	0.1259	0.2652	0.2638
38.875	0.1278	0.2649	0.2634
39.375	0.1298	0.2646	0.2630
39.875	0.1317	0.2642	0.2627
40.375	0.1336	0.2639	0.2623
40.875	0.1355	0.2636	0.2619
41.375	0.1374	0.2632	0.2615
41.875	0.1393	0.2629	0.2611
42.375	0.1413	0.2618	0.2599
42.875	0.1434	0.2602	0.2583
43.375	0.1454	0.2586	0.2567
43.875	0.1474	0.2570	0.2550
44.375	0.1495	0.2554	0.2534
44.875	0.1515	0.2538	0.2518
45.375	0.1536	0.2522	0.2501
45.875	0.1556	0.2506	0.2485
46.375	0.1577	0.2490	0.2469
46.875	0.1597	0.2474	0.2452
47.375	0.1618	0.2468	0.2446
47.875	0.1639	0.2463	0.2440
48.375	0.1659	0.2458	0.2435
48.875	0.1680	0.2453	0.2430
49.375	0.1701	0.2449	0.2425
49.875	0.1722	0.2444	0.2420
50.375	0.1743	0.2439	0.2414
50.875	0.1764	0.2434	0.2409
51.375	0.1784	0.2430	0.2404
51.875	0.1805	0.2423	0.2397
