Oxygen Isotope Records Assimilated,,,,,,,,
Released July 2020,,,,,,,,
Correction Description:,,,,,,,,
SMOW = Standard Mean Ocean Water,,,,,,,,
latflow = latitude difference between the site of snow deposition and the ice-core site,,,,,,,,
elevflow = elevation difference between the site of snow deposition and the ice-core site,,,,,,,,
The corrections were implemented in the order that they are listed.,,,,,,,,
Units:,,,,,,,,
Time is in years before 1950 CE (BP).,,,,,,,,
Oxygen isotope ratios (d18O) are given as per mil deviations relative to the mean for the reference period.,,,,,,,,
Values are for the middle of the interval. For example the value at time 100 BP is the average over time 75 to 125 BP.,,,,,,,,
The timescales are all equivalent to the GICC05 timescale except for the Dye3 timescale prior to 11700 BP.,,,,,,,,
Missing data = -999999,,,,,,,,
Reference for Anomaly:,,,,,,,,
mean over 100 to -50 BP,,,,,,,,
Citations:,,,,,,,,
For Agassiz and Camp Century and Dye3 and Renland cite: Vinther B. M. and Buchardt S. L. and Clausen H. B. and Dahl-Jensen D. and Johnsen S. J. and Fisher D. and Koerner R. and Raynaud D. and Lipenkov V. and Andersen K. K. et al.: Holocene thinning of the Greenland ice sheet. Nature. 461. 385. 2009.,,,,,,,,
For Dye3 cite: Dansgaard W. and Clausen H. and Gundestrup N. and Hammer C. and Johnsen S. and Kristinsdottir P. and Reeh N.: A new Greenland deep ice core. Science. 218. 1273-1277. 1982.,,,,,,,,
For Dye3 timescale prior to 11700 BP cite: Badgeley J. A. and Steig E. J. and Hakim G. J. and Fudge T. J.: Greenland temperature and precipitation over the last 20000 years using data assimilation. Climate of the Past. in press. 2020. (preprint: https://doi.org/10.5194/cp-2019-164),,,,,,,,
For GISP2 cite: Grootes P. and Stuiver M.: Oxygen 18/16 variability in Greenland snow and ice with 10^-3- to 10^5-year time resolution. Journal of Geophysical Research: Oceans. 102. 26 455-26 470. 1997.,,,,,,,,
For GISP2 cite: Stuiver M. and Grootes P. M.: GISP2 oxygen isotope ratios. Quaternary Research. 53. 277-284. 2000.,,,,,,,,
For GRIP cite: Johnsen S. J. and Clausen H. B. and Dansgaard W. and Gundestrup N. S. and Hammer C. U. and Andersen U. and Andersen K. K. and Hvidberg C. S. and Dahl-Jensen D. and Steffensen J. P. et al.: The d18O record along the Greenland Ice Core Project deep ice core and the problem of possible Eemian climatic instability. Journal of Geophysical Research: Oceans. 102. 26 397-26 410. 1997.,,,,,,,,
For NEEM cite: Dahl-Jensen D. and Albert M. and Aldahan A. and Azuma N. and Balslev-Clausen D. and Baumgartner M. and Berggren A.-M. and Bigler M. and Binder T. and Blunier T. et al.: Eemian interglacial reconstructed from a Greenland folded ice core. Nature. 493. 489. 2013.,,,,,,,,
For NEEM cite: Schupbach S. and Fischer H. and Bigler M. and Erhardt T. and Gfeller G. and Leuenberger D. and Mini O. and Mulvaney R. and Abram N. J. and Fleet L. et al.: Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene. Nature communications. 9. 1476. 2018.,,,,,,,,
NEEM was additionally compiled from personal communication with Bo Vinther.,,,,,,,,
For NGRIP cite: Andersen K. K. and Azuma N. and Barnola J.-M. and Bigler M. and Biscaye P. and Caillon N. and Chappellaz J. and Clausen H. B. and Dahl-Jensen D. and Fischer H. et al.: High-resolution record of Northern Hemisphere climate extending into the last interglacial period. Nature. 431. 147. 2004.,,,,,,,,
Data:,,,,,,,,
