Oxygen Isotope Records Raw,,,,,,,,,,,,,,,
Released July 2020,,,,,,,,,,,,,,,
Units:,,,,,,,,,,,,,,,
Time is in years before 1950 CE (BP).,,,,,,,,,,,,,,,
Oxygen isotope ratios (d18O) are expressed as per mil deviations from the VSMOW water standard.,,,,,,,,,,,,,,,
Values are for the middle of the interval. For example the value at time 80 BP is the average over time 70 to 90 BP.,,,,,,,,,,,,,,,
The timescales are all equivalent to the GICC05 timescale except for the Dye3 timescale prior to 11700 BP.,,,,,,,,,,,,,,,
Missing data = -999999,,,,,,,,,,,,,,,
Citations:,,,,,,,,,,,,,,,
For Agassiz and Camp Century and Dye3 and Renland cite: Vinther B. M. and Buchardt S. L. and Clausen H. B. and Dahl-Jensen D. and Johnsen S. J. and Fisher D. and Koerner R. and Raynaud D. and Lipenkov V. and Andersen K. K. et al.: Holocene thinning of the Greenland ice sheet. Nature. 461. 385. 2009.,,,,,,,,,,,,,,,
For Dye3 cite: Dansgaard W. and Clausen H. and Gundestrup N. and Hammer C. and Johnsen S. and Kristinsdottir P. and Reeh N.: A new Greenland deep ice core. Science. 218. 1273-1277. 1982.,,,,,,,,,,,,,,,
For Dye3 timescale prior to 11700 BP cite: Badgeley J. A. and Steig E. J. and Hakim G. J. and Fudge T. J.: Greenland temperature and precipitation over the last 20000 years using data assimilation. Climate of the Past. in press. 2020. (preprint: https://doi.org/10.5194/cp-2019-164),,,,,,,,,,,,,,,
For GISP2 cite: Grootes P. and Stuiver M.: Oxygen 18/16 variability in Greenland snow and ice with 10^-3- to 10^5-year time resolution. Journal of Geophysical Research: Oceans. 102. 26 455-26 470. 1997.,,,,,,,,,,,,,,,
For GISP2 cite: Stuiver M. and Grootes P. M.: GISP2 oxygen isotope ratios. Quaternary Research. 53. 277-284. 2000.,,,,,,,,,,,,,,,
For GRIP cite: Johnsen S. J. and Clausen H. B. and Dansgaard W. and Gundestrup N. S. and Hammer C. U. and Andersen U. and Andersen K. K. and Hvidberg C. S. and Dahl-Jensen D. and Steffensen J. P. et al.: The d18O record along the Greenland Ice Core Project deep ice core and the problem of possible Eemian climatic instability. Journal of Geophysical Research: Oceans. 102. 26 397-26 410. 1997.,,,,,,,,,,,,,,,
For NEEM cite: Dahl-Jensen D. and Albert M. and Aldahan A. and Azuma N. and Balslev-Clausen D. and Baumgartner M. and Berggren A.-M. and Bigler M. and Binder T. and Blunier T. et al.: Eemian interglacial reconstructed from a Greenland folded ice core. Nature. 493. 489. 2013.,,,,,,,,,,,,,,,
For NEEM cite: Schupbach S. and Fischer H. and Bigler M. and Erhardt T. and Gfeller G. and Leuenberger D. and Mini O. and Mulvaney R. and Abram N. J. and Fleet L. et al.: Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene. Nature communications. 9. 1476. 2018.,,,,,,,,,,,,,,,
NEEM was additionally compiled from personal communication with Bo Vinther.,,,,,,,,,,,,,,,
For NGRIP cite: Andersen K. K. and Azuma N. and Barnola J.-M. and Bigler M. and Biscaye P. and Caillon N. and Chappellaz J. and Clausen H. B. and Dahl-Jensen D. and Fischer H. et al.: High-resolution record of Northern Hemisphere climate extending into the last interglacial period. Nature. 431. 147. 2004.,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,
Agassiz Age,Agassiz d18O,Camp Century Age,Camp Century d18O,Dye3 Age,Dye3 d18O,GISP2 Age,GISP2 d18O,GRIP Age,GRIP d18O,NEEM Age,NEEM d18O,NGRIP Age,NGRIP d18O,Renland Age,Renland d18O
-20,-27.18,40,-28.84,-20,-27.36,40,-35.16,-20,-35.13,-10.834,-31.82,-40,-35.16,-20,-27.14
0,-27.03,60,-29.01,0,-27.06,60,-34.7,0,-35.55,-9.086,-34.25,-20,-35.82,0,-26.76
20,-27.24,80,-29.6,20,-27.36,80,-35.23,20,-35.16,-7.3375,-34.48,0,-35.11,20,-26.94
40,-27.25,100,-29.58,40,-27.87,100,-35.23,40,-35.59,-5.589,-34.84,20,-34.65,40,-27.86
60,-27.67,120,-29.61,60,-27.58,120,-35,60,-35.24,-3.8405,-31.77,40,-34.53,60,-27.63
80,-28.49,180,-29.02,80,-28.3,140,-35.01,80,-35.31,-2.2535,-30.74,60,-35.29,80,-27.23
100,-28.02,220,-29.52,100,-27.83,160,-34.99,100,-34.79,-0.833,-33.12,80,-35.02,100,-27.74
120,-27.84,240,-29.27,120,-28,180,-35.46,120,-35.14,0.801,-33.57,100,-35.02,120,-27.77
140,-27.8,260,-30.41,140,-27.73,200,-35.24,140,-35.39,2.653,-32.69,120,-35.78,140,-27.49
160,-27.62,280,-29.54,160,-27.77,220,-35.3,160,-34.93,4.5635,-34.23,140,-35.16,160,-27.38
180,-27.62,300,-29.77,180,-28.11,240,-35.37,180,-35.56,6.5545,-33.86,160,-35.61,180,-27.47
200,-28.31,320,-29.87,200,-27.77,260,-34.76,200,-35.11,8.292,-34.75,180,-35.12,200,-27.74
220,-28.47,340,-29.64,220,-27.83,280,-35.07,220,-35.11,9.7535,-32.54,200,-35.79,220,-27.65
240,-28.55,360,-29.3,240,-27.87,300,-35.36,240,-35.41,11.258,-35.54,220,-35.82,240,-27.97
260,-28.53,380,-29.08,260,-27.96,320,-34.96,260,-35.63,12.8295,-34.59,240,-35.36,260,-27.07
280,-28.02,400,-29.55,280,-27.61,340,-35.06,280,-34.9,14.424,-33.54,260,-36.05,280,-27.26
300,-28.36,420,-29.49,300,-27.89,360,-35.5,300,-35.43,16.0185,-31.59,280,-35.39,300,-27.35
320,-27.79,440,-28.59,320,-28.18,380,-34.88,320,-35.19,17.613,-33.03,300,-36.14,320,-27.63
340,-28.14,460,-29.67,340,-27.99,400,-35.05,340,-35.29,19.2075,-32.37,320,-35.33,340,-27.56
360,-27.72,480,-29.24,360,-27.75,420,-35.09,360,-34.97,20.8025,-29.65,340,-35.35,360,-27.34
380,-28.36,500,-29.06,380,-28.04,440,-35.17,380,-35.17,22.477,-31.68,360,-35.72,380,-27.61
400,-27.97,520,-28.81,400,-28.03,460,-35.24,400,-35.08,24.596,-33.83,380,-35.03,400,-27.13
420,-28.12,540,-29.58,420,-28.56,480,-34.85,420,-35.02,26.803,-33.87,400,-35.61,420,-27.01
440,-28.76,560,-29.31,440,-28.04,500,-34.98,440,-34.99,28.7325,-34.22,420,-35.82,440,-27.5
460,-28.05,580,-29.12,460,-27.65,520,-34.72,460,-35.56,30.6615,-33.09,440,-34.93,460,-27.32
480,-27.86,600,-29.6,480,-28.26,540,-35.04,480,-35.3,32.591,-33.53,460,-35.07,480,-27.48
500,-27.62,620,-30.32,500,-28.25,560,-35.16,500,-34.87,34.5205,-31.63,480,-35.87,500,-26.73
520,-27.81,640,-29.23,520,-28.1,580,-35.37,520,-35.71,36.4495,-35.12,500,-35.13,520,-27.58
540,-28.05,660,-29.23,540,-27.87,600,-35.33,540,-34.98,38.386,-33.91,520,-34.98,540,-26.71
