ATM aerosol concentrations

REFERENCES:

Dibb, J.E., and J.L. Jaffrezo. 1997. Air-snow exchange investigations at
Summit, Greenland: An overview. Journal of Geophysical Research 102:26795
26807.

Bergin, M.H., S.N. Pandis, C.I. Davidson, J.L. Jaffrezo, J.E. Dibb, A.G.
Russell, and H.D. Kuhns. 1996. Modeling of the processing and removal of
trace gas and aerosol species by Arctic radation fogs and comparison with
measurements. Journal of Geophysical Research 101:14465-14478.

Bergin, M.H., C.I. Davidson, J.E. Dibb, J.L. Jaffrezo, H.D. Huhns, and S.N.
Pandis. 1995. A simple model to estimate atmospheric concentrations of
aerosol chemical species based on snow core chemistry at Summit, Greenland.
Geophysical Research Letters 22:3517-3520.

Bergin, M.H., J.L. Jaffrezo, C.I. Davidson, J.E. Dibb, S.N. Pandis, R.
Hillamo, W. Maenhaut, H.D. Kuhns, and T. Makela. 1995. The contributions of
snow, fog, and dry deposition to the summer flux of anions and cations at
Summit, Greenland. Journal of Geophysical Research 100:16275-16288.

Legrand, M.R., and M. De Angelis. 1995. Origins and variations of light
carboxylic acids in polar precipitation. Journal of Geophysical Research
100:1445-1462.

Dibb, J.E., R.W. Talbot, and M.H. Bergin. 1994. Soluable acidic species in
air and snow at Summit, Greenland. Geophysical Research Letters 21:1627
1630.

Jaffrezo, J.L., C.I. Davidson, M.R. Legrand, and J.E. Dibb. 1994. Sulfate
and MSA in the air and snow on the Greenland ice sheet. Journal of
Geophysical Research 99:1241-1253.

DATA DESCRIPTION:

The data in the following tables are the measured aerosol concentrations
from the atmospheric sampling site (ATM) during the 1993 and 1994 summer
field seasons.  The concentrations are in units of nanomole per cubic
meter. The times in the tables are expressed as local Greenland time (i.e.
Greenwich Mean Time - 2 hrs). 

Aerosol filter sampling was conducted during the summers of 1993 and 1994
at the solar powered remote atmospheric sampling site located 28 km
southwest of the GISP2 camp (72.58N, 38.46W, 3205 m) in 1993 and 10 km
southwest of the GISP2 site in 1994.  Particles were collected on 90 mm
Teflon Zefluor filters (1 mm pore size).  The filter holders were open
faced and covered with a large polyethylene bucket to prevent the
collection of snow on the filter.  Vacuum pumps were located in a trench
beneath the surface.  Airflow was measured using a Rockwell gas meter. 
The filters were run for approximately 16 hours each day during routine
sampling periods excluding episodes of fog.  During intensive sampling
periods filters were changed every eight hours.  In all cases, the flow
rate was approximately 85 l min-1. All handling of the filters was done by
personnel wearing clean room garb and shoulder length plastic gloves. 
Filters were removed from the filter holders in the field and stored in
airtight Pyrex bottles.  All filters were kept frozen until analysis at
the Laboratoire de Glaciologie et Geophysique de l'Environement (LGGE) in
Grenoble, France.  In order to minimize the evaporation of volatile
aerosols on the filter, extraction took place in a clean hood in a cold
room at -12o C.  First, 1.0 ml of ultra pure methanol was added to the
bottle to wet the filter.  Then 9.0 ml of deionized water were added to
the bottle to dissolve the soluble particles.  Secondary extractions were
run on 5 of the 155 filters from the 1994 field season.  The average
efficiency of the primary extraction was determined to be 93% based on the
amount of soluble ions in the secondary extraction.  The filter extracts
were analyzed by ion chromatography for fluoride, lactate, acetate,
glycolate, formate, methane sulfonate, chloride, nitrate, sulfate,
oxalate, sodium, potassium, ammonium, magnesium, and calcium by ion
chromatography.  Detection limits for all three chemical species were
calculated as 3 times the standard deviation of the amount of material on
the field blanks divided by the volume of air drawn through each filter. 
While each filter sample had its own detection limits based on the
filtered air volume, the mean aerosol concentration detection limits for
1993 and 1994 are summarized in the detection limit table.  The
atmospheric concentrations were calculated by subtracting the mean
chemical mass on the blank filters from the mass on the sample filter. 


Average Detection Limits (nmol/m^3)								
---------------------------------------------------	
Year  MSA    NO3   SO4   Na   NH4  K     Mg    Ca	
1993  0.004  0.08  0.03  0.1  1.4  0.04  0.13  0.09	
1994  0.014  0.33  0.13  1.2  0.5  0.12  0.02  0.16	
----------------------------------------------------	

DATA:								


Date				Aerosol Concentrations (nmol/m^3)							
Start	Time	Stop	Time	MSA	NO3	SO4	Na	NH4	K	Mg	Ca
5/25/93	9:15	5/25/93	19:55	0.010	1.490	999999	999999	999999	999999	999999	999999
5/27/93	8:50	5/27/93	18:00	0.088	1.970	1.010	2.530	0.054	0.365	999999	999999
5/28/93	9:10	5/28/93	22:40	0.060	0.408	4.310	1.400	3.760	0.128	0.185	0.973
5/29/93	9:00	5/29/93	22:25	0.115	0.274	4.790	4.730	0.085	0.198	0.743	999999
5/30/93	9:00	5/30/93	23:00	0.046	1.200	8.650	8.340	0.272	0.514	1.650	999999
5/31/93	8:00	5/31/93	23:12	0.055	1.200	11.700	0.904	9.270	0.179	0.683	2.250
6/1/93	8:00	6/1/93	21:48	0.032	1.570	8.060	1.200	7.870	0.249	0.770	2.390
6/2/93	7:40	6/2/93	22:18	0.029	2.530	10.000	1.800	7.330	0.249	0.774	2.650
6/3/93	8:10	6/3/93	21:48	0.022	1.150	6.880	2.700	7.590	0.149	0.539	2.270
6/4/93	9:07	6/4/93	21:50	0.037	2.000	9.470	1.890	10.700	0.203	0.621	2.620
6/5/93	8:33	6/5/93	23:08	0.033	1.380	8.220	3.130	9.780	0.146	0.473	2.390
6/6/93	8:50	6/6/93	23:15	0.036	1.560	7.970	4.780	7.260	0.108	0.687	1.770
6/7/93	9:20	6/7/93	23:00	0.049	1.360	8.010	3.300	7.670	0.179	0.675	2.260
6/8/93	9:00	6/8/93	23:30	0.043	0.968	6.110	1.770	5.140	0.097	0.436	1.700
6/9/93	10:35	6/9/93	23:15	0.058	0.535	3.630	4.330	0.074	0.169	0.658	999999
6/10/93	7:50	6/10/93	22:50	0.042	0.479	3.610	3.080	0.128	0.578	999999	999999
6/11/93	8:55	6/11/93	23:30	0.034	0.663	3.720	3.110	0.284	0.513	999999	999999
6/12/93	8:45	6/12/93	23:00	0.040	1.000	4.660	3.160	0.975	0.973	999999	999999
6/13/93	8:35	6/13/93	22:55	0.024	0.495	3.600	2.410	0.399	0.523	999999	999999
6/14/93	8:50	6/14/93	22:25	0.019	0.516	3.660	2.320	0.462	0.263	999999	999999
6/15/93	8:27	6/15/93	21:55	0.035	0.234	4.010	3.590	0.051	0.156	0.578	999999
6/17/93	8:30	6/17/93	23:30	0.029	0.102	3.720	0.683	3.160	0.077	0.148	0.420
6/18/93	8:45	6/19/93	1:00	0.192	0.060	0.990	1.400	0.118	999999	999999	999999
6/19/93	8:40	6/19/93	22:10	0.053	2.040	2.020	0.215	999999	999999	999999	999999
6/20/93	8:10	6/20/93	20:30	0.075	1.540	2.490	0.091	0.205	999999	999999	999999
6/21/93	9:10	6/21/93	22:15	0.057	1.250	1.910	0.065	0.265	999999	999999	999999
6/22/93	8:10	6/23/93	0:15	0.071	0.116	3.290	2.620	0.044	0.136	0.330	999999
6/23/93	8:25	6/23/93	21:50	0.050	0.121	7.080	5.210	0.305	0.090	0.338	999999
6/24/93	6:39	6/24/93	21:20	0.071	3.340	7.460	0.615	0.435	999999	999999	999999
6/25/93	9:05	6/25/93	23:40	0.046	4.260	2.710	0.085	0.067	0.168	999999	999999
6/26/93	9:00	6/26/93	20:45	0.184	6.470	2.830	0.085	0.564	0.318	999999	999999
6/27/93	10:00	6/27/93	23:25	0.095	4.050	1.530	2.410	0.044	0.272	0.253	999999
6/28/93	8:30	6/28/93	22:15	0.174	3.310	1.770	0.243	0.148	999999	999999	999999
6/29/93	8:45	6/29/93	22:55	0.159	1.160	0.928	0.140	0.058	999999	999999	999999
6/30/93	8:35	6/30/93	23:05	0.281	1.560	0.933	0.156	0.169	999999	999999	999999
7/1/93	8:35	7/1/93	23:25	0.054	0.281	999999	999999	999999	999999	999999	999999
7/2/93	8:25	7/2/93	21:00	0.136	1.420	1.360	999999	999999	999999	999999	999999
7/3/93	8:15	7/3/93	22:50	0.056	0.750	0.906	0.041	999999	999999	999999	999999
7/4/93	8:30	7/4/93	11:20	0.175	0.760	999999	999999	999999	999999	999999	999999
