GISP2 Ions: Deep (D) Core (Detailed)

REFERENCES: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This file contains the GISP2 major ion concentrations in parts per billion
(ppb) by mass. Blanks (999999) in chemical species represent samples below
detection limits.  Firn samples were cleaned in the freezer by hand
scraping and placed in a pre-cleaned container.  The pieces were kept
frozen until analyzed.  Samples from 96 meters to 200 meters were cleaned
by rinsing with milli-Q water.  Samples below 200 meters were cleaned by
hand scraping after sectioning. 

DATA: 											

depth top (m)	depth bottom (m)	Na	NH4	K	Mg	Ca	Cl	NO3	SO4	age top (yr)	
age bottom (yr)

96.03	96.063	14.42	0.94	0.88	4.27	5.26	33.05	36.53	44.57	258.9	259.0
96.063	96.097	19.95	1.4	1.21	2.01	14.12	22.56	45.71	21.49	259.0	259.1
96.097	96.13	10.39	1.43	1.19	1.59	5.82	17.13	36.71	9.57	259.1	259.2
96.13	96.163	7.53	4.95	0.66	1.79	11.19	13.24	33.39	16.76	259.2	259.3
96.163	96.197	0.92	13.31	0.39	0.18	0.68	1.13	27.54	7.02	259.3	259.4
96.197	96.23	1.09	16.8	0.59	0.44	1.88	3.66	62.29	15.27	259.4	259.5
96.23	96.263	0.38	4.88	0.69	0.04	5.52	4.24	71.6	15.05	259.5	259.6
96.263	96.296	0.34	13.82	0.99	0.39	1.61	5.56	86.91	20.92	259.6	259.7
96.296	96.33	1.52	6.47	0.65	1.77	8.32	6.66	74.29	25.87	259.7	259.8
96.33	96.363	3.34	2.82	0.69	1.42	11.67	8.09	63.14	23.57	259.8	259.9
96.363	96.396	7.78	3.22	0.88	2.08	13.86	13.11	60.09	25.72	259.9	260.0
96.396	96.43	5.73	3.19	0.83	1.56	8.45	10.87	54.09	19.61	260.0	260.2
96.43	96.463	2.21	1.64	0.31	1.07	1.82	4.58	49.03	10.73	260.2	260.3
96.463	96.496	5.13	1.77	0.6	0.96	1.83	9.82	50.73	15.94	260.3	260.4
96.496	96.529	0.91	2.44	0.35	0.65	2.63	4.58	57.41	15.66	260.4	260.6
146	146.033	3.35	4.61	0.93	0.89	9.02	7.6	75	25.48	461.3	461.4
146.033	146.067	10.37	2.46	1.67	2.76	6.61	19.93	56.6	33.25	461.4	461.6
146.067	146.1	3.56	3.27	1.26	0.74	1.93	9.45	51.73	21.72	461.6	461.7
146.1	146.133	0.54	1.42	0.26	0.11	0.63	999999	52.34	7.46	461.7	461.8
146.133	146.167	1.01	2.19	0.53	0.6	3.53	3.07	62.31	19.99	461.8	461.9
146.167	146.2	4.57	3.47	5.6	0.3	1.65	13.09	65.66	24.85	461.9	462.0
146.2	146.233	1.83	5.61	0.97	2.19	12.15	8.85	71.16	45.14	462.0	462.3
146.233	146.266	1.97	4.8	0.84	1.51	9.93	6.51	68.74	21.75	462.3	462.7
146.266	146.3	7.32	2.46	0.95	1.97	12.52	12.09	61.06	26.72	462.7	463.0
146.3	146.333	6.61	2.07	0.68	2.03	5.8	12.37	49.53	19.43	463.0	463.1
146.333	146.366	3.37	1.98	0.71	0.75	2.91	7.04	45.58	17.17	463.1	463.2
146.366	146.4	1.17	1.91	0.67	0.58	3.57	1.14	44.2	12.66	463.2	463.3
146.4	146.433	0.58	2.88	0.64	0.23	1.13	3.88	58.11	14.57	463.3	463.4
146.433	146.466	1.02	3.73	1.54	0.28	1.07	4.75	66.28	18.59	463.4	463.6
146.466	146.5	1.2	20.62	2.02	1.36	4.88	7.73	103.85	30.8	463.6	463.7
202	202.033	9.47	1.89	0.85	2.08	1.66	19.96	45.83	23.47	702.7	702.9
202.033	202.067	0.9	2.71	0.73	0.3	1.31	5.18	66.23	25.48	702.9	703.1
