GISP 2 Ions: B core (0-200 meters)

REFERENCES: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This is the ion data set produced by the Glacier Research Group for the
GISP2 B core drilled at the GISP2 site during the summer of 1989.  The
data is bi-yearly, a combination of averages (approximately 2 year
averages) from the detailed sections analyzed and bi-years sections cut
between the detailed sections. Concentration values for each sample are
listed along with the top and bottom depth for each sample.  Depths are in
meters, concentration values are in micrograms/kilogram (ppb).  When no
data is available, the code 999999 appears.  See the file detionb.dat for
more information.

DATA:

depth top (m)	depth bottom (m)	Na	Nh4	K	Mg	Ca	Cl	NO3	SO4	age top (yr)	age bottom (yr)

0	1.5	4.138	3.061	1.212	0.061	4.609	15.599	100.448	70.602	-38.3	-36.3
1.5	2.7	4.598	3.241	1.017	0.984	6.212	17.372	140.131	73.004	-36.3	-34.3
2.7	3.7	2.989	4.502	0.704	0.887	5.411	18.79	158.113	120.552	-34.3	-32.8
3.7	4.7	5.977	3.421	1.486	0.936	4.409	17.017	117.809	108.545	-32.8	-30.5
4.7	4.99	5.977	13.325	1.916	1.106	6.212	19.145	138.271	143.606	-30.5	-29.9
4.99	6.12	6.667	5.042	1.095	2.042	11.222	22.69	146.332	134.481	-29.9	-27.7
6.12	7.02	4.138	3.061	0.743	1.75	12.625	14.536	130.83	98.459	-27.7	-26.2
7.02	8.03	6.437	3.061	0.547	1.434	4.609	19.145	103.548	116.71	-26.2	-24.2
8.03	8.76	5.058	4.322	1.017	1.288	8.617	16.663	107.889	118.631	-24.2	-22.1
8.76	9.2	8.046	4.502	1.056	1.568	7.615	17.017	199.656	192.596	-22.1	-21.3
9.2	10	6.897	5.942	1.329	2.212	13.427	24.817	158.113	200.76	-21.3	-19.4
10	10.83	4.598	4.142	0.86	1.422	8.617	17.727	125.25	119.592	-19.4	-17.5
10.83	11.63	3.678	3.241	0.938	1.142	7.014	14.536	113.469	133.04	-17.5	-15.5
11.63	12.42	2.069	1.981	0.743	0.583	4.609	10.281	89.287	85.972	-15.5	-13.5
12.42	13.21	2.989	8.643	0.938	0.766	5.812	12.054	97.968	77.326	-13.5	-11.7
13.21	14	5.977	4.322	1.017	1.215	9.218	15.245	96.108	103.742	-11.7	-9.7
14	14.78	4.368	2.881	0.665	1.009	5.411	14.181	94.868	76.366	-9.7	-7.9
14.78	15.49	6.207	2.881	1.095	1.641	10.22	16.663	99.828	112.387	-7.9	-6.3
15.49	16.24	5.288	2.701	1.056	1.738	11.222	13.118	104.168	100.86	-6.3	-4.4
16.24	17.01	3.908	3.421	1.017	0.96	6.212	12.409	96.728	78.767	-4.4	-2.8
17.01	17.71	5.747	2.161	1.095	1.3	6.212	12.054	63.865	74.925	-2.8	-1.3
