GISP2 D-core methane sulfonic acid concentrations

REFERENCES:

Saltzman, E.S., P.-Y. Whung, and P.A. Mayewski. 1997. Methanesulfonate in
the Greenland Ice Sheet Project 2 ice core. Journal of Geophysical Research
102:26649-26657.

Jaffrezo, J.L., C.I. Davidson, M.R. Legrand, and J.E. Dibb. 1994. Sulfate
and MSA in the air and snow on the Greenland ice sheet. Journal of
Geophysical Research 99:1241-1253.

Whung, P.-Y., E.S. Saltzman, M.J. Spencer, P.A. Mayewski, and N.S.
Gundestrup. 1994. A two hundred year record of biogenic sulfur in a South
Greenland ice core (20D). Journal of Geophysical Research 99:1147-1156.

Alley, R.B., E.S. Saltzman, K.M. Cuffey, and J.J. Fitzpatrick. 1990.
Summertime formation of depth hoar in central Greenland. Geophysical
Research Letters 17:2393-2396.

DATA DESCRIPTION:

These are methanesulfonic acid (MSA) concentrations as measured in the
GISP2 D core.  MSA concentrations were determined by chemically supressed
ion chromatography.  Precision of the method is better than +/- 5% at 1
ppb.  Refer to Whung et al. (1994) for details.

DATA:				

depth top (m)	depth bottom (m)	MSA (ppb)	age top (yr)	age bottom (yr)

94.35	94.85	2.35	253	254
94.85	95.34	1.87	254	256
95.34	95.84	2.17	256	258
95.84	96.33	4.66	258	260
96.33	96.83	3.52	260	262
96.83	97.32	3.95	262	263
97.32	97.81	2.93	263	266
97.81	98.31	2.91	266	267
98.31	98.8	3.25	267	269
98.8	99.29	3.96	269	271
99.29	99.78	3.92	271	272
99.78	100.27	2.45	272	274
100.27	100.76	1.61	274	276
100.76	101.24	3.11	276	278
101.24	101.73	2.75	278	280
101.73	102.22	3.11	280	282
102.22	102.7	1.83	282	284
102.7	103.19	2.74	284	286
103.19	103.68	1.58	286	289
103.68	104.16	5.01	289	291
104.16	104.65	1.19	291	293
104.65	105.14	2.73	293	294
105.14	105.62	3.11	294	296
105.62	106.11	3.35	296	298
106.11	106.59	5.94	298	300
106.59	107.08	3.96	300	302
107.08	107.57	4.17	302	304
107.57	108.05	3.8	304	306
108.05	108.54	3.11	306	307
108.54	109.02	3.23	307	310
109.02	109.51	3.02	310	312
109.51	110	3.89	312	313
110	110.17	3.49	313	314
110.17	110.96	3.85	314	317
110.96	111.44	4.14	317	319
111.44	111.92	3.96	319	320
111.92	112.4	3.69	320	322
112.4	112.88	3.14	322	324
112.88	113.36	3.8	324	326
113.36	114.32	3.97	326	330
114.32	114.81	4.09	330	332
114.81	115.29	3.98	332	334
115.29	115.77	2.31	334	335
115.77	116.25	2.49	335	337
116.25	116.73	4.05	337	339
116.73	117.21	4.36	339	341
117.21	117.49	2.91	341	343
117.49	118.17	3.28	343	346
118.17	118.65	3.36	346	348
118.65	119.13	3.29	348	350
119.13	119.61	3.73	350	352
119.61	120.09	4.05	352	353
120.09	120.57	2.8	353	355
120.57	121.04	3.17	355	358
121.04	121.52	3.37	358	360
121.52	122	4.74	360	361
122	122.47	3.49	361	363
122.47	122.95	2.26	363	365
122.95	123.43	4.01	365	367
123.43	123.9	3.96	367	369
123.9	124.38	2.98	369	371
124.38	124.85	2.11	371	372
124.85	125.33	3.17	372	374
125.33	125.81	2.39	374	376
125.81	126.28	2.93	376	378
126.28	127.23	3.18	378	382
127.23	127.71	1.83	382	385
127.71	128.19	4.14	385	387
128.19	128.66	2.36	387	389
128.66	129.14	5.81	389	391
129.14	129.61	3.01	391	394
129.61	130.09	4.47	394	396
130.09	130.56	2.02	396	398
130.56	131.03	4.7	398	400
131.03	131.51	2.27	400	401
131.51	131.98	2.94	401	403
131.98	132.45	2.18	403	405
132.45	132.92	1.51	405	407
132.92	133.4	3.01	407	409
133.4	133.87	3.03	409	411
133.87	134.34	3.32	411	413
134.34	134.81	2.5	413	415
134.81	135.29	2.67	415	417
135.29	135.76	5.67	417	418
135.76	136.23	2.88	418	420
136.23	136.7	4.99	420	422
136.7	137.17	4.23	422	424
137.17	137.65	3.17	424	426
137.65	138.12	2.61	426	428
138.12	138.59	2.2	428	430
138.59	139.06	2.56	430	433
139.06	139.53	1.08	433	435
139.53	140.01	2.67	435	437
140.01	140.48	2.84	437	439
140.48	140.95	4.29	439	441
140.95	141.42	4.18	441	443
141.42	141.89	4.16	443	445
141.89	142.36	2.81	445	447
142.36	142.83	2.52	447	448
142.83	143.29	2.84	448	450
143.29	143.76	2.72	450	452
143.76	144.23	2.28	452	454
144.23	144.7	1.96	454	457
144.7	145.17	2.89	457	458
145.17	145.64	3.33	458	460
145.64	146.11	2.98	460	462
146.11	146.58	2.4	462	464
146.58	147.05	3.29	464	466
147.05	147.52	2.48	466	468
147.52	147.99	2.61	468	470
147.99	148.46	3.85	470	472
148.46	148.92	3.36	472	475
148.92	149.39	4.19	475	477
149.39	149.86	3.31	477	479
149.86	150.33	4.19	479	482
150.33	150.8	1.92	482	485
150.8	151.26	4.32	485	486
151.26	151.73	2.31	486	489
151.73	152.2	5.09	489	490
152.2	152.67	1.31	490	492
152.67	153.13	1.72	492	494
153.13	153.6	1.47	494	496
153.6	154.07	1.34	496	498
154.07	154.53	1.76	498	500
154.53	155	1.73	500	502
155	155.47	1.81	502	504
155.47	155.93	1.73	504	506
155.93	156.4	1.7	506	509
156.4	156.86	3.09	509	510
156.86	157.33	1.54	510	513
157.33	157.8	2.69	513	515
157.8	158.26	2.79	515	516
158.26	158.73	6.23	516	518
158.73	159.2	3.36	518	520
159.2	159.66	6.62	520	521
159.66	160.13	1.55	521	524
160.13	160.59	2.43	524	525
160.59	161.06	2.49	525	527
161.06	161.52	5.95	527	529
161.52	161.99	1.64	529	531
161.99	162.45	6.08	531	533
162.45	162.92	2.87	533	535
162.92	163.38	2.2	535	537
163.38	163.85	4.21	537	539
163.85	164.31	1.64	539	540
164.31	164.78	5.17	540	542
164.78	165.24	3.66	542	545
165.24	165.71	2.17	545	547
165.71	166.17	1.05	547	549
166.17	166.64	3.69	549	551
