ATM Concentration of H2O2 in atmosphere. 

REFERENCES: 

Dibb, J.E., and J.L. Jaffrezo. 1997. Air-snow exchange investigations at
Summit, Greenland: An overview. Journal of Geophysical Research 102:26795
26807.

McConnell, J.R., R.C. Bales, J.R. Winterle, H.D. Kuhns, and C.R. Stearns.
1997. A lumped parameter model for the atmosphere-to-snow transfer function
for hydrogen peroxide. Journal of Geophysical Research 102:26809-26818.

Bales, R.C., J.R. McConnell, M.V. Losleben, M.H. Conklin, K. Fuhrer, A.
Neftel, J.E. Dibb, J.D.W. Kahl, and C.R. Stearns. 1995. Diel variations of
H2O2 in Greenland: A discussion of the cause and effect relationship.
Journal of Geophysical Research 100:18661-18668.

Bales, R.C., M.V. Losleben, and J.R. McConnell. 1995. H2O2 in snow, air and
open pore sapce in firn at Summit, Greenland. Geophysical Research Letters
22:1261-1264.

DATA DESCRIPTION: 

This file has concentration data for H2O2 in the atmosphere for the 1993
summer season.  Reported concentrations are the averages of two detectors,
which involved drawing air into a coil scrubber, where H2O2 is transferred
to H2O2-free water.  Analysis of dissolved H2O2 follows the peroxidase
method of Sigg et al. (1992).  See Bales et al. (1995) for more details. 

DATA:	

day of year	H2O2 concentration (ppbv)

154.020996	0.13
154.104996	0.13
154.112000	0.14
154.119003	0.14
154.126007	0.14
154.132996	0.14
154.139999	0.14
154.147003	0.14
154.154007	0.14
154.160995	0.14
154.167999	0.16
154.175003	0.17
154.182007	0.18
154.188995	0.18
154.195007	0.19
154.201996	0.21
154.210007	0.22
154.216003	0.22
154.223999	0.27
154.231003	0.29
154.237000	0.29
154.244995	0.32
154.251007	0.32
154.259003	0.32
154.264999	0.32
154.272003	0.32
154.279999	0.37
154.285995	0.37
154.292999	0.39
154.300003	0.39
154.307007	0.40
154.313995	0.41
154.320999	0.42
154.328003	0.44
154.335007	0.45
154.367996	0.51
154.375000	0.64
154.382004	0.65
154.389008	0.68
154.395996	0.69
154.403000	0.70
154.410004	0.72
154.417007	0.72
154.423996	0.72
154.431000	0.73
154.438004	0.73
154.445007	0.74
154.451996	0.74
154.459000	0.75
154.466003	0.75
154.473007	0.75
154.479996	0.76
154.487000	0.76
154.494003	0.77
154.501007	0.77
154.507996	0.78
154.514999	0.78
154.522003	0.78
154.529007	0.79
154.535995	0.79
154.542999	0.79
154.550003	0.79
154.557007	0.79
154.563995	0.80
154.570999	0.80
154.578003	0.80
154.585007	0.80
154.591995	0.80
154.600006	0.81
154.606995	0.81
154.613998	0.81
154.619995	0.81
154.626999	0.80
154.634003	0.79
154.641006	0.79
154.649002	0.78
154.656006	0.78
154.675995	0.77
154.684006	0.77
154.690994	0.77
154.697998	0.71
154.705002	0.71
154.746994	0.70
154.753998	0.70
154.761002	0.70
154.768005	0.69
154.774994	0.67
154.781998	0.66
154.789001	0.26
154.796005	0.23
154.802994	0.18
154.809998	0.16
154.817001	0.15
154.824005	0.15
154.830994	0.15
154.837997	0.15
154.845001	0.15
154.852005	0.15
154.858994	0.15
154.865997	0.15
154.873001	0.19
154.884003	0.43
154.901993	0.43
154.908997	0.43
154.916000	0.43
154.936996	0.21
154.992996	0.21
154.998993	0.21
155.007004	0.21
155.013000	0.21
155.035004	0.21
155.042007	0.23
155.048996	0.23
155.070007	0.23
155.091003	0.23
155.098007	0.23
155.104996	0.24
155.112000	0.24
155.119003	0.24
155.126007	0.23
155.132996	0.23
155.139999	0.23
155.147003	0.23
155.154007	0.23
155.160995	0.23
155.167999	0.22
155.175003	0.22
155.182007	0.22
155.188995	0.22
155.195999	0.22
155.203003	0.22
155.210007	0.22
155.216995	0.23
155.223999	0.23
155.231003	0.23
155.238007	0.26
155.244995	0.29
155.251999	0.45
155.259003	0.64
155.266006	0.64
155.272995	0.64
155.279999	0.64
155.285995	0.64
155.294006	0.64
155.300995	0.63
155.307999	0.63
155.315002	0.63
155.322006	0.63
155.328995	0.67
155.335999	0.67
155.343002	0.68
155.350006	0.68
155.356995	0.68
155.363998	0.68
155.369995	0.68
155.412994	0.68
155.419998	0.72
155.427002	0.83
155.434006	0.83
155.440994	0.83
155.447998	0.83
155.455002	0.83
155.462006	0.81
155.468994	0.81
155.475998	0.81
155.483002	0.86
155.490005	0.86
155.496994	0.86
155.503998	0.86
155.511002	0.84
155.518997	0.81
155.524994	0.81
155.531998	0.81
155.539001	0.81
155.544998	0.81
155.552994	0.55
155.559998	0.53
155.567993	0.53
155.574997	0.53
155.582001	0.53
155.589005	0.53
155.595993	0.55
155.602997	0.64
155.610001	0.64
155.617004	0.64
155.623993	0.64
155.630997	0.64
155.638000	0.66
155.645004	0.66
155.651993	0.66
155.658997	0.67
155.666000	0.67
155.673004	0.67
155.679993	0.70
155.686996	0.70
155.694000	0.70
155.701004	0.70
155.707993	0.82
155.716003	0.82
155.722000	0.82
155.729996	0.82
155.735992	0.82
155.744003	0.83
155.750000	0.83
155.757996	0.83
155.764008	0.83
155.772003	0.83
155.779007	0.83
155.785995	0.83
155.792999	0.83
155.800003	0.83
155.807007	0.83
155.813995	0.81
155.820999	0.81
155.828003	0.81
155.835007	0.83
155.841995	0.83
155.848999	0.83
155.856003	0.83
155.863998	0.81
155.869995	0.81
155.876999	0.81
155.884003	0.78
155.891998	0.78
155.899002	0.69
155.919998	0.59
155.925995	0.34
155.932999	0.34
155.940002	0.34
155.947006	0.32
155.955002	0.32
155.962006	0.32
155.968994	0.32
156.024994	0.32
156.031006	0.33
156.037994	0.33
156.046005	0.33
156.052994	0.33
156.059006	0.33
156.065994	0.33
156.072998	0.33
156.080994	0.33
156.087997	0.33
156.095001	0.33
156.100998	0.33
156.108002	0.31
156.115005	0.31
156.121994	0.31
156.128998	0.31
156.136002	0.31
156.143005	0.31
156.149994	0.32
156.158005	0.32
156.164001	0.32
156.171005	0.32
156.177994	0.32
156.184998	0.32
156.192001	0.32
156.199005	0.32
156.205994	0.31
156.212997	0.31
156.220001	0.30
156.227005	0.30
156.233994	0.30
156.240997	0.30
156.248001	0.31
156.255005	0.31
156.261993	0.35
156.268997	0.36
156.276001	0.62
156.283005	0.62
156.289993	0.62
156.296997	0.66
156.304001	0.71
156.311005	0.72
156.317993	0.72
156.324997	0.75
156.332001	0.87
156.339005	0.87
156.384003	0.88
156.389008	0.88
156.395996	0.88
156.403000	0.88
156.410004	0.86
156.417007	0.82
156.423996	0.82
156.431000	0.69
156.438004	0.69
156.445007	0.69
156.451996	0.69
156.459000	0.60
156.466003	0.42
156.473007	0.42
156.479996	0.42
156.487000	0.46
156.494995	0.61
156.501999	0.70
156.509003	0.88
156.514999	0.88
156.522995	0.91
156.529999	1.09
156.535995	1.09
156.542999	1.10
156.550995	1.10
156.557007	1.16
156.565002	1.20
156.572006	1.20
156.578995	1.20
156.585999	1.17
156.593002	1.12
156.600006	1.12
156.606995	1.12
156.613998	1.12
156.621002	1.12
156.628006	1.12
156.634995	1.14
156.641998	1.14
156.649002	1.14
156.656006	1.18
156.662994	1.18
156.669998	1.18
156.677002	1.15
156.684006	1.15
156.690994	1.15
156.697998	1.12
156.705002	1.17
156.712997	1.18
156.720001	1.17
156.727005	1.16
156.733994	1.18
156.740997	1.18
156.748001	1.18
156.755005	1.19
156.761002	1.19
156.789001	1.19
156.794998	1.18
156.802002	1.12
156.809006	1.12
156.815994	1.08
156.822998	1.07
156.830002	1.03
156.837006	1.03
156.843994	1.01
156.850998	1.00
156.858002	0.99
156.865005	0.96
156.871994	0.93
156.878998	0.93
156.886002	0.93
156.893005	0.93
156.899994	0.92
156.906998	0.90
156.914001	0.88
156.921005	0.87
156.927994	0.83
156.934998	0.83
156.942001	0.80
156.949005	0.77
156.955994	0.77
156.962997	0.74
156.970001	0.74
156.977005	0.73
156.983994	0.71
156.990997	0.71
156.998001	0.71
157.005997	0.71
157.013000	0.70
157.020004	0.70
157.026993	0.70
157.033997	0.69
157.041000	0.69
157.048004	0.68
157.054993	0.68
157.061005	0.68
157.069000	0.68
157.076004	0.68
157.082993	0.67
157.089996	0.67
157.097000	0.67
157.104004	0.67
157.110001	0.68
157.117996	0.68
157.125000	0.68
157.132004	0.68
157.139008	0.69
157.145996	0.69
157.153000	0.70
157.160004	0.70
157.167007	0.72
157.173996	0.72
157.181000	0.74
157.188004	0.74
157.195007	0.76
157.201996	0.77
157.209000	0.77
157.216003	0.77
157.223007	0.81
157.229996	0.81
157.237000	0.82
157.246002	0.83
157.796005	0.94
157.802994	1.00
157.809998	1.00
157.817001	1.00
157.824005	1.00
157.830994	1.00
157.837997	0.97
157.845001	0.94
157.852005	0.94
157.858994	0.94
157.865997	0.94
157.873001	0.94
157.880005	0.94
157.888000	0.94
157.895004	0.94
157.901993	0.94
157.908997	0.94
157.916000	0.94
157.923004	0.94
157.929993	0.92
157.936996	0.91
157.944000	0.91
157.951004	0.91
157.957993	0.90
157.964996	0.89
157.972000	0.86
157.979004	0.86
157.985992	0.85
157.992996	0.82
157.998993	0.80
158.287994	0.80
158.294998	0.79
158.302002	0.79
158.309006	0.79
158.315994	0.79
158.322998	0.79
158.330002	0.79
158.337006	0.79
158.343994	0.79
158.350998	0.79
158.382004	1.06
158.393005	1.07
158.399994	1.07
158.406998	1.07
158.414001	1.08
158.421005	1.08
158.427994	1.09
158.434998	1.09
158.442001	1.09
158.449997	1.09
158.457001	1.09
158.464005	1.09
158.470001	1.09
158.477997	1.09
158.485001	1.09
158.492004	1.09
158.498993	1.09
158.505997	1.09
158.513000	1.09
158.520004	1.09
158.526993	1.09
158.533997	1.09
158.541000	1.08
158.548004	1.10
158.554993	1.10
158.563004	1.12
158.570007	1.12
158.576996	1.12
158.584000	1.12
158.591003	1.12
158.598007	1.13
158.604996	1.14
158.612000	1.14
158.619003	1.14
158.626007	1.16
158.632996	1.16
158.639999	1.16
158.647003	1.16
158.654999	1.16
158.660995	1.21
158.667999	1.22
158.675003	1.22
158.682007	1.23
158.688995	1.23
158.697006	1.23
158.703995	1.23
158.710999	1.18
158.718002	1.16
158.725006	1.14
158.731995	1.14
158.738998	1.13
158.746002	1.11
158.753006	1.11
158.759003	1.08
158.798004	1.01
158.804001	0.88
158.811996	0.88
158.817993	0.87
158.826004	0.86
158.832993	0.86
158.839996	0.85
158.848007	0.85
158.854004	0.85
158.860992	0.85
158.867996	0.79
158.875000	0.78
