GISP2 H2O2 Snow Pit Data

REFERENCE:

Dibb, J.E., and J.L. Jaffrezo. 1997. Air-snow exchange investigations at
Summit, Greenland: An overview. Journal of Geophysical Research 102:26795
26807.

McConnell, J.R., R.C. Bales, J.R. Winterle, H.D. Kuhns, and C.R. Stearns.
1997. A lumped parameter model for the atmosphere-to-snow transfer function
for hydrogen peroxide. Journal of Geophysical Research 102:26809-26818.

Bales, R.C., J.R. McConnell, M.V. Losleben, M.H. Conklin, K. Fuhrer, A.
Neftel, J.E. Dibb, J.D.W. Kahl, and C.R. Stearns. 1995. Diel variations of
H2O2 in Greenland: A discussion of the cause and effect relationship.
Journal of Geophysical Research 100:18661-18668.

Bales, R.C., M.V. Losleben, and J.R. McConnell. 1995. H2O2 in snow, air and
open pore sapce in firn at Summit, Greenland. Geophysical Research Letters
22:1261-1264.

DATA DESCRIPTION:

In this file are hydrogen peroxide and oxygen isotope data from 3 snow
pits dug beneath automatic depth gauges at Kento and Summit, and adjacent
to a thermocouple string at Summit in 1995. Details of the methodology are
found in McConnell et al. (1997).
NOTE. Years are calendar years.

DATA:

1995 GISP2 ADG pit				1995 Kenton ADG pit				1995 GISP Thermocouple pit			
depth midpoint (cm)	H2O2	del18O	year	depth midpoint (cm)	H2O2	del18O	year	depth midpoint (cm)	H2O2	del18O	year

1.50	11.5882	-27.16	95.414	0.75	17.1471	-26.32	95.4417	0.50	22.0882	-26.59	95.3014
3.88	10.7059	-28.82	95.414	2.25	13.1471	-29.23	95.2180	1.50	19.6765	-27.93	95.3014
5.38	10.8235	-30.14	95.197	3.50	10.7647	-33.55	95.2090	2.50	17.7353	-30.29	95.3014
7.38	9.4412	-33.67	95.171	5.25	7.9118	-42	95.1893	3.25	16.4118	-31.74	95.2986
10.25	6.8824	-42.33	95.023	8.25	5.5882	-47.73	95.1408	3.75	14.0000	-33.06	95.2986
13.00	4.4118	-44.98	94.991	11.25	4.0882	-48.5	95.0775	4.25	12.3529	-34.28	95.2986
15.63	2.0588	-44.35	94.970	13.50	3.8529	-46.9	94.9733	4.88	10.5294	-37.49	95.2959
17.75	1.8235	-44.02	94.923	16.00	3.8235	-43.08	94.7668	5.63	9.2353	-41.9	95.2959
20.00	2.0294	-43.38	94.908	19.00	4.3529	-41.7	94.7624	6.50	7.9118	-44.56	95.2959
23.00	2.4412	-40.57	94.903	22.00	5.9412	-31.43	94.7595	7.13	6.2941	-45.73	95.2164
26.00	2.9706	-38.52	94.902	25.00	6.0294	-30.38	94.7544	7.63	5.8824	-45.93	95.2164
29.00	2.8235	-38.20	94.902	28.00	6.6765	-30.1	94.7058	9.00	4.0588	-43.27	95.1562
32.00	3.5000	-38.46	94.825	31.00	7.0588	-30.04	94.6793	12.00	3.0294	-41.69	95.1096
35.00	5.8824	-38.99	94.715	33.50	7.1765	-30.18	94.6716	14.25	3.4412	-40.87	95.0685
37.50	8.7647	-38.86	94.713	35.25	8.3529	-30.26	94.6643	14.88	3.5588	-40.86	95.0521
40.00	10.8824	-37.39	94.673	37.25	10.6176	-31.14	94.6231	15.50	3.2353	-40.72	94.8630
42.75	12.4412	-35.39	94.597	40.00	12.9118	-30.35	94.5952	16.13	3.4412	-37.58	94.8630
45.50	13.3824	-32.02	94.580	43.00	13.9412	-30	94.5555	16.75	4.6765	-34.39	94.8630
48.50	12.9706	-30.01	94.491	46.00	14.4118	-29.66	94.5374	18.00	7.0882	-31.23	94.7562
50.75	12.1765	-30.55	94.482	49.25	15.1176	-29.68	94.4949	20.25	7.5000	-31.05	94.7562
52.75	10.4412	-31.13	94.473	52.50	17	-28.25	94.4863	22.25	8.0000	-31.32	94.7562
55.50	10.2353	999999	94.462	54.50	17	999999	94.4806	24.00	8.2941	-30.8	94.7562
58.50	8.2059	999999	94.460	56.75	15.6765	-26.39	94.4729	25.75	9.2353	-30.15	94.7562
61.50	6.8529	999999	94.459	59.75	13.8529	-27.71	94.4591	26.88	11.9706	-30	94.7342
64.50	7.8235	999999	94.430	62.50	13.8235	-29.04	94.3333	28.38	15.7059	-30.38	94.6712
67.50	7.5588	999999	94.398	65.50	10.8824	-31.49	94.3106	30.75	16.6176	-30.65	94.6685
70.50	6.6765	999999	94.286	68.50	10	-32.2	94.3040	33.25	15.6765	-30.58	94.6685
73.50	5.1177	999999	94.214	71.50	5.4706	-33.33	94.2943	35.75	15.8235	-30.81	94.6685
76.50	1.7353	999999	94.135	74.25	4.1765	-33.61	94.2900	38.00	16.7647	-30.54	94.6548
79.50	0.2941	999999	94.060	76.75	3.7353	-35.32	94.1715	40.00	17.8235	-29.92	94.6356
82.50	2.1177	999999	93.986	80.75	4.2059	-40.46	94.0763	42.75	19.6765	-29.89	94.6192
85.50	1.8235	999999	93.911	86.50	3.6765	-42.22	93.9056	46.00	19.6471	-30.08	94.6192
88.50	2.4118	999999	93.867	92.50	4.8824	-36.31	93.8328	48.25	18.2941	-30.83	94.6137
91.50	2.8235	999999	93.856	98.50	7.4118	-31.6	93.8095	50.25	18.0000	-31.24	94.6082
94.50	3.5294	999999	93.846	104.50	8.8529	-30.13	93.6672	53.00	16.4412	-29.85	94.5918
97.50	5.1471	999999	93.752	110.50	8.2353	-29.33	93.6336	55.75	16.6176	-28.66	94.5589
100.50	6.9118	999999	93.703	116.50	6.6765	-29.82	93.6053	58.50	15.8235	-27.1	94.5397
103.50	8.2059	999999	93.654	122.50	4.5588	-35.88	93.4899	61.00	15.6765	-26.78	94.5370
106.50	8.6765	999999	93.605	128.50	2.8824	-44.13	93.3488	62.50	15.3824	-26.82	94.5342
110.00	8.6765	999999	93.548	134.50	2.1765	999999	93.2077	999999	999999	999999	999999
113.50	8.9118	999999	93.490	999999	999999	999999	999999	999999	999999	999999	999999
116.00	8.5000	999999	93.450	999999	999999	999999	999999	999999	999999	999999	999999
118.25	7.5882	999999	93.413	999999	999999	999999	999999	999999	999999	999999	999999
