GISP2 Volcanic markers

REFERENCES: 

Zielinski, G.A., and G.R. Mershon. 1997. Paleoenvironmental implications of
the insoluble microparticle record in the GISP2 (Greenland) ice core during
the rapidly changing climate of the Pleistocene-Holocene transition.
Geological Society of America Bulletin 109:547-559.

Zielinski, G.A., R.J. Fiacco, P.A. Mayewski, L.D. Meeker, S.I. Whitlow,
M.S. Twickler, M.S. Germani, K. Endo, and M. Yasui. 1994. Climatic impact
of the A.D. 1783 Asama (Japan) eruption was minimal: Evidence from the
GISP2 ice core. Geophysical Research Letters 21:2365-2368.

Hempel, L., and F. Thyssen. 1992. Deep radio echo soundings in the vicinity
of GRIP and GISP2 drill sites, Greenland. Polarforschung 62:11-16.

Palais, J.M., M.S. Germani, and G.A. Zielinski. 1992. Interhemispheric
transport of volcanic ash from a 1259 A.D. volcanic eruption to the
Greenland and Antarctic ice sheets. Geophysical Research Letters 19:801-804

Palais, J.M., K.C. Taylor, P.A. Mayewski, and P.M. Grootes. 1991. Volcanic
ash from the 1362 A.D. Oraefajokull eruption (Iceland) in the Greenland ice
sheet. Geophysical Research Letters 18:1241-1244.

DATA DESCRIPTION: 

This file contains the volcanic sulfate record in the GISP2 core on the
Meese/Sowers timescale.  Each sample is approximately bi-annual for the
last ~12,000 years with a consistent increase in the time covered by each
sample to around 50 years/sample at 110,000 years ago.  The volcanic
sulfate record is derived by applying an empirical orthogonal function
(EOF) analysis on the entire glaciochemical time series (Mayewski et al.,
1997a).  EOF 5 was found to explain 12% of the variance in the sulfate
record, but it did not significantly explain the variance in any other
chemical species.  The excellent correlation in the EOF time series and
the volcanic sulfate record for the last 9000 years, based on sulfate
residuals over a robust spline (Zielinski et al.,1994a) indicates that
EOF5 is an indicator of volcanic sulfate deposition over the last 110,000
years. 

AGE refers to the age in yr BP, as described above.  Total sulfate is the
total measured sulfate concentration in ppb. Volcanic sulfate is the
calculated total sulfate, based on emprical orthogonal function analysis
(EOF 5). parameter 3:  Volcanic sulfate based on empirical orthogonal
function analysis (i.e., EOF-5)

DATA:	

age (yr)	total sulfate (ppb)	volcanic sulfate

-35.26	73.00	0
-33.58	120.55	21
-31.68	108.55	25
-30.20	143.61	46
-28.96	134.48	35
-26.93	98.46	15
-25.25	116.71	55
-23.06	118.63	48
-21.69	192.60	56
-20.35	200.76	88
-18.49	119.59	39
-16.58	133.04	60
-14.41	85.97	34
-12.62	77.33	21
-10.76	103.74	42
-8.86	76.37	21
-7.08	112.39	45
-5.26	100.86	31
-3.66	78.77	18
-2.05	74.93	34
-0.11	94.14	35
2.04	73.96	19
3.57	85.49	13
5.49	63.40	19
6.63	97.50	47
7.74	75.41	10
9.17	65.80	5
11.19	59.56	19
12.29	64.84	39
13.42	62.92	15
15.17	62.44	20
16.71	61.00	17
18.76	52.35	7
20.24	73.00	30
22.38	66.76	20
24.84	98.94	0
27.10	74.45	0
28.76	55.71	0
29.55	55.71	12
31.98	95.10	42
34.06	79.25	25
35.72	67.72	20
37.44	125.84	69
39.19	54.27	4
40.97	72.04	0
44.56	55.23	7
46.53	94.62	50
47.76	31.70	0
49.83	39.86	0
51.41	42.75	6
53.63	43.71	0
55.21	36.50	0
57.32	46.59	2
58.82	58.60	14
60.39	38.42	7
61.63	32.18	0
62.97	30.26	0
64.83	48.99	0
66.42	88.37	38
68.04	35.06	0
72.17	48.51	0
73.85	33.62	0
75.48	30.74	0
76.34	29.30	5
77.46	51.39	0
79.26	36.50	0
80.94	27.38	0
83.20	29.30	0
85.43	39.38	0
87.31	49.47	0
89.37	34.58	5
90.93	36.50	5
92.83	34.58	0
94.72	60.52	4
96.31	24.50	0
98.13	32.66	0
99.92	26.90	0
101.93	24.98	0
103.67	32.18	0
106.10	50.43	7
107.97	28.34	0
110.35	31.70	0
112.23	27.38	0
113.74	57.15	19
115.88	27.38	0
117.67	101.82	56
119.30	85.49	57
120.62	26.90	0
122.07	26.42	0
123.95	26.42	0
125.94	36.50	0
128.18	37.46	0
129.98	24.50	0
131.69	35.54	0
134.04	127.28	83
136.27	42.75	0
138.37	34.58	0
140.03	99.90	50
141.59	26.42	0
143.40	27.86	0
145.47	28.34	0
147.06	23.53	0
149.02	24.01	0
151.68	27.86	0
153.16	28.34	0
154.63	47.07	0
156.37	29.30	0
158.52	30.26	0
160.70	35.06	0
162.66	31.22	0
164.63	36.50	5
165.82	42.75	0
167.69	167.14	115
169.98	27.38	0
171.93	38.42	4
174.07	38.42	0
176.15	22.57	0
177.75	30.74	0
180.00	30.74	0
181.79	29.30	0
184.14	69.16	33
185.94	36.50	0
187.13	25.46	0
189.22	54.75	3
191.25	23.05	0
192.78	33.14	1
194.72	39.38	4
196.48	42.27	2
198.62	22.09	0
200.20	27.38	0
201.71	20.65	0
203.21	30.26	0
