GISP2 Laser Light Scattering 1 meter and 1/2 meter averages

REFERENCES: 

Ram, M., and G. Koenig. 1997. Continuous dust concentration profile of pre
Holocene ice from the Greenland Ice Sheet Project 2 ice core: Dust
stadials, interstadials, and the Eemian. Journal of Geophysical Research
102:26641-26648.

Ram, M., M. Illing, P. Weber, G. Koenig, and M. Kaplan. 1995. Polar ice
stratigraphy from laser-light scattering: Scattering from ice. Geophysical
Research Letters 22:3525-3527.

Ram, M., and M. Illing. 1994. Polar ice stratigraphy from laser-light
scattering: scattering from meltwater. Journal of Glaciology 40:504-508.

DATA DESCRIPTION: 

These data are a compilation of the detailed solid ice laser light
scattering (LLS) files.  They are essentially 1 meter averages (every 500
data points of the LLS files averaged) above 2100 meters and 1/2 meter
averages below 2100 meters. There are several gaps in the data throughout
the record.  See the file lightinfo.txt for more information. 

DATA:

Depth	LLS	Age
Top (m)	relative intensity	(yr BP 1950)

1700.00	257.1	12437
1701.10	30.2	12477
1702.10	43.3	12516
1703.10	256.2	12554
1704.10	277.4	12594
1705.10	316.3	12632
1706.10	354.3	12671
1707.20	366.3	12714
1708.20	280.4	12749
1709.20	235.9	12786
1710.20	188.8	12823
1711.20	109.1	12856
1712.20	108.1	12888
1713.20	96.3	12915
1715.20	166.2	12959
1716.30	125.6	12982
1717.30	75.9	13003
1718.30	61.2	13024
1719.30	71.8	13048
1720.30	164.9	13070
1721.30	142.2	13091
1800.00	110.1	14750
1801.00	106.6	14786
1802.00	97.3	14822
1803.10	122.9	14863
1804.10	139.4	14898
1805.10	149.9	14933
1806.10	120.2	14966
1807.10	155.4	15001
1808.10	171.7	15039
1809.10	182.6	15073
1810.10	200.5	15107
1811.10	165.3	15142
1812.20	98.4	15183
1813.20	127.3	15220
1814.20	170.7	15262
1815.20	168.4	15303
1816.20	138.2	15346
1817.20	182.9	15390
1818.20	183.7	15430
1819.30	145.4	15473
1820.30	175.2	15510
1821.30	201.6	15553
1822.30	205.6	15593
1823.30	189.7	15634
1824.30	169.6	15674
1825.30	205.3	15715
1826.30	195.5	15758
1827.30	219.8	15800
1828.40	202.5	15843
1829.40	203.1	15882
1830.40	227.0	15926
1831.40	256.4	15969
1832.40	208.9	16011
1833.40	245.2	16051
1834.40	254.2	16095
1835.40	259.6	16137
1836.40	207.4	16176
1837.40	192.5	16213
1838.50	251.6	16256
1839.50	289.1	16293
1840.50	208.0	16331
1841.50	186.5	16371
1842.50	164.1	16409
1843.50	163.1	16450
1844.50	182.0	16494
1845.50	197.8	16534
1846.50	265.8	16572
1847.50	220.1	16608
1848.60	193.8	16648
1849.60	240.3	16687
1850.60	334.0	16722
1851.60	282.5	16759
1852.60	311.0	16794
1853.60	376.8	16831
1854.60	308.5	16867
1855.60	326.8	16906
1856.60	295.0	16945
1857.60	300.0	16986
1858.70	346.8	17033
1859.70	329.7	17076
1860.70	310.4	17118
1861.70	350.1	17160
1862.70	289.0	17197
1863.70	275.8	17234
1864.70	261.6	17280
1865.70	264.2	17324
1866.70	215.3	17365
1867.80	195.9	17412
1868.70	227.5	17452
1869.60	147.8	17492
1870.60	152.5	17537
1871.60	195.0	17582
1872.60	228.3	17628
1873.60	238.6	17674
1874.60	274.0	17720
1875.70	281.5	17770
1876.70	233.6	17817
1877.70	183.4	17867
1878.70	175.8	17917
1879.70	159.3	17966
1880.70	216.7	18017
1881.70	218.8	18065
1882.80	227.5	18117
1883.80	210.3	18168
1884.80	179.5	18218
1885.80	192.6	18269
1886.80	204.1	18313
1887.80	156.6	18360
1888.80	262.3	18415
1889.80	266.7	18466
1890.80	284.7	18515
1891.90	295.2	18567
1892.90	271.8	18620
1893.90	230.8	18672
1894.90	244.9	18724
1895.90	213.1	18776
1896.90	179.6	18833
1897.90	171.2	18884
1899.00	201.5	18942
1900.00	177.7	18995
1901.00	246.6	19039
1902.00	209.0	19088
1903.00	218.5	19129
1904.00	206.8	19172
1905.00	233.9	19215
1906.10	291.3	19259
1907.10	328.4	19303
1908.10	276.8	19348
1909.10	274.4	19388
1910.10	356.3	19433
1911.10	253.7	19478
1912.10	301.0	19526
1913.10	315.5	19570
1914.10	365.2	19625
1915.10	411.8	19675
1916.20	358.6	19733
1917.20	338.1	19783
1918.20	319.8	19829
1919.20	378.8	19876
1920.20	363.0	19927
1921.20	349.6	19978
1922.20	304.4	20023
1923.20	249.4	20070
1924.20	274.3	20115
1925.20	220.3	20159
1926.30	183.6	20209
1927.30	255.7	20258
1928.30	244.5	20307
1929.30	236.8	20353
1930.30	190.9	20403
1931.40	165.4	20459
1932.40	202.3	20506
1933.40	225.6	20554
1934.40	158.0	20603
1935.40	196.3	20653
1936.40	257.3	20704
1937.40	256.0	20758
1938.40	226.5	20811
1939.40	221.0	20859
1940.40	298.1	20910
1941.50	302.6	20971
1942.50	271.8	21024
1943.50	320.4	21074
1944.50	331.1	21126
1945.50	305.8	21177
1946.50	264.9	21228
1947.50	291.2	21281
1948.70	282.2	21343
1949.70	290.9	21395
1950.70	273.6	21448
1951.70	286.8	21502
1952.70	366.0	21557
1953.70	290.7	21615
1954.70	250.2	21672
1955.80	254.7	21742
1956.80	296.5	21805
1957.80	298.3	21866
1958.80	286.8	21929
