Laser	Light	Scattering	(SOLID)
Depth	Average
1850.002	268
1850.004	347
1850.006	285
1850.008	144
1850.010	149
1850.012	152
1850.014	133
1850.016	142
1850.018	160
1850.020	142
1850.022	112
1850.024	81
1850.026	104
1850.028	106
1850.030	118
1850.032	273
1850.034	542
1850.036	310
1850.038	175
1850.040	138
1850.042	109
1850.044	106
1850.046	106
1850.048	99
1850.050	95
1850.052	108
1850.054	148
1850.056	156
1850.058	152
1850.060	197
1850.062	236
1850.064	164
1850.066	72
1850.068	76
1850.070	63
1850.072	77
1850.074	125
1850.076	169
1850.078	208
1850.080	211
1850.082	148
1850.084	175
1850.086	163
1850.088	192
1850.090	368
1850.092	325
1850.094	112
1850.096	83
1850.098	66
1850.100	135
1850.102	125
1850.104	85
1850.106	72
1850.108	63
1850.110	57
1850.112	75
1850.114	107
1850.116	127
1850.118	133
1850.120	129
1850.122	114
1850.124	110
1850.126	186
1850.128	218
1850.130	184
1850.132	163
1850.134	144
1850.136	197
1850.138	526
1850.140	535
1850.142	331
1850.144	173
1850.146	148
1850.148	160
1850.150	170
1850.152	260
1850.154	316
1850.156	271
1850.158	190
1850.160	421
1850.162	870
1850.164	878
1850.166	879
1850.168	869
1850.170	734
1850.172	237
1850.174	108
1850.176	151
1850.178	246
1850.180	265
1850.182	314
1850.184	591
1850.186	549
1850.188	408
1850.190	368
1850.192	321
1850.194	286
1850.196	290
1850.198	304
1850.200	183
1850.202	219
1850.204	350
1850.206	450
1850.208	489
1850.210	237
1850.212	74
1850.214	53
1850.216	54
1850.218	60
1850.220	70
1850.222	81
1850.224	152
1850.226	179
1850.228	100
1850.230	89
1850.232	128
1850.234	215
1850.236	411
1850.238	357
1850.240	142
1850.242	100
1850.244	101
1850.246	93
1850.248	92
1850.250	130
1850.252	172
1850.254	305
1850.256	260
1850.258	157
1850.260	173
1850.262	196
1850.264	189
1850.266	242
1850.268	444
1850.270	276
1850.272	360
1850.274	670
1850.276	1095
1850.278	1136
1850.280	791
1850.282	486
1850.284	260
1850.286	99
1850.288	99
1850.290	164
1850.292	313
1850.294	365
1850.296	353
1850.298	282
1850.300	147
1850.302	93
1850.304	84
1850.306	93
1850.308	109
1850.310	216
1850.312	598
1850.314	451
1850.316	341
1850.318	156
1850.320	90
1850.322	97
1850.324	184
1850.326	321
1850.328	323
1850.330	268
1850.332	255
1850.334	178
1850.336	124
1850.338	117
1850.340	144
1850.342	196
1850.344	169
1850.346	111
1850.348	151
1850.350	215
1850.352	216
1850.354	202
1850.356	296
1850.358	350
1850.360	354
1850.362	164
1850.364	65
1850.366	67
1850.368	114
1850.370	205
1850.372	216
1850.374	122
1850.376	92
1850.378	113
1850.380	158
1850.382	248
1850.384	352
1850.386	375
1850.388	301
1850.390	148
1850.392	90
1850.394	102
1850.396	169
1850.398	189
1850.400	180
1850.402	306
1850.404	416
1850.406	287
1850.408	191
1850.410	186
1850.412	150
1850.414	134
1850.416	154
1850.418	215
1850.420	256
1850.422	195
1850.424	192
1850.426	196
1850.428	171
1850.430	174
1850.432	211
1850.434	336
1850.436	263
1850.438	145
1850.440	115
1850.442	100
1850.444	98
1850.446	96
1850.448	121
1850.450	257
1850.452	389
1850.454	365
1850.456	260
1850.458	117
1850.460	114
1850.462	160
1850.464	177
1850.466	330
1850.468	545
1850.470	557
1850.472	436
1850.474	305
1850.476	377
1850.478	462
1850.480	349
1850.482	332
1850.484	389
1850.486	341
1850.488	230
1850.490	245
1850.492	349
1850.494	583
1850.496	683
1850.502	360
1850.504	344
1850.506	270
1850.508	164
1850.510	297
1850.512	350
1850.514	273
1850.516	242
1850.518	233
1850.520	240
1850.522	277
1850.524	258
1850.526	125
1850.528	245
1850.530	242
1850.532	171
1850.534	138
1850.536	160
1850.538	280
1850.540	219
1850.542	151
1850.544	94
1850.546	95
1850.548	115
1850.550	106
1850.552	119
1850.554	239
1850.556	380
1850.558	487
1850.560	545
1850.562	446
1850.564	191
1850.566	111
1850.568	105
1850.570	109
1850.572	93
1850.574	94
1850.576	160
1850.578	312
1850.580	297
1850.582	170
1850.584	107
1850.586	125
1850.588	161
1850.590	420
1850.592	568
1850.594	229
1850.596	252
1850.598	415
1850.600	267
1850.602	129
1850.604	268
1850.606	644
1850.608	586
1850.610	264
1850.612	237
1850.614	244
1850.616	288
1850.618	247
1850.620	171
1850.622	145
1850.624	149
1850.626	151
1850.628	148
1850.630	146
1850.632	145
1850.634	160
1850.636	162
1850.638	151
1850.640	150
1850.642	218
1850.644	362
1850.646	421
1850.648	368
1850.650	414
1850.652	234
1850.654	316
1850.656	507
1850.658	495
1850.660	458
1850.662	450
1850.664	465
1850.666	606
1850.668	506
1850.670	372
1850.672	419
1850.674	369
1850.676	330
1850.678	871
1850.680	1124
1850.682	1100
1850.684	563
1850.686	191
1850.688	287
1850.690	265
1850.692	142
1850.694	202
1850.696	380
1850.698	285
1850.700	124
1850.702	138
1850.704	122
1850.706	128
1850.708	146
1850.710	131
1850.712	136
1850.714	196
1850.716	395
1850.718	600
1850.720	614
1850.722	593
1850.724	488
1850.726	491
1850.728	515
1850.730	872
1850.732	727
1850.734	477
1850.736	339
1850.738	512
1850.740	385
1850.742	333
1850.744	417
1850.746	342
1850.748	370
1850.750	221
1850.752	85
1850.754	70
1850.756	70
1850.758	82
1850.760	123
1850.762	171
1850.764	243
1850.766	286
1850.768	294
1850.770	209
1850.772	118
1850.774	124
1850.776	103
1850.778	99
1850.780	160
1850.782	155
1850.784	114
1850.786	81
1850.788	100
1850.790	158
1850.792	278
1850.794	316
1850.796	300
1850.798	287
1850.800	210
1850.802	142
1850.804	177
1850.806	184
1850.808	191
1850.810	166
1850.812	171
1850.814	181
1850.816	202
1850.818	221
1850.820	207
1850.822	209
1850.824	179
1850.826	201
1850.828	213
1850.830	220
1850.832	271
1850.834	529
1850.836	648
1850.838	563
1850.840	664
1850.842	700
1850.844	684
1850.846	642
1850.848	521
1850.850	350
1850.852	298
1850.854	302
1850.856	258
1850.858	195
1850.860	204
1850.862	261
1850.864	309
1850.866	200
1850.868	156
1850.870	130
1850.872	120
1850.874	148
1850.876	243
1850.878	500
1850.880	677
1850.882	727
1850.884	842
1850.886	832
1850.888	392
1850.890	252
1850.892	205
1850.894	126
1850.896	123
1850.898	108
1850.900	110
1850.902	182
1850.904	433
1850.906	545
1850.908	245
1850.910	206
1850.912	289
1850.914	405
1850.916	398
1850.918	410
1850.920	419
1850.922	515
1850.924	738
1850.926	748
1850.928	718
1850.930	753
1850.932	484
1850.934	264
1850.936	134
1850.938	130
1850.940	114
1850.942	144
1850.944	171
1850.946	169
1850.948	163
1850.950	291
1850.952	355
1850.954	226
1850.956	616
1850.958	589
1850.960	331
1850.962	302
1850.964	246
