"GISP2 Ar, Kr, and Xe data"

REFERENCES:

Graf T. and Craig H. C. (1997) GISP2: Gravitational
enrichment
of Kr/Ar and Xe/Ar ratios. (abst.) EOS Trans. AGU (Suppl.)
"78, F7."""

 
DATA DESCRIPTION:

"This file contains the GISP2 delta Kr/Ar, delta Xe/Ar, and"
"Ar data vs Depth."""
"Some of our samples experienced significant gas loss,"
"presumably when they were"""
cut into pieces and put into stainless steel flasks. Delta					
Kr/Ar and delta Xe/Ar					
ratios marked by an x are affected by gas loss and should					
not be used. Samples					
marked with an s are from silty ice. Their Kr/Ar and Xe/Ar					
ratios are affected					
by processes other than gravitational fractionation.					


DATA:					


Depth (Top)	Ar	84Kr/36Ar	+/-	132Xe/36Ar	+/-
m	cc/kg				

2321.11	0.381	21.84	1.48	999999	999999
2361.11	0.384	25.41	1.78	999999	999999
2361.15	0.807	26.03	2	52.61	10
2381.11	0.701	23.91	1.8	53.89	5.42
2411.11	0.781	17.95	1.17	33.25	5.32
2441.11	0.846	20.68	1.57	49.31	4.26
2461.11	0.817	22.73	1.26	45.95	10.88
2481.06	0.875	19.11	1.45	999999	999999
2501.11	0.874	19.89	2.19	39.03	12.16
2511.11	0.882	27.32	1.89	53.22	9.13
2539.08	0.802	21.78	1.95	999999	999999
2561.11	0.847	23.17	2.54	47.65	4.14
2581.11	0.92	20.29	1.54	35.46	3.99
2621.11	0.53	19.16	2.49	999999	999999
2641.11	0.841	16.87	1.86	36.39	16.25
2661.11	0.783	19.7	1.71	45.77	5.44
2681.11	0.83	25.77	1.63	57.08	7.67
2703	0.911	15.94	2.02	999999	999999
2717	0.852	20.38	1.27	36.48	8.14
2731.11	0.902	20.79	1.66	34.46	6.12
2747	0.785	17.86	1.69	41.61	5.86
2761.11	0.557	19.99	1.46	999999	999999
2791.11	0.893	19.26	1.83	43.66	6.12
2807	0.809	17.2	0.9	35.24	13.08
2817	0.551	17.55	3.33	999999	999999
2837	0.585	15.81	2.49	999999	999999
2847	0.809	17.83	1.52	38.22	16.56
2851.11	0.368	18.67	1.63	999999	999999
2897	0.898	22.01	2.28	53.92	9.44
2947.11	0.611	19.76	1.43	999999	999999
2953	0.751	16.17	1.34	41.36	6.76
2957	0.509	18.59	1.44	999999	999999
2973	0.624	20.34	1.69	999999	999999
2977	0.733	16.31	2	999999	999999
2983	0.735	16.74	2.41	31.16	3.94
2987	0.82	16.06	1.64	35.12	5.04
2993	0.825	15.49	4.17	999999	999999
2999	0.82	18.4	1.6	43.88	11.96
3007	0.807	20.68	1.44	41.93	5.78
3013	0.782	20.53	2.08	999999	999999
3017	0.806	20.15	1.58	43.66	5.65
3027	999999	999999	999999	999999	999999
3031.11	0.782	21.43	1.22	36.12	4.96
3037	0.79	22.54	1.81	36.52	7.93
3045.09	0.717	38.56	1.63	999999	999999
3049	0.927	7.85	1.9	-8.55	7.22
3052	0.481	109.72	1.49	999999	999999
