GISP2 Isotope Concentrations in Trapped Air

REFERENCE: 

Sowers, T., E.J. Brook, D. Etheridge, T. Blunier, A. Fuchs, M.C.
Leuenberger, J.A. Chappellaz, J.M. Barnola, M. Wahlen, B. Deck, and C.
Weyhenmeyer. 1997. An interlaboratory comparison of techniques for
extracting and analyzing trapped gases in ice cores. Journal of Geophysical
Research 102:26527-26538.

Bender, M., T. Sowers, M.L. Dickson, J. Orchardo, P.M. Grootes, P.A.
Mayewski, and D.A. Meese. 1994. Climate correlations between Greenland and
Antarctica during the past 100,000 years. Nature 372:663-666.

DATA DESCRIPTION: 

Gas isotopes from 72 - 2235 meters depth.  All data are presented using
the delta notation where the standard is the present day atmosphere. The
numbers in the column headings refer to the mass of the gas in question
(ie. 32=16 O2, oxygen, 28=14 N2, nitrogen, 40=argon, 44 = CO2). Missing
data are denoted with 999999. 18Oatm is the gravitationally corrected 18O
value, where 18Oatm = 18O - 2(15N).   The next 4 columns are gravitationally
corrected elemental ratios. Repeated depths are duplicate analyses. Ages
given (last two columns) are ice ages, calculated by linear interpolation
of the Meese et al. (1997) timescale.  These are not gas ages: this file does not
include a calculation of the ice age-gas age offset. 

DATA:

DEPTH										ICE AGE
Top (m)	Bottom (m)	15N	18O	18Oatm	32/28	40/28	32/40	44/28	Top (yr BP)	Bottom (yr BP)

72.8	72.9	0.27	0.69	0.2	-9	-2.9	-6.1	187.7	169.63	170.00
72.8	72.9	0.28	0.67	0.1	-9	-5.7	-3.3	227.9	169.63	170.00
75.3	75.4	0.32	0.77	0.1	-19	-9.1	-9.9	216.5	179.15	179.65
75.3	75.4	0.37	0.72	0	-18.5	-9.9	-8.7	223.6	179.15	179.65
78.2	78.3	0.19	0.5	0.1	-10.3	-5.6	-4.7	174.9	191.00	191.23
78.2	78.3	0.34	0.66	0	-10	-5.3	-4.7	200.5	191.00	191.23
80.8	80.9	0.37	0.75	0	-19.3	-9.5	-10	501.4	200.15	200.39
80.8	80.9	0.49	0.75	-0.2	-15.5	-8.3	-7.3	293.2	200.15	200.39
83.9	84	0.36	0.74	0	-6.3	-3.8	-2.5	249.4	212.26	212.70
84.5	84.6	0.33	0.71	0	-10.3	-5.3	-5	180.5	214.57	214.84
84.5	84.6	0.54	0.79	-0.3	-13.3	-8.6	-4.7	227.7	214.57	214.84
105	105.1	0.34	0.64	0	-4.1	-4.2	0.1	22.1	293.41	293.78
105	105.1	0.27	0.62	0.1	-7.6	999999	999999	999999	293.41	293.78
124.9	125	0.26	0.66	0.1	-8.1	-3.4	-4.2	100.3	372.33	372.64
124.9	125	0.3	0.77	0.2	-3.8	-2.1	-6	64.4	372.33	372.64
133.9	134	0.33	0.66	0	-12.8	-8.3	-6.5	5.4	410.58	411.08
133.9	134	0.3	0.7	0.1	-13.8	-6.9	-7.4	164.8	410.58	411.08
133.9	134	0.29	0.67	0.1	-13.3	-8.8	-6.2	-62.2	410.58	411.08
145.3	145.4	0.25	0.62	0.1	-4.3	-1.6	-2.1	-17.3	458.42	458.81
145.3	145.4	0.24	0.6	0.1	-12.6	-2.5	-1.8	2.6	458.42	458.81
146.9	147	0.31	0.64	0	-12	-6.1	-7.3	230	465.04	465.46
146.9	147	0.32	0.57	-0.1	-4	-3.9	-0.2	263.7	465.04	465.46
146.9	147	0.27	0.5	0	-5.3	-5.9	0	54.5	465.04	465.46
146.9	147	0.29	0.57	0	-5.3	-3.8	-1.1	249.5	465.04	465.46
146.9	147	0.3	0.7	0.1	-10.1	1	-11.2	-130.9	465.04	465.46
146.9	147	0.22	0.58	0.1	-9.5	-3	-6	-155.2	465.04	465.46
146.9	147	0.33	0.6	-0.1	-8.8	-5.6	-3.8	606.7	465.04	465.46
146.9	147	0.16	0.33	0	-5.6	-3.8	-1.6	280.6	465.04	465.46
146.9	147	0.34	0.59	-0.1	-12.6	-6	-3.7	348.2	465.04	465.46
149.9	150	0.31	0.58	0	-6.3	-5	-1.1	247.7	478.96	479.56
163.9	164	0.31	0.66	0	-9.6	-5.2	-7.4	32.6	538.70	539.13
212.9	213	0.21	0.65	0.2	-6.3	-3.2	-6.4	17.7	753.05	753.55
212.9	213	0.35	0.65	-0.1	-3.1	-4.7	-1.6	320.7	753.05	753.55
233.9	234	0.31	0.71	0.1	-9.4	-5.7	-4	196.7	845.35	845.85
233.9	234	0.33	0.75	0.1	-11.4	-7.3	-4.9	90.9	845.35	845.85
233.9	234	0.34	0.95	0.3	-23	-8.1	-15.9	255.8	845.35	845.85
233.9	234	0.32	0.87	0.2	-21.3	-7.7	-14.3	339.6	845.35	845.85
314	314.1	0.35	0.82	0.1	-8.9	-3.3	-5.5	210.4	1193.30	1193.80
314	314.1	0.34	0.88	0.2	-13.9	-5.1	-10.7	286.4	1193.30	1193.80
314	314.1	0.31	0.64	0	-2.9	-4.4	1.2	115.1	1193.30	1193.80
314	314.1	0.3	0.64	0	-4.4	-6.1	0.6	3.1	1193.30	1193.80
358.9	359	0.29	0.7	0.1	2	-0.7	-0.1	0.3	1401.44	1401.81
358.9	359	0.31	0.57	0	-1.7	-4.7	-0.6	-111.4	1401.44	1401.81
364	364.1	0.27	0.58	0	-1.9	999999	999999	999999	1426.15	1426.52
374.9	375	0.29	0.5	-0.1	-4.1	-5.3	-0.5	-232.8	1479.24	1479.59
374.9	375	0.2	0.36	-0.1	0.6	-2.3	0.6	30	1479.24	1479.59
375	375.1	0.27	0.61	0.1	-9.3	-5.5	-6.5	182.4	1479.59	1479.93
375	375.1	0.32	0.61	0	-4.5	-5	-1.7	181.3	1479.59	1479.93
375	375.1	0.4	0.64	-0.2	-4	-4.1	-1.4	438.2	1479.59	1479.93
393	393.1	0.34	0.54	-0.1	0.7	-3	3.3	291.5	1566.08	1566.46
415	415.1	0.26	0.6	0.1	-10.2	-6.6	-4.8	-98.2	1674.95	1675.47
415	415.1	0.3	0.59	0	-10.2	-7.6	-3.6	-67.1	1674.95	1675.47
435	435.1	0.35	0.68	0	-9.1	-4.9	-3	235.5	1779.56	1780.25
435	435.1	0.32	0.68	0	-8.4	-4.2	-4.5	194.7	1779.56	1780.25
454.9	455	0.27	0.65	0.1	-1.2	29.3	-6.7	-73.6	1877.74	1878.23
454.9	455	0.28	0.59	0	-0.4	29.7	-2	-58.4	1877.74	1878.23
455	455.1	0.34	0.57	-0.1	-1.1	-2.5	1	466.8	1878.23	1878.68
455	455.1	0.31	0.6	0	-0.6	-2.4	0.7	413	1878.23	1878.68
474.9	475	0.28	0.54	0	-2.5	-5.8	1.3	-109.8	1972.26	1972.63
474.9	475	0.28	0.62	0.1	1.1	-1.4	0.6	0.9	1972.26	1972.63
498.9	499	0.3	0.66	0.1	-7.6	-4.9	-4.7	-107.7	2095.00	2095.63
498.9	499	0.3	0.63	0	-7.2	-5.1	-3.6	32.3	2095.00	2095.63
514.9	515	0.3	0.57	0	-6.2	-4.2	-4.8	-50.1	2178.41	2179.00
514.9	515	0.4	0.57	-0.2	-8.6	-7.4	-2.5	-51.4	2178.41	2179.00
535	535.1	0.29	0.62	0	-7.9	-4.3	-4.8	141.6	2280.00	2280.40
535	535.1	0.27	0.71	0.2	-10.9	-4.6	-8.4	132.3	2280.00	2280.40
555	555.1	0.23	0.48	0	-8.4	-4.9	-3.2	384.2	2382.67	2383.28
555	555.1	0.34	0.61	-0.1	-3.6	-4	0.5	319	2382.67	2383.28
579	579.1	0.29	0.64	0	-7.7	-5.3	-4	277.5	2509.94	2510.45
579	579.1	0.25	0.58	0.1	-6.9	-4.3	-3.5	392	2509.94	2510.45
579	579.1	0.3	0.58	0	-4.5	2.4	-1	-72	2509.94	2510.45
579	579.1	0.31	0.63	0	-6.7	-5.1	-3.2	128	2509.94	2510.45
615	615.1	0.3	0.6	0	-6.2	-4.4	-0.9	288.1	2703.66	2704.00
615	615.1	0.33	0.63	0	-8.9	-9.3	-2.4	349.3	2703.66	2704.00
633.9	634	0.32	0.56	-0.1	-3.6	18.3	-22.9	216.7	2808.20	2808.70
634	634.1	0.3	0.48	-0.1	-0.5	-4	0.8	-75.1	2808.70	2809.22
634	634.1	0.32	0.82	0.2	-9.8	-1.1	-9.5	175	2808.70	2809.22
654.9	655	0.26	0.56	0.1	-2.9	24.8	-27.5	126.2	2921.50	2921.92
654.9	655	0.28	0.55	0	-3	16.1	-20.9	-44	2921.50	2921.92
655	655.1	0.33	0.63	0	-1	-1.7	-1.5	213.5	2921.92	2922.42
655	655.1	0.31	0.61	0	-1.3	-1.6	-0.5	161.9	2921.92	2922.42
736	736.1	0.37	0.68	-0.1	-7	22.1	-28.4	1221.9	3387.82	3388.39
736	736.1	0.34	0.7	0	-6.4	23.1	-28.5	493	3387.82	3388.39
756	756.1	0.28	0.53	0	-4.4	-3.8	-1	265.1	3508.40	3508.97
756	756.1	0.34	0.53	-0.1	-4.7	-4.4	-1.1	288.5	3508.40	3508.97
795	795.1	0.3	0.55	-0.1	-6.6	26.5	-30.6	316.8	3740.56	3741.19
795	795.1	0.27	0.52	0	-4.6	26.5	-30	-47.3	3740.56	3741.19
816	816.1	0.31	0.68	0.1	-10.3	-1.5	-8.4	338.7	3866.82	3867.44
816	816.1	0.28	0.55	0	-8.9	-4.4	-4.3	17.4	3866.82	3867.44
836.7	836.8	0.33	0.51	-0.1	-3.1	-2.5	-0.5	161.4	3996.54	3997.13
853.9	854	0.33	0.48	-0.2	-2.3	23.7	-25.2	853.4	4105.23	4105.90
853.9	854	0.31	0.48	-0.1	-0.8	20.4	-22.2	14.1	4105.23	4105.90
854.8	854.9	0.31	0.45	-0.2	-5.7	25.4	-29.9	-28.6	4111.25	4111.81
854.8	854.9	0.3	0.5	-0.1	-5	27.2	-31.1	30.7	4111.25	4111.81
874	874.1	0.13	0.29	0	-6.2	21	-26.5	17.7	4231.65	4232.34
874	874.1	0.26	0.47	-0.1	-6.9	23.2	-28.7	57.1	4231.65	4232.34
919.6	919.7	0.31	0.52	-0.1	-5.5	-3.2	-1.5	416.8	4522.97	4523.54
919.6	919.7	0.31	0.54	-0.1	-5.8	-3	-2.9	263.3	4522.97	4523.54
943	943.1	0.31	0.41	-0.2	-4.3	24.5	-28.6	119.4	4675.94	4676.45
943	943.1	0.3	0.47	-0.1	-2.6	999999	999999	999999	4675.94	4676.45
974	974.1	0.33	0.5	-0.2	-4.1	25.1	-27.7	84.9	4880.18	4881.07
974	974.1	0.02	-0.04	-0.1	-7.2	-3.1	-6.5	1105	4880.18	4881.07
1014.6	1014.7	0.24	0.43	-0.1	-8.6	19.2	-27	184.6	5157.04	5157.91
1014.6	1014.7	0.27	0.38	-0.2	-5	23	-26.6	-52.3	5157.04	5157.91
1014.6	1014.7	0.26	0.38	-0.1	-7.2	19.1	-25.8	-13.7	5157.04	5157.91
1038	1038.1	0.37	0.52	-0.2	-12.7	16.2	-28.5	566.5	5323.39	5324.24
1038.3	1038.4	0.3	0.45	-0.2	-7.9	-3.4	-4.7	-80.8	5325.81	5326.60
1058.9	1059	0.27	0.36	-0.2	-4.2	23.6	-26.7	-83.9	5472.63	5473.29
1058.9	1059	0.3	0.36	-0.2	0.3	27.9	-27.1	450.4	5472.63	5473.29
1074.2	1074.3	0.34	0.36	-0.3	-2.2	27.2	-28.9	77.2	5585.65	5586.35
1074.2	1074.3	0.3	0.34	-0.3	-2.7	23.4	-26.3	150.1	5585.65	5586.35
1074.2	1074.3	0.33	0.46	-0.2	-10.2	23.7	-32.9	353.9	5585.65	5586.35
1093.9	1094	0.32	0.42	-0.2	-11.4	-7.3	-5.7	496.5	5738.64	5739.32
1114.5	1114.6	0.27	0.28	-0.3	7.5	31.6	-22.7	-23.8	5898.04	5898.78
1114.5	1114.6	0.23	0.25	-0.2	2.1	30.5	-27	15.6	5898.04	5898.78
1134.8	1134.9	0.31	0.44	-0.2	-12.1	27.3	-38.4	7.4	6050.85	6051.53
1134.8	1134.9	0.32	0.43	-0.2	-12.2	27.7	-38	-7.1	6050.85	6051.53
1185.5	1185.6	0.28	0.42	-0.1	-28.7	6.7	-36.2	-72.1	6450.20	6451.00
1185.5	1185.6	0.27	0.39	-0.2	-26.8	9.4	-37.2	-27.6	6450.20	6451.00
1193.9	1194	0.51	0.65	-0.4	-26.1	-5	-22.6	600.9	6516.63	6517.33
1235.4	1235.5	0.25	0.35	-0.1	-23.1	15.9	-37.9	23.3	6853.28	6854.09
1235.4	1235.5	0.32	0.4	-0.2	6.2	36.5	-28.6	129.1	6853.28	6854.09
1253.8	1253.9	0.28	0.17	-0.4	26.5	40	-12.8	-62	7006.35	7007.25
1253.8	1253.9	0.27	0.17	-0.4	33.6	38	-4.5	-82.9	7006.35	7007.25
1274.7	1274.8	0.27	0.37	-0.2	24	999999	999999	999999	7184.21	7184.93
1296.5	1296.6	0.25	0.28	-0.2	7.9	33.8	-26.2	-27.1	7371.71	7372.43
1296.5	1296.6	0.25	0.27	-0.2	-4.3	25.4	-29.4	137.5	7371.71	7372.43
1296.5	1296.6	0.26	0.29	-0.2	33.7	53.5	-18.9	93.7	7371.71	7372.43
1314.9	1315	0.26	0.34	-0.2	-4.6	25.9	-29.3	-60.4	7530.00	7530.80
1314.9	1315	0.29	0.32	-0.3	17.8	37.6	-19	-23	7530.00	7530.80
1334.8	1334.9	0.29	0.27	-0.3	7.4	28.7	-21.7	-40.5	7701.28	7702.08
1334.8	1334.9	0.26	0.31	-0.2	-12.5	20.6	-31.8	-65.9	7701.28	7702.08
1354.9	1355	0.27	0.24	-0.3	29.9	49.6	-18.8	104	7876.55	7877.41
1354.9	1355	0.28	0.21	-0.4	21.2	28.8	-6.4	-18.8	7876.55	7877.41
1374.9	1375	0.33	0.41	-0.2	18.3	10	6.5	173.4	8055.82	8056.57
1374.9	1375	0.35	0.37	-0.3	25	14.2	9.7	392.3	8055.82	8056.57
1395	1395.1	0.32	0.44	-0.2	-12.1	-1.7	-10.9	197.8	8246.15	8246.92
1415	1415.1	0.26	0.14	-0.4	31.9	8.7	21.5	324.4	8435.64	8436.56
1454.9	1455	0.31	0.41	-0.2	43.2	25.8	15.9	343.8	8817.75	8818.47
1454.9	1455	0.36	0.56	-0.2	17.4	8.8	7.5	489.9	8817.75	8818.47
1469.9	1470	0.3	0.67	0.1	1.2	999999	999999	999999	8965.80	8967.14
1475	1475.1	0.36	0.69	0	-45.8	-28.8	-19.2	609.5	9017.56	9018.43
1475	1475.1	0.28	0.73	0.2	-49.8	-21.8	-29.3	569.6	9017.56	9018.43
1475	1475.1	0.34	0.7	0	-40.6	-10.4	-31.9	529.4	9017.56	9018.43
1494.9	1495	0.31	0.51	-0.1	18.6	14.7	3.4	209.4	9215.14	9216.25
1494.9	1495	0.33	0.5	-0.2	8.2	4.8	1.9	223.8	9215.14	9216.25
1516	1516.1	0.36	0.8	0.1	-56	-27.2	-29.7	1045.5	9438.78	9440.00
1516	1516.1	0.3	0.75	0.1	-51.2	-24.8	-26.5	544.7	9438.78	9440.00
1535	1535.1	0.35	0.63	-0.1	-18	17.7	-33.3	54.4	9654.15	9654.89
1535	1535.1	0.31	0.59	0	-21.3	11	-32.3	15.1	9654.15	9654.89
1554	1554.1	0.38	0.77	0	5.4	3.9	2.4	177.2	9873.89	9875.54
1554	1554.1	0.38	0.73	0	-9	-14.2	4.7	233.7	9873.89	9875.54
1554	1554.1	0.29	0.65	0.1	-16.4	12.7	-29.6	-22	9873.89	9875.54
1554	1554.1	0.34	0.74	0.1	-7.2	26	-32.6	-12	9873.89	9875.54
1575	1575.1	0.33	0.69	0	-6	-7.1	1	51.8	10122.09	10123.00
1575	1575.1	0.43	0.79	-0.1	-7.6	-3.6	-3.9	192.1	10122.09	10123.00
1595	1595.1	0.34	0.84	0.2	-9.2	21.3	-30.2	-36.9	10376.09	10377.00
1595	1595.1	0.37	0.87	0.1	-9.5	16.1	-24.4	-83.4	10376.09	10377.00
1615	1615.1	0.29	0.88	0.3	0.6	24.2	-23	-116.8	10654.00	10655.40
1615	1615.1	0.33	0.92	0.3	4.9	23.5	-18	-61.3	10654.00	10655.40
1635	1635.1	0.37	1.04	0.3	5.4	1.9	4.8	80.3	10942.00	10943.50
1635	1635.1	0.41	1.02	0.2	-5.3	-5.2	1.5	514.9	10942.00	10943.50
1655	1655.1	0.34	1.13	0.5	-13.1	13.6	-27.3	-98.9	11251.00	11252.80
