GISP2 Oxygen Isotope Data (1 year averages)

REFERENCES: 

Grootes, P.M., and M. Stuiver. 1997. Oxygen 18/16 variability in Greenland
snow and ice with 10^3 to 10^5-year time resolution. Journal of
Geophysical Research 102:26455-26470.

Stuiver, M., P.M. Grootes, and T.F. Braziunas. 1995. The GISP2 18O climate
record of the past 16,500 years and the role of the sun, ocean and
volcanoes. Quaternary Research 44:341-354.

Meese, D.A., R.B. Alley, R.J. Fiacco, M.S. Germani, A.J. Gow, P.M. Grootes,
M. Illing, P.A. Mayewski, M.C. Morrison, M. Ram, K.C. Taylor, Q. Yang, and
G.A. Zielinski. 1994. Preliminary depth-agescale of the GISP2 ice core.
Special CRREL Report 94-1, US.

Steig, E.J., P.M. Grootes, and M. Stuiver. 1994. Seasonal precipitaion
timing and ice core records. Science 266:1885-1886.

Grootes, P.M., M. Stuiver, J.W.C. White, S.J. Johnsen, and J. Jouzel. 1993.
Comparison of oxygen isotope records from the GISP2 and GRIP Greenland ice
cores. Nature 366:552-554.

DATA DESCRIPTION: 

This file contains the GISP2 delta 18O data over 1 year intervals, back to
1133 years B.P., measured at the Quaternary Isotope Laboratory, University
of Washington, as of February 1st, 1997. The timescale includes revisions
by D. A. Meese as of September 1994. The GISP2 depths below 167 meters are
those of the D core; above 167 meters the core depths are those of the B
core + 1.09 meters.  See the file gisp2age.dat for further information on
the timescale. 

The data columns represent:

(1) top depths of intervals (in meters)		

(2) mean delta 18-O values (in per mil) over annual intervals starting at		
top depths.  Standard deviation in a single delta 18-O measurement is 0.14		
per mil. Multiple measurements (such as for the ones below) reduce the		
standard deviation to the 0.05 to 0.1 per mil range.		

(3) layer count ages at top depths (in yr BP) where 0 BP represents AD		
1950 SUMMER to AD 1949 SUMMER		

DATA:		

Depth	d18O	Age
Top (m)	(per mil)	Top (yr BP)
2.04	-35.98	-37
2.82	-35.82	-36
3.32	-32.73	-35
3.99	-34.49	-34
4.71	-38.22	-33
5.18	-36.55	-32
5.52	-35.21	-31
6.04	-35.64	-30
6.63	-38.69	-29
7.01	-34.87	-28
7.62	-33.01	-27
8.22	-34.67	-26
8.75	-34.71	-25
9.23	-35.58	-24
9.5	-34.99	-23
9.91	-35.83	-22
10.43	-35.05	-21
10.83	-34.39	-20
11.28	-33.34	-19
11.72	-35.38	-18
12.14	-33.44	-17
12.57	-34.53	-16
12.86	-35.63	-15
13.29	-33.61	-14
13.74	-34.51	-13
14.18	-31.92	-12
14.62	-34.28	-11
14.93	-33.92	-10
15.42	-33.97	-9
15.84	-35.01	-8
16.26	-36.11	-7
16.69	-36.37	-6
17.05	-35.06	-5
17.55	-34.91	-4
18.03	-34.31	-3
18.47	-34.23	-2
18.91	-35.57	-1
19.19	-35.04	0
19.51	-35.77	1
19.86	-33.93	2
20.42	-34.08	3
20.79	-35.14	4
21.1	-34.81	5
21.59	-35.55	6
21.98	-35.3	7
22.42	-32.42	8
22.94	-34.02	9
23.29	-31.87	10
23.66	-34.24	11
24.09	-35.68	12
24.42	-35.9	13
24.68	-33.74	14
25.04	-33.27	15
25.46	-33.31	16
25.92	-34.51	17
26.25	-31.69	18
26.52	-34.83	19
27.03	-35.15	20
27.42	-32.74	21
27.8	-34.29	22
28.17	-34.44	23
28.42	-36.22	24
28.83	-37.42	25
29.05	-36.81	26
29.41	-36.83	27
29.66	-37.57	28
30.01	-36.18	29
30.45	-35.98	30
30.66	-36.79	31
30.9	-36.77	32
31.29	-34.99	33
31.71	-33.62	34
32.04	-36.96	35
32.52	-36.38	36
32.82	-36.32	37
33.21	-35.21	38
33.54	-35.39	39
33.9	-33.77	40
34.27	-33.12	41
34.64	-33.33	42
34.92	-36.29	43
35.35	-34.19	44
35.51	-34.76	45
35.74	-35.49	46
36.12	-33.54	47
36.35	-35.84	48
36.53	-34.4	49
36.85	-34.99	50
37.3	-36.52	51
37.58	-34.67	52
37.88	-35.86	53
38.15	-36.9	54
38.62	-34.67	55
38.83	-33.92	56
39.15	-36.03	57
39.54	-33.43	58
39.9	-35.26	59
40.22	-34.89	60
40.53	-33.87	61
40.96	-35.12	62
41.32	-34.71	63
41.67	-36.09	64
41.96	-36.7	65
42.38	-35.72	66
42.69	-34.63	67
42.95	-35.13	68
43.19	-34.43	69
43.49	-34.6	70
43.87	-34.22	71
44.28	-34.23	72
44.69	-34.69	73
44.92	-33.98	74
45.2	-33.94	75
45.53	-34.56	76
45.88	-35.4	77
46.26	-33.49	78
46.56	-32.17	79
46.87	-33.27	80
47.21	-35.87	81
47.43	-35.58	82
47.72	-35.84	83
47.97	-35.61	84
48.26	-37.12	85
48.54	-34.34	86
48.88	-34.93	87
49.19	-35.8	88
49.42	-34.83	89
49.77	-35.38	90
50.13	-35.83	91
50.46	-37.05	92
50.72	-36.88	93
50.93	-36.44	94
51.37	-34.33	95
51.7	-34.37	96
52.06	-35.15	97
52.31	-34.33	98
52.65	-32.9	99
52.95	-34.11	100
53.25	-36.12	101
53.53	-35.48	102
53.89	-34.08	103
54.16	-33.74	104
54.42	-35.07	105
54.6	-35.23	106
54.91	-36.99	107
55.2	-36.34	108
55.45	-35.81	109
55.64	-35.2	110
56.03	-34.66	111
56.24	-34.55	112
56.63	-33.71	113
56.94	-36.09	114
57.16	-37.95	115
57.42	-37.87	116
57.7	-35.18	117
58.06	-36.84	118
58.4	-34.28	119
58.78	-34.26	120
59.23	-34.72	121
59.58	-35.76	122
59.94	-35.26	123
60.16	-34.6	124
60.51	-35.2	125
60.78	-34.7	126
61.01	-34.45	127
61.31	-35.59	128
61.56	-34.78	129
61.85	-34.89	130
62.18	-34.26	131
62.42	-35.24	132
62.68	-35.91	133
62.86	-35.79	134
63.13	-34.63	135
63.33	-33.87	136
63.61	-35.75	137
63.83	-33.97	138
64.13	-35.88	139
64.47	-35.55	140
64.79	-35.11	141
65.17	-34.87	142
65.44	-36.02	143
65.7	-35.81	144
65.99	-33.26	145
66.17	-33.68	146
66.59	-33.9	147
66.91	-36.62	148
67.14	-36.39	149
67.37	-33.91	150
67.63	-35	151
67.82	-35.88	152
68.24	-37.42	153
68.53	-36.72	154
68.84	-33.08	155
69.18	-34.86	156
69.37	-35.59	157
69.67	-33.2	158
69.92	-34.88	159
70.15	-34.73	160
70.4	-33.82	161
70.66	-35.27	162
70.91	-33.26	163
71.15	-32.84	164
71.46	-35.97	165
71.95	-36.83	166
72.19	-35.89	167
72.43	-33.32	168
72.63	-35.09	169
72.9	-36.87	170
73.14	-35.44	171
73.43	-35.35	172
73.63	-35.37	173
73.91	-34.4	174
74.12	-33.85	175
74.39	-34.25	176
74.73	-34.04	177
75.03	-33.81	178
75.27	-34.54	179
75.47	-36.34	180
75.74	-35.04	181
76.05	-36.02	182
76.28	-35.73	183
76.47	-34.78	184
76.65	-35.5	185
76.89	-35.31	186
77.22	-33.36	187
77.49	-34.03	188
77.76	-35.48	189
77.94	-36.46	190
78.2	-36.06	191
78.64	-37.53	192
78.82	-36.12	193
79.12	-36.9	194
79.35	-34.63	195
79.69	-36.35	196
79.95	-34.28	197
80.14	-35.36	198
80.43	-35.53	199
80.74	-35.3	200
81.15	-34.88	201
81.39	-35.07	202
81.76	-34.38	203
81.95	-35.93	204
82.13	-36.59	205
82.4	-37.25	206
82.62	-34.31	207
82.92	-35.08	208
83.12	-35.34	209
83.37	-35.78	210
83.54	-33.14	211
83.84	-33.97	212
84.07	-34.69	213
84.29	-36.26	214
84.66	-36.31	215
84.93	-36.39	216
85.19	-36.46	217
85.44	-34.82	218
85.74	-34.36	219
86.05	-34.5	220
86.36	-34.28	221
86.6	-35.14	222
86.93	-35.21	223
87.12	-33.22	224
87.38	-34.58	225
87.57	-33.4	226
87.93	-36.31	227
88.24	-35.17	228
88.49	-38.26	229
88.75	-35.5	230
89.04	-36.23	231
89.23	-35.11	232
89.48	-35.96	233
89.81	-35.21	234
89.97	-34.65	235
90.16	-37.77	236
90.33	-35.99	237
90.73	-33.77	238
91	-35.52	239
91.21	-34.24	240
91.49	-34.88	241
91.76	-34.47	242
91.94	-35.05	243
92.17	-35.35	244
92.3	-35.73	245
92.61	-36.1	246
92.95	-34.02	247
93.13	-34.21	248
93.29	-34.76	249
93.51	-35.35	250
93.85	-36.6	251
94.16	-35.06	252
94.43	-36.6	253
94.79	-35.37	254
95.11	-36.19	255
95.31	-37.03	256
95.53	-35.38	257
95.82	-35.37	258
96.05	-35.74	259
96.39	-33.99	260
96.63	-35.94	261
96.94	-34.66	262
97.19	-34.03	263
97.46	-35.94	264
97.65	-35.14	265
97.97	-33.13	266
98.29	-35.37	267
98.49	-35.98	268
98.79	-35.3	269
99.05	-35.63	270
99.33	-35.2	271
99.62	-35.61	272
99.95	-35.45	273
100.2	-36.57	274
100.4	-33.91	275
100.7	-34.21	276
101	-34.06	277
101.2	-34.29	278
101.4	-34.37	279
101.6	-34.72	280
101.9	-34.89	281
102.2	-35.02	282
102.5	-33.31	283
102.8	-35.13	284
102.9	-34.39	285
103.1	-33.94	286
103.3	-34.49	287
103.5	-36.76	288
103.8	-35.21	289
104	-33.62	290
104.2	-34.58	291
104.5	-35.09	292
104.8	-34.54	293
105.1	-35.01	294
105.4	-34.93	295
105.6	-35.41	296
105.9	-34.88	297
106.1	-33.86	298
106.4	-33.39	299
106.6	-33.46	300
106.8	-34.48	301
107.1	-37.45	302
107.4	-35.59	303
107.7	-34.05	304
108	-34.91	305
108.1	-35.94	306
