GISP2 Bidecadal Oxygen Isotope Data

REFERENCES: 

Stuiver, M., T.F. Braziunas, P.M. Grootes, and G.A. Zielinski. 1997. Is
there evidence for solar forcing of climate in the GISP2 oxygen isotope
record?  Quaternary Research 48:259-266.

Stuiver, M., P.M. Grootes, and T.F. Braziunas. 1995. The GISP2 18O climate
record of the past 16,500 years and the role of the sun, ocean and
volcanoes. Quaternary Research 44:341-354.

Meese, D.A., R.B. Alley, R.J. Fiacco, M.S. Germani, A.J. Gow, P.M. Grootes,
M. Illing, P.A. Mayewski, M.C. Morrison, M. Ram, K.C. Taylor, Q. Yang, and
G.A. Zielinski. 1994. Preliminary depth-agescale of the GISP2 ice core.
Special CRREL Report 94-1, US.

Steig, E.J., P.M. Grootes, and M. Stuiver. 1994. Seasonal precipitaion
timing and ice core records. Science 266:1885-1886.

DATA DESCRIPTION: 

This file contains the GISP2 bidecadal delta 18O data set back to 16,510
yr B.P., measured at the Quaternary Isotope Laboratory, University of
Washington, as of February 1st, 1997.  The timescale includes revisions by
D. A. Meese as of September 1994. The GISP2 depths below 167 meters are
those of the D core; above 167 meters the core depths are those of the B
core + 1.09 meters.  See the file gisp2age.dat for further information on
the timescale. 

Between 1650.29 and 1844.88 meters, the delta 18-O values of this time
series are based on high resolution data (0.2 meter). They differ slightly
from the 2-meter time series (file UW2md18O.dat). 

The data columns represent: 

(1) top depths of intervals (in meters)

(2) mean delta 18-O values (in per mil) over bidecadal intervals starting
at top depths.  Standard deviation in a single delta 18-O measurement is
0.14 per mil. Multiple measurements (such as for the ones below) reduce
the standard deviation to the 0.05 to 0.1 per mil range. 

(3) layer count ages at top depths (in yr BP) where 0 BP represents AD
1950 SUMMER to AD 1949 SUMMER

DATA:		

Depth	d18O	Age (top)
Top (m)	(per mil)	(yr BP)

6.04	-34.7	-30
14.93	-34.78	-10
23.29	-34.83	10
30.45	-35.16	30
36.85	-35.18	50
43.49	-34.72	70
49.77	-35.28	90
55.64	-35.28	110
61.85	-35.07	130
67.37	-34.88	150
72.9	-34.98	170
77.94	-35.67	190
83.37	-35.11	210
88.75	-35.22	230
93.51	-35.41	250
99.05	-34.86	270
104	-34.86	290
109.1	-35.45	310
114.3	-34.97	330
119.2	-35.08	350
124.2	-35.46	370
128.9	-34.76	390
133.7	-35.19	410
138.5	-35.14	430
143.3	-35.14	450
147.9	-35.24	470
152.1	-34.78	490
156.8	-35.15	510
161.7	-34.53	530
166.4	-35.2	550
171.3	-34.91	570
176.2	-35.43	590
180.9	-35.27	610
185.5	-35.1	630
190.1	-34.98	650
194.69	-34.95	670
199.25	-34.84	690
203.77	-35.17	710
207.98	-34.42	730
212.31	-35.17	750
216.54	-35.27	770
220.79	-35.25	790
225.56	-34.33	810
230.24	-34.7	830
234.94	-34.9	850
239.56	-34.93	870
244.1	-35.12	890
248.83	-35.24	910
253.24	-34.68	930
258.07	-34.27	950
262.6	-34.74	970
267.29	-34.54	990
271.89	-34.49	1010
276.48	-35.09	1030
280.84	-35.06	1050
285.42	-35.21	1070
289.96	-35.72	1090
294.75	-34.76	1110
299.38	-35.5	1130
304.02	-34.8	1150
308.85	-35.23	1170
313.27	-34.76	1190
318.09	-35.34	1210
322.55	-35.02	1230
326.69	-35.37	1250
331.42	-35.13	1270
335.96	-34.96	1290
340.55	-34.98	1310
344.67	-34.52	1330
348.58	999999	1350
352.58	999999	1370
356.58	-34.65	1390
360.74	-34.91	1410
364.85	-34.81	1430
368.62	-34.79	1450
372.85	-34.96	1470
377.19	-34.86	1490
