Oxygen isotopes -- snowpits; GISP2 Site 13

REFERENCES: 

Bolzan, J.F., and M. Strobel. 1994. Accumulation-rate variations around
Summit, Greenland. Journal of Glaciology 40:56-66.

DATA DESCRIPTION: 

These files contain oxygen-isotope profiles for 9 shallow cores (to
approximately 17 m depth) recovered over a 150 x 150 km survey grid in
central Greenland.  All cores were recovered in May, 1987.  Isotopic data
in the upper 2 m of each profile were from the shallow drilling pits. 
Details on the site location, the core recovery, and the assignment of
core loss are given in Bolzan and Strobel, (1994). 

For the data below, all depths are in cm.  Dating of samples was based on
the seasonal variation in the oxygen isotope stratigraphy, along with
measurements of gross beta activity (see Bolzan and Strobel, 1994).  Time
is in decimal years, where 87 = 1987, etc. 

The first 2 columns refer to the true depth and age at the top of the
sample, where the age is based on a spline interpolation of the dating
described in Bolzan and Strobel (1994).  The time is in decimal calendar
years. 

Column 3 is density in kg/m3. 

Column 4 are the O18 values in per mil. 

Column 5 is the ice-equivalent depths at the top of the sample. 

SITE 13: N 72 53 11, W 39 09 24, 3167 m

DATA:

Depth Top	Cal. Year	Density	del18O	Ice depth
(cm)	Top	kg/m^3	(per mil)	(cm)

0	1987.69	321.3	-36.84	0
10	1987.49	385.56	-39.19	3.5
20	1987.27	337.82	-35.87	7.7
30	1987.09	340.58	-38.39	11.38
40	1986.91	300.19	-36.74	15.09
50	1986.75	292.84	-34.84	18.36
60	1986.59	302.94	-31.48	21.55
70	1986.41	324.05	-37.03	24.85
80	1986.21	369.95	-36.55	28.38
90	1986	388.31	-35.76	32.41
100	1985.85	367.2	-36.62	36.64
110	1985.72	337.82	-28.78	40.64
120	1985.59	355.27	-26.84	44.32
130	1985.39	403.92	-36.01	48.19
140	1985.12	397.49	-37.1	52.59
150	1984.89	360.77	-36.65	56.92
160	1984.74	381.89	-31.54	60.85
170	1984.63	397.49	-30.45	65.01
180	1984.54	366.28	-29.95	69.34
190	1984.46	338.74	-35.65	73.33
200	1984.37	409.43	-31.87	78.06
205	1984.32	409.43	-30.83	80.29
210	1984.26	409.43	-32.4	82.52
215	1984.18	408.93	-35.15	84.75
220.5	1984.09	381.89	-36.27	87.2
225.5	1984	383.72	-36.06	89.28
230.5	1983.89	381.89	-34.57	91.37
235.5	1983.78	383.72	-33.06	93.45
240.5	1983.67	381.89	-31.74	95.54
245.5	1983.55	383.72	-31.27	97.62
250.5	1983.45	385.56	-31.35	99.71
255.5	1983.36	389.23	-33.23	101.81
260.5	1983.27	387.4	-35.17	103.93
265.5	1983.18	389.23	-38.02	106.04
270.5	1983.09	389.23	-39.67	108.16
275.5	1983	387.4	-39.97	110.28
280.5	1982.9	389.23	-39.11	112.39
285.5	1982.79	389.23	-37.37	114.51
290.5	1982.67	389.23	-34.4	116.63
295.5	1982.56	365.36	-32.27	118.75
300.5	1982.45	359.86	-32.99	120.74
305.5	1982.34	385.56	-36.63	122.7
310.5	1982.22	385.56	-39.93	124.8
315.5	1982.11	385.56	-41.85	126.9
320.5	1982	385.56	-42.13	129
325.5	1981.89	385.56	-40.69	131.1
330.5	1981.78	385.56	-36.99	133.2
335.5	1981.67	385.56	-33.58	135.3
340.5	1981.56	385.56	-32.28	137.4
345.5	1981.44	385.56	-33.21	139.5
350.5	1981.33	367.2	-35.37	141.6
355.5	1981.22	361.69	-37.16	143.6
360.5	1981.12	361.69	-40.22	145.57
365.5	1981.04	334.15	-43.98	147.54
370.5	1980.97	334.15	-43.1	149.36
375.5	1980.91	333.82	-39	151.18
381	1980.77	407.59	-38.24	156.82
386	1980.71	409.43	-37.95	159.04
391	1980.66	407.26	-36.18	161.27
396.5	1980.59	385.56	-32.92	163.71
402	1980.5	385.56	-33.23	166.02
407.5	1980.39	385.56	-35.82	168.33
413	1980.28	387.4	-37.56	170.64
418	1980.16	387.4	-38.52	172.75
423	1980.05	389.23	-39.17	174.86
428	1979.95	387.4	-38.16	176.98
433	1979.86	387.4	-36.07	179.09
438	1979.58	464.51	-32.59	184.9
443	1979.42	466.35	-33.74	187.43
448	1979.24	435.13	-36.89	189.97
453	1979.07	433.3	-38.5	192.34
458	1978.94	433.3	-37.05	194.7
463	1978.83	433.3	-35.52	197.06
468	1978.74	433.3	-32.31	199.42
473	1978.68	433.3	-30.17	201.78
478	1978.61	443.98	-28	204.14
483.5	1978.54	446.15	-26.88	206.8
488.5	1978.46	444.31	-27.61	209.23
493.5	1978.36	396.58	-32.54	211.65
498.5	1978.27	403.92	-36.31	213.81
503.5	1978.16	405.76	-37.32	216.01
508.5	1978.05	405.75	-37.24	218.22
513.5	1977.95	407.59	-36.95	220.43
518.5	1977.84	405.76	-35.89	222.65
523.5	1977.73	405.76	-34.21	224.86
528.5	1977.64	412.26	-31.84	227.07
534	1977.54	418.61	-31.36	229.54
539	1977.46	416.77	-32.24	231.82
544	1977.4	417.27	-34.25	234.09
549.5	1977.35	418.61	-35.8	236.59
554.5	1977.24	471.85	-34.68	242.1
559.5	1977.19	470.02	-37.02	244.67
564.5	1977.13	471.85	-38.93	247.23
569.5	1977.05	471.85	-39.26	249.8
574.5	1976.95	471.24	-38.47	252.37
579	1976.84	440.64	-35.42	254.68
584	1976.72	424.32	-33.08	257.08
588.5	1976.62	460.84	-31.55	259.16
593.5	1976.5	460.83	-31.43	261.67
598.5	1976.39	460.84	-32.72	264.18
603.5	1976.3	462.67	-35.34	266.69
608.5	1976.2	460.84	-36.96	269.21
613.5	1976.1	457.16	-37.88	271.72
618.5	1976	438.81	-37.94	274.21
623.5	1975.89	438.8	-36.7	276.6
628.5	1975.77	440.64	-33.88	278.99
