Oxygen isotopes -- snowpits; GISP2 Site 37

REFERENCES: 

Bolzan, J.F., and M. Strobel. 1994. Accumulation-rate variations around
Summit, Greenland. Journal of Glaciology 40:56-66.

DATA DESCRIPTION: 

These files contain oxygen-isotope profiles for 9 shallow cores (to
approximately 17 m depth) recovered over a 150 x 150 km survey grid in
central Greenland.  All cores were recovered in May, 1987.  Isotopic data
in the upper 2 m of each profile were from the shallow drilling pits. 
Details on the site location, the core recovery, and the assignment of
core loss are given in Bolzan and Strobel, (1994). 

For the data below, all depths are in cm.  Dating of samples was based on
the seasonal variation in the oxygen isotope stratigraphy, along with
measurements of gross beta activity (see Bolzan and Strobel, 1994).  Time
is in decimal years, where 87 = 1987, etc. 

For the data below the sample size was 10 cm for the upper 2 m (pit wall),
and 5 cm below that (core). All depths are in cm. 

The first 2 columns refer to the true depth and age at the top of the
sample, where the age is based on a spline interpolation of the dating
described in Bolzan and Strobel (1994).  The time is in decimal calendar
years. 

Column 3 is density in kg/m3. 

Column 4 are the O18 values in per mil. 

Column 5 is the ice-equivalent depths at the top of the sample. 

SITE 37: N 72 38 27, W 35 56 40, 3160 m

DATA:

Depth Top	Cal. Year	Density	del18O	Ice depth
(cm)	Top	kg/m^3	(per mil)	(cm)

0	1987.46	310.28	-31.52	0
10	1987.35	364.45	-37.33	3.38
20	1987.21	369.95	-35.59	7.35
30	1987.07	387.4	-40.51	11.38
40	1986.93	359.86	-36.28	15.6
50	1986.79	314.87	-33.58	19.52
60	1986.68	309.37	-34.04	22.95
70	1986.56	314.87	-32.38	26.32
80	1986.44	342.41	-33	29.75
90	1986.3	368.12	-39.71	33.48
100	1986.12	383.72	-43.66	37.49
110	1985.87	308.45	-34	41.67
120	1985.63	338.74	-31.51	45.03
130	1985.38	381.89	-34.95	48.72
140	1985.14	395.66	-34.68	52.88
150	1985	383.72	-34.45	57.19
160	1984.97	399.33	-33.23	61.37
170	1984.98	410.35	-34.1	65.72
180	1984.91	359.86	-30.89	70.19
190	1984.7	374.54	-30.33	74.11
200	1984.13	416.77	-39.26	79.09
205	1983.9	416.77	-36.78	81.36
210	1983.77	416.77	-34.48	83.63
215	1983.7	405.96	-34.28	85.9
219.5	1983.67	378.22	-34.15	87.89
224.5	1983.63	378.22	-33.13	89.95
229.5	1983.56	378.22	-32.2	92.01
234.5	1983.43	378.22	-33.87	94.07
239.5	1983.25	378.22	-38.89	96.13
244.5	1983.07	378.22	-41.22	98.19
249.5	1982.95	378.22	-39.98	100.25
254.5	1982.9	378.22	-38.82	102.31
259.5	1982.9	378.22	-37.84	104.37
264.5	1982.92	378.22	-37.75	106.43
269.5	1982.94	378.22	-38.38	108.49
274.5	1982.95	370.87	-36.44	110.55
279.5	1982.9	347	-35.84	112.57
284.5	1982.8	347	-35.67	114.46
289.5	1982.63	359.86	-34.62	116.35
294.5	1982.35	362.19	-35.61	118.31
300	1982	372.21	-34.92	120.48
305.5	1981.76	398.41	-32.26	122.71
310.5	1981.63	396.58	-30.88	124.88
315.5	1981.55	398.41	-28.84	127.04
320.5	1981.5	396.57	-28.99	129.21
325.5	1981.43	409.43	-31.17	131.37
330.5	1981.33	409.43	-35.18	133.6
335.5	1981.21	409.43	-38.17	135.83
340.5	1981.07	409.43	-39.41	138.06
345.5	1980.92	408	-38.08	140.29
350	1980.77	392.24	-35.47	142.29
355.5	1980.59	391.07	-34.49	144.64
360.5	1980.41	391.07	-36.18	146.77
365.5	1980.23	392.9	-37.96	148.9
370.5	1980.07	391.07	-38.75	151.04
375.5	1979.94	391.07	-38.13	153.17
380.5	1979.77	394.74	-37.88	160.74
385.5	1979.75	402.08	-37.64	162.89
390.5	1979.74	414.93	-37.58	165.08
395.5	1979.71	414.94	-37.05	167.34
400.5	1979.65	416.77	-35.91	169.6
405.5	1979.56	413.1	-35.25	171.87
410.5	1979.43	411.27	-36.47	174.12
415.5	1979.26	411.27	-38.58	176.36
420.5	1979.08	409.43	-39.59	178.6
425.5	1978.93	411.27	-38.13	180.83
430.5	1978.81	409.43	-33.83	183.07
435.5	1978.69	409.43	-31.69	185.3
440.5	1978.57	383.72	-30.69	187.53
445.5	1978.42	385.56	-31.79	189.62
450.5	1978.25	383.72	-34.09	191.72
455.5	1978.08	387.4	-36.2	193.81
460.5	1977.93	414.93	-35.72	195.92
465.5	1977.8	416.77	-35.52	198.18
470.5	1977.69	414.94	-35	200.45
475.5	1977.57	414.93	-33.71	202.71
480.5	1977.42	416.77	-33.78	204.97
485.5	1977.26	427.79	-35.17	207.24
490.5	1977.08	459	-35.46	209.57
495.5	1976.92	457.16	-35.2	212.07
500.5	1976.8	459	-34.46	214.56
505.5	1976.7	457.17	-33.06	217.06
510.5	1976.62	459	-31.93	219.55
515.5	1976.54	446.15	-31.4	222.05
520.5	1976.46	442.48	-33.34	224.48
525.5	1976.37	442.48	-36.34	226.89
530.5	1976.28	442.48	-39.3	229.3
535.5	1976.17	442.47	-40.73	231.71
540.5	1976.06	442.48	-41.34	234.12
545.5	1975.94	444.31	-40.3	236.53
550.5	1975.81	442.48	-37.17	238.95
555.5	1975.68	438.8	-33.73	241.36
560.5	1975.56	436.97	-31.85	243.75
565.5	1975.44	436.97	-32.82	246.13
570.5	1975.33	436.97	-35.38	248.51
575.5	1975.23	436.97	-38.83	250.89
580.5	1974.88	444.31	-40.7	260.21
585.5	1974.8	446.76	-41.32	262.63
590	1974.72	453.49	-39.71	264.82
595	1974.64	453.49	-36.97	267.29
600	1974.55	447.32	-34.97	269.76
605.5	1974.45	425.95	-35.44	272.44
