Oxygen isotopes -- snowpits; GISP2 Site 44

REFERENCES: 

Bolzan, J.F., and M. Strobel. 1994. Accumulation-rate variations around
Summit, Greenland. Journal of Glaciology 40:56-66.

DATA DESCRIPTION: 

These files contain oxygen-isotope profiles for 9 shallow cores (to
approximately 17 m depth) recovered over a 150 x 150 km survey grid in
central Greenland.  All cores were recovered in May, 1987.  Isotopic data
in the upper 2 m of each profile were from the shallow drilling pits. 
Details on the site location, the core recovery, and the assignment of
core loss are given in Bolzan and Strobel, (1994). 

For the data below, all depths are in cm.  Dating of samples was based on
the seasonal variation in the oxygen isotope stratigraphy, along with
measurements of gross beta activity (see Bolzan and Strobel, 1994).  Time
is in decimal years, where 87 = 1987, etc. 

The first 2 columns refer to the true depth and age at the top of the
sample, where the age is based on a spline interpolation of the dating
described in Bolzan and Strobel (1994).  The time is in decimal calendar
years. 

Column 3 is density in kg/m3. 

Column 4 are the O18 values in per mil. 

Column 5 is the ice-equivalent depths at the top of the sample.

SITE 44: N 72 17 38, W 37 55 17, 3215 m				

DATA:				

Depth Top	Cal. Year	Density	del18O	Ice depth
(cm)	Top	kg/m^3	(per mil)	(cm)

0	1987.44	347.92	-28.12	0
3.79	1987.37	367.2	-31.06	3.79
7.79	1987.29	400.25	-35.39	7.79
12.15	1987.22	396.58	-35.46	12.15
16.47	1987.15	380.05	-39.11	16.47
20.61	1986.85	398.41	-41.71	20.61
24.95	1986.59	355.27	-39.4	24.95
28.82	1986.42	312.12	-29.31	28.82
32.22	1986.3	320.38	-32.17	32.22
35.71	1986.22	312.12	-32.26	35.71
39.11	1986.15	381.89	-34.38	39.11
43.27	1986.06	390.15	-39.16	43.27
47.52	1985.92	402.08	-40.02	47.52
51.9	1985.74	417.69	-39.05	51.9
56.45	1985.58	350.68	-33.21	56.45
60.27	1985.43	378.22	-28.87	60.27
64.39	1985.33	369.04	-33.44	64.39
68.41	1985.22	379.13	-34.71	68.41
72.54	1985.09	384.64	-35.62	72.54
76.73	1984.89	392.9	-36.73	76.73
81.81	1984.73	391.07	-32.8	81.81
83.94	1984.61	389.23	-32.14	83.94
86.06	1984.5	380.05	-30.53	86.06
88.13	1984.41	376.38	-30.86	88.13
90.18	1984.32	376.38	-33.57	90.18
92.23	1984.25	378.22	-35.76	92.23
94.29	1984.18	376.38	-37.33	94.29
96.34	1984.11	376.38	-40.41	96.34
98.39	1984.04	376.38	-44.02	98.39
100.44	1983.96	374.54	-44.8	100.44
102.48	1983.87	374.54	-43.38	102.48
104.52	1983.78	376.38	-40.49	104.52
106.57	1983.7	370.87	-37.8	106.57
108.59	1983.61	354.35	-35.77	108.59
110.52	1983.54	354.35	-34.69	110.52
112.45	1983.47	354.35	-33.18	112.45
114.38	1983.4	358.02	-34.04	114.38
116.33	1983.34	363.53	-36.36	116.33
118.31	1983.28	370.87	-38.85	118.31
120.33	1983.22	394.74	-40.15	120.33
122.48	1983.14	394.74	-39.77	122.48
124.63	1983.05	394.74	-40.89	124.63
126.78	1982.94	394.74	-41.45	126.78
128.93	1982.82	394.74	-39.46	128.93
131.08	1982.69	381.89	-34.52	131.08
133.16	1982.56	370.87	-31.77	133.16
135.18	1982.44	370.87	-30.79	135.18
137.2	1982.32	374.55	-32.54	137.2
139.24	1982.2	392.9	-36.71	139.24
141.38	1982.1	394.74	-38.3	141.38
143.53	1982	392.9	-39.2	143.53
145.67	1981.91	394.74	-39.02	145.67
147.82	1981.83	392.9	-37.5	147.82
149.96	1981.76	398.41	-34.77	149.96
152.13	1981.67	424.12	-31.58	152.13
154.44	1981.59	424.12	-30.07	154.44
160.89	1981.29	377.21	-29.9	160.89
163.15	1981.18	378.22	-32.18	163.15
165.21	1981.06	398.91	-37.84	165.21
167.6	1980.95	398.41	-40.06	167.6
169.77	1980.84	398.41	-38.95	169.77
171.94	1980.74	398.91	-36.24	171.94
174.33	1980.65	451.65	-35.24	174.33
176.79	1980.56	451.66	-33.45	176.79
179.25	1980.5	420.44	-28.62	179.25
181.54	1980.45	418.61	-28.77	181.54
183.82	1980.41	420.44	-30.89	183.82
186.11	1980.37	420.61	-33.61	186.11
193.59	1980.24	413.1	-36.97	193.59
195.84	1980.18	411.27	-38.45	195.84
198.08	1980.1	413.1	-39.76	198.08
200.33	1980	411.27	-41.1	200.33
202.57	1979.88	413.1	-41.01	202.57
204.82	1979.74	411.26	-38.87	204.82
207.06	1979.58	413.1	-35.18	207.06
209.31	1979.42	411.27	-33.29	209.31
211.55	1979.24	424.12	-35.08	211.55
213.86	1979.07	438.8	-39.24	213.86
216.25	1978.93	440.64	-39.62	216.25
218.65	1978.82	440.64	-37.86	218.65
221.05	1978.73	438.8	-36.57	221.05
223.44	1978.65	440.64	-36.05	223.44
225.84	1978.58	438.8	-34.02	225.84
228.23	1978.5	409.43	-30.19	228.23
230.46	1978.41	403.92	-30.18	230.46
232.66	1978.32	405.75	-31.92	232.66
234.87	1978.22	403.92	-33.1	234.87
237.07	1978.11	405.75	-34.25	237.07
239.28	1978	449.82	-35.42	239.28
241.73	1977.89	451.66	-35.23	241.73
244.19	1977.79	449.82	-33.84	244.19
246.64	1977.69	449.82	-31.41	246.64
249.09	1977.59	433.3	-29.18	249.09
251.45	1977.5	427.79	-28.14	251.45
253.78	1977.41	429.62	-28.17	253.78
256.12	1977.32	431.46	-28.55	256.12
258.47	1977.22	449.82	-29.55	258.47
260.92	1977.13	447.98	-31.52	260.92
263.36	1977.04	462.68	-33.75	263.36
265.88	1976.96	473.69	-36.89	265.88
268.46	1976.87	475.52	-36.37	268.46
