Oxygen isotopes -- snowpits; GISP2 Site 51

REFERENCES: 

Bolzan, J.F., and M. Strobel. 1994. Accumulation-rate variations around
Summit, Greenland. Journal of Glaciology 40:56-66.

DATA DESCRIPTION: 

These files contain oxygen-isotope profiles for 9 shallow cores (to
approximately 17 m depth) recovered over a 150 x 150 km survey grid in
central Greenland.  All cores were recovered in May, 1987.  Isotopic data
in the upper 2 m of each profile were from the shallow drilling pits. 
Details on the site location, the core recovery, and the assignment of
core loss are given in Bolzan and Strobel, (1994). 

For the data below, all depths are in cm.  Dating of samples was based on
the seasonal variation in the oxygen isotope stratigraphy, along with
measurements of gross beta activity (see Bolzan and Strobel, 1994).  Time
is in decimal years, where 87 = 1987, etc. 

The first 2 columns refer to the true depth and age at the top of the
sample, where the age is based on a spline interpolation of the dating
described in Bolzan and Strobel (1994).  The time is in decimal calendar
years. 

Column 3 is density in kg/m3. 

Column 4 are the O18 values in per mil. 

Column 5 is the ice-equivalent depths at the top of the sample. 


SITE 51: N 71 55 36, W 39 50 07, 3112 m				


DATA:				

Depth Top	Cal. Year	Density	del18O	Ice depth
(cm)	Top	kg/m^3	(per mil)	(cm)

0	1987.42	387.4	-33.28	0
10	1987.36	326.81	-28.88	4.22
20	1987.28	358.02	-35.55	7.78
30	1987.21	368.12	-38.9	11.68
40	1987.13	391.07	-37.11	15.69
50	1986.87	380.05	-42.07	19.95
60	1986.68	294.68	-29.37	24.09
70	1986.51	313.04	-33.19	27.3
80	1986.35	354.35	-30.62	30.71
90	1986.25	320.38	-29.29	34.57
100	1986.16	351.59	-32.09	38.06
110	1986.06	405.76	-38.34	41.89
120	1985.94	418.61	-39.63	46.31
130	1985.79	421.36	-37.12	50.87
140	1985.66	349.76	-32.3	55.46
150	1985.55	323.14	-26.35	59.27
160	1985.45	333.23	-26.87	62.79
170	1985.35	403.92	-25.52	66.42
180	1985.26	372.71	-34.12	70.82
190	1985.16	384.64	-34.87	74.88
200	1985.09	391.07	-35.58	79.8
205	1985.03	392.9	-38.91	81.93
210	1984.97	391.07	-39.65	84.07
215	1984.89	391.07	-38.54	86.2
220	1984.81	391.07	-37.45	88.33
225	1984.73	392.9	-33.98	90.46
230	1984.64	391.07	-29.63	92.6
235	1984.55	391.07	-27.5	94.73
240	1984.45	391.07	-26.63	96.86
245	1984.36	385.56	-27.19	98.99
250	1984.27	376.38	-28.03	101.09
255	1984.19	376.38	-29.48	103.14
260	1984.11	376.38	-32.14	105.19
265	1984.03	376.38	-34.38	107.24
270	1983.97	376.38	-36.93	109.29
275	1983.91	376.38	-39.41	111.34
280	1983.86	376.38	-37.47	113.39
285	1983.82	399.84	-35.07	115.44
289.5	1983.78	397.8	-35.31	117.4
294	1983.73	400.25	-37.19	119.35
299	1983.67	398.41	-35.43	121.53
304	1983.6	398.41	-32.23	123.7
309	1983.54	393.72	-32.94	125.87
313.5	1983.46	377.4	-33.55	127.8
318	1983.37	378.22	-31.24	129.65
323	1983.26	378.22	-30.32	131.71
328	1983.15	396.57	-33.25	133.77
333	1983.05	396.58	-37.54	135.93
338	1982.95	396.58	-39.93	138.09
343	1982.87	396.58	-39.56	140.25
348	1982.8	394.74	-36.61	142.41
353	1982.73	396.58	-34.44	144.56
358	1982.66	396.58	-34.06	146.72
363	1982.6	396.57	-33.32	148.88
368	1982.53	396.58	-31.68	151.04
373	1982.46	396.58	-31.41	153.2
378	1982.39	394.74	-31.44	155.36
383	1982.25	437.3	-35.83	158.62
388.5	1982.15	435.13	-37.98	161.24
393.5	1982.06	436.97	-40.72	163.61
398.5	1981.94	435.63	-42.29	165.99
404	1981.85	418.61	-37.67	168.6
409	1981.75	416.77	-33.07	170.88
414	1981.64	418.94	-31.15	173.15
419.5	1981.55	416.77	-29.72	175.66
424.5	1981.45	418.94	-28.43	177.93
430	1981.36	424.12	-30.47	180.44
435	1981.28	422.28	-32.69	182.75
440	1981.2	422.28	-35.37	185.05
445	1981.12	424.12	-37.54	187.35
450	1981.04	422.28	-39.05	189.66
455.5	1980.96	424.12	-40.61	192.19
460.5	1980.89	422.28	-39.82	194.5
466	1980.82	422.28	-36.85	197.03
471	1980.74	438.8	-34.5	199.8
476	1980.67	438.8	-33.05	202.19
481	1980.6	438.8	-30.98	204.58
486	1980.53	438.8	-28.69	206.97
491	1980.47	438.6	-27.86	209.36
495.5	1980.4	436.56	-30.6	211.51
500	1980.33	435.13	-33.65	213.65
505	1980.24	436.97	-35.78	216.02
510	1980.15	436.97	-37.01	218.4
515	1980.05	435.13	-38.24	220.78
520	1979.94	436.97	-38.54	223.15
525	1979.82	435.13	-38.05	225.53
530	1979.7	436.97	-35.85	227.9
535	1979.6	436.56	-33.37	230.28
539.5	1979.5	411.27	-31.92	232.42
544.5	1979.42	411.26	-32.07	234.66
549.5	1979.35	411.27	-33.15	236.9
554.5	1979.3	411.27	-33.45	239.14
559.5	1979.25	411.26	-34.44	241.38
564.5	1979.19	452.88	-33.32	243.62
569	1979.13	451.66	-33.26	245.84
574	1979.05	453.49	-35.22	248.3
579	1978.95	453.49	-36.08	250.77
584	1978.83	451.65	-35.27	253.24
589	1978.7	453.5	-32.53	255.7
594	1978.56	462.34	-29.66	258.17
599.5	1978.44	460.67	-28.19	260.94
605	1978.35	462.67	-28.89	263.7
610	1978.27	462.67	-30.44	266.22
615	1978.2	460.84	-31.43	268.74
620	1978.14	462.67	-32.82	271.25
625	1978.08	469.2	-36.05	273.77
629.5	1978.03	470.02	-37.45	276.07
634.5	1977.97	468.18	-38.15	278.63
639.5	1977.91	470.02	-37.6	281.18
