Oxygen isotopes -- snowpits; GISP2 Site 57

REFERENCES:

Bolzan, J.F., and M. Strobel. 1994. Accumulation-rate variations around
Summit, Greenland. Journal of Glaciology 40:56-66.

DATA DESCRIPTION:

These files contain oxygen-isotope profiles for 9 shallow cores (to
approximately 17 m depth) recovered over a 150 x 150 km survey grid in
central Greenland.  All cores were recovered in May, 1987.  Isotopic data
in the upper 2 m of each profile were from the shallow drilling pits. 
Details on the site location, the core recovery, and the assignment of
core loss are given in Bolzan and Strobel, (1994). 

For the data below, all depths are in cm.  Dating of samples was based on
the seasonal variation in the oxygen isotope stratigraphy, along with
measurements of gross beta activity (see Bolzan and Strobel, 1994).  Time
is in decimal years, where 87 = 1987, etc. 

For the data below the sample size was 10 cm for the upper 2 m (pit wall),
and 5 cm below that (core). All depths are in cm. 

The first 2 columns refer to the true depth and age at the top of the
sample, where the age is based on a spline interpolation of the dating
described in Bolzan and Strobel (1994).  The time is in decimal calendar years.

Column 3 is density in kg/m3.

Column 4 are the O18 values in per mil. 

Column 5 is the ice-equivalent depths at the top of the sample.

SITE 57: N 71 55 14, W 35 57 33, 3090 m				

DATA:				

Depth Top	Cal. Year	Density	del18O	Ice depth
(cm)	Top	kg/m^3	(per mil)	(cm)

0	1987.78	279.07	-33.85	0
10	1987.85	320.38	-37.49	3.04
20	1987.82	349.76	-33.83	6.53
30	1987.68	391.07	-37.39	10.34
40	1987.43	369.04	-36.39	14.6
50	1987.14	339.66	-38.24	18.62
60	1986.86	320.38	-35	22.32
70	1986.61	300.19	-30.42	25.81
80	1986.4	304.78	-32.52	29.08
90	1986.23	341.5	-36.84	32.4
100	1986.07	383.72	-38.85	36.12
110	1985.93	457.16	-38.04	40.3
120	1985.77	369.04	-36.3	45.28
130	1985.59	291.01	-27.73	49.3
140	1985.4	353.43	-30.91	52.47
150	1985.13	373.63	-36.52	56.32
160	1984.89	351.59	-36.15	60.39
170	1984.75	359.86	-31.81	64.22
180	1984.65	391.07	-32.64	68.14
190	1984.55	335.07	-31.2	72.4
200	1984.19	337.82	-36.81	82.56
205	1984.12	339.66	-39.7	84.4
210	1984.04	376.38	-40.5	86.25
215	1983.96	403.92	-40.04	88.3
220	1983.87	385.56	-39.57	90.5
225	1983.8	372.71	-39.02	92.6
230	1983.73	370.87	-37.25	94.63
235	1983.66	359.86	-34.11	96.65
240	1983.59	343.33	-32.52	98.61
245	1983.53	345.17	-34.05	100.48
250	1983.47	385.56	-32.24	102.36
255	1983.4	403.92	-32.85	104.46
260	1983.33	402.08	-34.64	106.66
265	1983.25	402.08	-37.18	108.85
270	1983.16	403.92	-39.23	111.04
275	1983.06	402.08	-40.02	113.24
280	1982.94	405.76	-35.15	115.43
285	1982.79	405.76	-32.95	117.64
290	1982.61	405.76	-32.1	119.85
295	1982.38	407.59	-34.94	122.06
300	1982.12	414.94	-40.96	124.28
305	1981.9	413.1	-38.59	126.54
310	1981.76	398.41	-36.25	128.79
315	1981.67	374.54	-37.28	130.96
320	1981.62	376.38	-35.16	133
325	1981.58	374.54	-32.7	135.05
330	1981.53	405.76	-30.52	137.09
335	1981.46	403.92	-31.3	139.3
340	1981.36	405.76	-33.39	141.5
345	1981.25	405.75	-35.93	143.71
350	1981.14	403.92	-38.24	145.92
355	1981.04	405.76	-38.6	148.12
360	1980.96	405.59	-37.4	150.33
365.5	1980.91	405.59	-35.93	152.76
371	1980.67	400.25	-32.26	166.19
376	1980.57	400.25	-30.24	168.37
381	1980.42	402.08	-31.52	170.55
386	1980.25	409.43	-37.25	172.74
391	1980.08	407.59	-37.96	174.97
396	1979.93	409.43	-37.25	177.19
401	1979.83	407.59	-36.69	179.42
406	1979.75	407.59	-35.14	181.64
411	1979.68	409.43	-34.23	183.86
416	1979.61	407.59	-34.45	186.09
421	1979.5	409.43	-33.96	188.31
426	1979.36	407.59	-33.73	190.54
431	1979.21	427.79	-38.16	192.76
436	1979.06	427.79	-38.86	195.09
441	1978.96	427.79	-38.45	197.42
446	1978.9	427.79	-36.81	199.75
451	1978.86	433.3	-36.44	202.08
456	1978.82	435.13	-35.79	204.44
461	1978.73	407.59	-33.72	206.81
466	1978.59	385.56	-33.25	209.03
471	1978.39	400.25	-34.71	211.13
476	1978.12	398.41	-36.02	213.31
481	1977.89	400.25	-35.37	215.48
486	1977.74	475.52	-32.73	217.66
491	1977.62	528.77	-30.11	220.25
496	1977.55	528.77	-29.52	223.13
501	1977.5	528.77	-29.56	226.01
506	1977.45	528.77	-29.98	228.89
511	1977.39	528.77	-30.48	231.77
516	1977.2	411.27	-31.77	238.61
521	1977.12	409.43	-34.21	240.85
526	1977.04	403.92	-36.13	243.08
531	1976.96	420.45	-35.22	245.28
536	1976.87	447.98	-32.7	247.57
541	1976.76	446.15	-31.29	250.01
546	1976.66	447.98	-28.84	252.44
551	1976.55	446.15	-28.42	254.88
556	1976.45	442.48	-29.18	257.31
561	1976.34	442.48	-31.71	259.72
566	1976.24	442.48	-34.7	262.13
571	1976.14	442.48	-37.07	264.54
576	1976.05	444.31	-37.76	266.95
581	1975.96	440.64	-37.59	269.37
585.5	1975.88	442.68	-37.12	271.53
590	1975.73	440.64	-36.34	275.94
595	1975.65	449.82	-33.72	278.34
600	1975.58	460.83	-31.09	280.79
605	1975.5	462.68	-30.79	283.3
610	1975.42	460.83	-32.59	285.82
615	1975.34	459	-34.19	288.33
620	1975.26	447.98	-36.01	290.83
625	1975.17	446.15	-37.63	293.27
630	1975.06	447.98	-38.51	295.7
635	1974.94	447.98	-36.63	298.14
640	1974.8	446.15	-34.18	300.58
