Oxygen isotopes -- snowpits; GISP2 Site 571

REFERENCES: 

Bolzan, J.F., and M. Strobel. 1994. Accumulation-rate variations around
Summit, Greenland. Journal of Glaciology 40:56-66.

DATA DESCRIPTION: 

These files contain oxygen-isotope profiles for 9 shallow cores (to
approximately 17 m depth) recovered over a 150 x 150 km survey grid in
central Greenland.  All cores were recovered in May, 1987.  Isotopic data
in the upper 2 m of each profile were from the shallow drilling pits. 
Details on the site location, the core recovery, and the assignment of
core loss are given in Bolzan and Strobel, (1994). 

For the data below, all depths are in cm.  Dating of samples was based on
the seasonal variation in the oxygen isotope stratigraphy, along with
measurements of gross beta activity (see Bolzan and Strobel, 1994).  Time
is in decimal years, where 87 = 1987, etc. 

The first 2 columns refer to the true depth and age at the top of the
sample, where the age is based on a spline interpolation of the dating
described in Bolzan and Strobel (1994).  The time is in decimal calendar
years. 

Column 3 is density in kg/m3. 

Column 4 are the O18 values in per mil. 

Column 5 is the ice-equivalent depths at the top of the sample. 

SITE 571: N 72 12 43, W 35 40 03, 3087 m				

DATA:				


Depth Top	Cal. Year	Density	del18O	Ice depth
(cm)	Top	kg/m^3	(per mil)	(cm)
0	1987.68	279.07	-30.59	0
10	1987.58	320.38	-37.66	3.04
20	1987.44	337.82	-36.31	6.53
30	1987.28	373.63	-36.52	10.21
40	1987.1	378.22	-39.43	14.28
50	1986.9	357.1	-37.1	18.4
60	1986.72	326.81	-34.1	22.29
70	1986.57	313.04	-30.95	25.85
80	1986.43	353.43	-32.09	29.26
90	1986.29	390.15	-37.82	33.11
100	1986.11	403	-39.52	37.36
110	1985.88	402.08	-39.21	41.75
120	1985.6	308.45	-29.24	46.13
130	1985.4	334.15	-32.86	49.49
140	1985.2	347.92	-36.04	53.13
150	1985	369.04	-36.62	56.92
160	1984.82	366.28	-33.19	60.94
170	1984.65	380.05	-29.35	64.93
180	1984.49	324.97	-29.28	69.07
190	1984.36	358.94	-31.71	72.61
200	1984.21	344.76	-36.19	77.07
204.5	1984.15	343.33	-37.29	78.76
209.5	1984.1	396.58	-39.13	80.63
214.5	1984.03	396.58	-40.09	82.79
219.5	1983.97	398.41	-39.33	84.95
224.5	1983.91	396.58	-37.83	87.12
229.5	1983.85	396.58	-37.57	89.28
234.5	1983.79	396.58	-37.15	91.44
239.5	1983.73	367.2	-34.85	93.6
244	1983.66	359.86	-31.79	95.4
249	1983.59	358.02	-30.21	97.36
254	1983.5	365.37	-30.3	99.31
259	1983.4	391.07	-32.57	101.3
264	1983.28	391.07	-37.75	103.43
269	1983.16	392.9	-39.96	105.56
274	1983.05	391.07	-41.2	107.7
279	1982.95	391.07	-41.05	109.83
284	1982.87	391.07	-40.76	111.96
289	1982.78	392.91	-38.35	114.09
294	1982.68	391.07	-35.59	116.23
299	1982.57	391.07	-33.88	118.36
304	1982.42	391.07	-34.39	120.49
309	1982.25	392.9	-35.34	122.62
314	1982.08	400.25	-36.99	124.76
319	1981.93	402.08	-35.76	126.94
324	1981.8	402.08	-34.54	129.13
329	1981.7	402.08	-32.14	131.32
334	1981.61	401.88	-29.87	133.51
338.5	1981.54	416.16	-29.46	135.48
343	1981.46	418.61	-29.61	137.52
348	1981.37	420.44	-31.02	139.8
353	1981.26	407.59	-33.7	142.09
358	1981.16	400.25	-37.17	144.31
363	1981.05	398.41	-38.65	146.49
368	1980.94	400.25	-37.55	148.66
373	1980.83	398.41	-35.39	150.84
378	1980.69	400.25	-33.86	153.01
383	1980.46	405.96	-34.42	156.06
387.5	1980.28	388.9	-37.93	158.05
393	1980.08	389.23	-38.57	160.38
398	1979.93	409.43	-38.25	162.5
403	1979.82	409.43	-37.42	164.73
408	1979.73	409.43	-36.07	166.96
413	1979.65	409.43	-34.28	169.19
418	1979.56	411.27	-34.04	171.42
423	1979.43	414.93	-34.57	173.66
428	1979.26	416.77	-35.41	175.92
433	1979.09	414.93	-35.89	178.19
438	1978.92	437.3	-34.93	180.45
443.5	1978.75	435.13	-33.12	183.07
448.5	1978.62	436.97	-31.53	185.44
453.5	1978.5	424.12	-30.74	187.82
458.5	1978.38	422.28	-32.44	190.13
463.5	1978.27	422.28	-34.74	192.43
468.5	1978.16	424.12	-36.1	194.73
473.5	1978.05	422.28	-36.79	197.04
478.5	1977.95	424.12	-36.36	199.34
483.5	1977.84	422.28	-34.8	201.65
488.5	1977.73	407.59	-32.54	203.95
493.5	1977.64	422.28	-30.32	206.17
498.5	1977.55	435.13	-29.44	208.47
503.5	1977.46	435.13	-30	210.84
508.5	1977.38	435.13	-31.29	213.21
513.5	1977.3	431.46	-33.27	215.58
518.5	1977.22	425.95	-35.09	217.93
523.5	1977.14	424.12	-36.75	220.25
528.5	1977.05	424.12	-37.06	222.56
533.5	1976.95	425.95	-36.19	224.87
538.5	1976.83	425.62	-33.59	227.19
544	1976.7	425.95	-30.17	229.74
549	1976.57	427.79	-29	232.06
554	1976.43	444.31	-30.47	234.39
559	1976.3	444.31	-34.21	236.81
564	1976.17	444.31	-37.9	239.23
569	1976.05	444.31	-39.37	241.65
574	1975.95	446.15	-38.86	244.07
579	1975.86	444.31	-37.93	246.5
584	1975.78	444.31	-36.78	248.92
589	1975.71	444.31	-36.18	251.34
594	1975.64	446.15	-34.12	253.76
599	1975.57	446.15	-32.46	256.19
604	1975.5	447.98	-32.77	258.62
609	1975.42	460.84	-34.67	261.06
614	1975.33	464.51	-36.65	263.57
619	1975.21	464.51	-39.02	266.1
624	1975.08	464.51	-39.48	268.63
629	1974.92	464.51	-38.2	271.16
634	1974.74	453.49	-35.17	273.69
639	1974.57	411.26	-33	276.16
644	1974.44	411.27	-33.76	278.4
649	1974.33	464.51	-36.91	280.64
654	1974.24	464.51	-38.5	283.17
659	1974.15	464.51	-39.59	285.7
664	1974.05	462.67	-39.98	288.23
669	1973.94	464.51	-38.64	290.75
674	1973.81	464.51	-36.32	293.28
679	1973.66	464.51	-34.38	295.81
684	1973.5	464.51	-34.1	298.34
689	1973.34	464.51	-35.26	300.87
694	1973.19	455.33	-36.66	303.4
699	1973.06	455.32	-37.1	305.88
704	1972.94	457.17	-36.3	308.36
709	1972.84	455.32	-34.77	310.85
714	1972.74	455.33	-33.23	313.33
719	1972.63	456.96	-31.79	315.81
723.5	1972.5	460.84	-31.94	318.05
728.5	1972.33	460.84	-33.16	320.56
733.5	1972.12	460.83	-34.6	323.07
738.5	1971.87	460.84	-34.44	325.58
743.5	1971.61	471.24	-34.34	328.09
748	1971.4	493.88	-34.92	330.4
753	1971.22	492.05	-36.29	333.09
758	1971.07	493.88	-36.85	335.77
763	1970.92	493.88	-35.33	338.46
768	1970.76	493.88	-32.66	341.15
773	1970.58	469.2	-31.26	343.84
777.5	1970.42	470.02	-31.94	346.14
782.5	1970.25	470.02	-33.52	348.7
787.5	1970.08	470.02	-33.87	351.26
792.5	1969.93	483.48	-33.04	353.82
797	1969.8	492.05	-31.14	356.19
802	1969.68	492.05	-29.82	358.87
807	1969.43	447.98	-30.32	364.85
812	1969.34	449.82	-32.21	367.29
817	1969.22	449.82	-34.44	369.74
822	1969.08	449.82	-35.38	372.19
827	1968.91	448.98	-34.86	374.64
832.5	1968.69	475.53	-30.82	377.33
837.5	1968.5	475.52	-30.78	379.92
842.5	1968.36	475.52	-31.75	382.51
847.5	1968.24	475.52	-33.77	385.1
852.5	1968.09	475.52	-35.33	387.69
857.5	1967.89	475.52	-35.16	390.28
862.5	1967.63	504.9	-34.89	392.87
867.5	1967.39	506.74	-35.34	395.62
872.5	1967.22	475.52	-36.84	398.38
877.5	1967.11	429.62	-38.94	400.97
882.5	1967.03	429.62	-41.35	403.31
887.5	1966.97	429.62	-40.07	405.65
892.5	1966.8	482.37	-37.86	413.11
898	1966.73	482.87	-35.68	416
903	1966.67	482.87	-34.68	418.63
908	1966.59	481.03	-34.49	421.26
913	1966.5	447.98	-34.46	423.88
918	1966.4	449.82	-34.43	426.32
923	1966.29	447.98	-35.34	428.77
928	1966.17	447.98	-37.89	431.21
933	1966.05	448.8	-38.08	433.65
937.5	1965.95	471.85	-37.12	435.85
942.5	1965.82	488.37	-35.85	438.42
947.5	1965.7	486.54	-34.35	441.08
952.5	1965.57	486.54	-33.79	443.73
957.5	1965.43	514.08	-34.36	446.38
962.5	1965.29	514.08	-35.19	449.18
967.5	1965.14	512.24	-35.9	451.98
972.5	1965	514.08	-35.92	454.77
977.5	1964.86	514.08	-34.73	457.57
982.5	1964.72	512.25	-33.53	460.37
987.5	1964.58	515.92	-33.17	463.16
992.5	1964.42	515.92	-33.62	465.97
997.5	1964.25	517.75	-35.11	468.78
1002.5	1964.08	517.75	-36.17	471.6
1007.5	1963.93	493.68	-35.86	474.42
1012	1963.81	495.72	-34.91	476.84
1017	1963.69	505.92	-33.5	479.54
1021.5	1963.57	517.75	-33.06	482.02
1026.5	1963.42	517.75	-33.53	484.84
1031.5	1963.25	517.75	-34.58	487.66
1036.5	1963.08	519.59	-35.25	490.48
1041.5	1962.93	517.75	-35.04	493.31
1046.5	1962.8	518.16	-34.19	496.13
1051	1962.7	519.59	-33.41	498.67
1056	1962.57	521.42	-33.4	501.5
1061	1962.42	519.59	-33.43	504.34
1066	1962.25	521.42	-35.21	507.17
1071	1962.08	519.59	-35.05	510.01
1076	1961.92	521.42	-34.87	512.84
1081	1961.78	520.2	-33.87	515.68
1085.5	1961.56	529.1	-33.59	520.8
1091	1961.44	528.77	-33.67	523.97
1096	1961.33	528.77	-33.99	526.85
1101	1961.21	528.77	-34.5	529.73
1106	1961.08	528.77	-34.59	532.61
1111	1960.92	528.77	-34.53	535.49
1116	1960.74	528.77	-33.94	538.37
1121	1960.58	528.77	-33.69	541.25
1126	1960.43	517.41	-33.79	544.13
1131.5	1960.32	515.92	-34.27	547.23
1136.5	1960.24	515.92	-35.19	550.04
1141.5	1960.17	515.92	-35.73	552.85
1146.5	1960.1	515.92	-36.03	555.66
1151.5	1960.04	514.09	-36.14	558.47
1156.5	1959.96	515.92	-35.68	561.27
1161.5	1959.86	515.92	-34.7	564.08
1166.5	1959.75	523.26	-33.89	566.89
1171.5	1959.63	525.09	-33.11	569.74
1176.5	1959.5	523.27	-33.11	572.6
1181.5	1959.36	526.93	-34.7	575.45
1186.5	1959.22	526.93	-36.67	578.32
1191.5	1959.07	526.93	-37.39	581.19
1196.5	1958.93	526.93	-36.77	584.06
1201.5	1958.78	525.09	-35.41	586.93
1206.5	1958.64	526.93	-34.75	589.79
1211.5	1958.5	526.94	-34.68	592.66
1216.5	1958.36	526.93	-35.89	595.53
1221.5	1958.22	525.76	-36.97	598.4
1227	1958.07	523.27	-38.5	601.55
1232	1957.93	525.09	-38.28	604.4
1237	1957.79	525.09	-37.84	607.26
1242	1957.65	530.61	-36.49	610.12
