Oxygen isotopes -- snowpits; GISP2 Site 73

REFERENCES: 

Bolzan, J.F., and M. Strobel. 1994. Accumulation-rate variations around
Summit, Greenland. Journal of Glaciology 40:56-66.

DATA DESCRIPTION: 

These files contain oxygen-isotope profiles for 9 shallow cores (to
approximately 17 m depth) recovered over a 150 x 150 km survey grid in
central Greenland.  All cores were recovered in May, 1987.  Isotopic data
in the upper 2 m of each profile were from the shallow drilling pits. 
Details on the site location, the core recovery, and the assignment of
core loss are given in Bolzan and Strobel, (1994). 

For the data below, all depths are in cm.  Dating of samples was based on
the seasonal variation in the oxygen isotope stratigraphy, along with
measurements of gross beta activity (see Bolzan and Strobel, 1994).  Time
is in decimal years, where 87 = 1987, etc. 

The 1st 2 columns refer to the true depth and age at the top of the
sample, where the age is based on a spline interpolation of the dating
described in Bolzan and Strobel (1994).  The time is in decimal calendar
years. 

Column 3 is density in kg/m3. 

Column 4 are the O18 values in per mil. 

Column 5 is the ice-equivalent depths at the top of the sample. 

SITE 73: N 71 36 08, W 38 08 29, 3168 m

DATA:

Depth Top	Cal. Year	Density	del18O	Ice depth
(cm)	Top	kg/m^3	(per mil)	(cm)

0	1987.67	311.2	-35.33	0
10	1987.5	329.56	-33.82	3.39
20	1987.3	382.81	-34.45	6.98
30	1987.1	365.36	-34.66	11.15
40	1986.9	362.61	-42.1	15.13
50	1986.74	302.94	-34.38	19.08
60	1986.58	290.09	-31.22	22.38
70	1986.42	310.28	-30.43	25.54
80	1986.25	321.3	-32.16	28.92
90	1986.08	364.45	-34.94	32.42
100	1985.93	386.48	-40.04	36.39
110	1985.8	392.9	-38.65	40.6
120	1985.68	390.15	-33.42	44.88
130	1985.57	334.15	-31.32	49.13
140	1985.43	335.99	-24.53	52.77
150	1985.26	353.43	-30.66	56.43
160	1985.09	377.3	-39.29	60.28
170	1984.93	425.03	-37.89	64.39
180	1984.82	403	-39.14	69.02
190	1984.74	383.72	-36.31	73.41
200	1984.64	515.92	-29.8	78.51
205	1984.55	517.75	-29.39	81.32
210	1984.44	517.75	-29.1	84.14
215	1984.32	433.3	-29.26	86.96
220	1984.23	352.51	-30.98	89.32
225	1984.13	352.51	-34.73	91.24
230	1984.04	350.68	-38.05	93.16
235	1983.96	378.22	-39.64	95.07
240	1983.89	402.08	-38.93	97.13
245	1983.84	402.08	-36.22	99.32
250	1983.8	402.08	-34.81	101.51
255	1983.76	403.92	-36.16	103.7
260	1983.73	402.08	-38.33	105.9
265	1983.7	402.08	-37.05	108.09
270	1983.67	396.58	-35.31	110.28
275	1983.63	374.54	-34.47	112.44
280	1983.59	376.38	-33.24	114.48
285	1983.53	374.54	-31.1	116.53
290	1983.46	376.38	-30.29	118.57
295	1983.38	387.4	-32.62	120.62
300	1983.29	389.23	-35.09	122.73
305	1983.19	387.4	-36.67	124.85
310	1983.1	389.23	-37.17	126.96
315	1983	420.44	-35.38	129.08
320	1982.92	427.79	-35.16	131.37
325	1982.84	427.79	-37.32	133.7
330	1982.78	427.79	-36.72	136.03
335	1982.71	427.79	-34.43	138.36
340	1982.64	429.62	-33.87	140.69
345	1982.57	389.23	-32.41	143.03
350	1982.5	376.38	-30.27	145.15
355	1982.41	374.55	-29.9	147.2
360	1982.32	416.16	-32.34	149.24
364.5	1982.21	416.77	-35.21	151.28
369.5	1982.1	416.77	-37.11	153.55
374.5	1982	416.16	-38.38	155.82
379	1981.9	411.27	-38.2	157.86
384	1981.8	409.43	-36.75	160.1
389	1981.71	411.27	-34.08	162.33
394	1981.61	413.1	-31.41	164.57
399	1981.5	414.93	-30.56	166.82
404	1981.38	414.93	-30.46	169.08
409	1981.27	411.27	-31.23	171.34
414	1981.15	411.27	-32.92	173.58
419	1981.05	407.59	-36.15	175.82
424	1980.96	392.9	-38.13	178.04
429	1980.88	407.59	-37.95	180.18
434	1980.81	438.8	-37.5	182.4
439	1980.75	440.64	-37.27	184.79
444	1980.69	438.8	-36.23	187.19
449	1980.64	418.61	-33.88	189.58
454	1980.59	414.93	-32.45	191.86
459	1980.53	416.77	-30.31	194.12
464	1980.47	414.93	-29.22	196.39
469	1980.39	411.27	-31.82	198.65
474	1980.31	409.43	-36.11	200.89
479	1980.22	409.43	-36.85	203.12
484	1980.12	422.28	-36.48	205.35
489	1980	455.33	-37.67	207.65
494	1979.87	453.49	-37.75	210.13
499	1979.74	433.3	-36.37	212.6
504	1979.62	403.92	-34.32	214.96
509	1979.5	403.92	-32.69	217.16
514	1979.38	403.92	-32.68	219.36
519	1979.27	418.61	-34.08	221.56
524	1979.15	435.13	-36.88	223.84
529	1979.05	435.13	-36.92	226.21
534	1978.95	435.13	-37.96	228.58
539	1978.87	435.13	-37.47	230.95
544	1978.78	433.29	-35.28	233.32
549	1978.7	435.13	-32.64	235.68
554	1978.62	435.13	-29.81	238.05
559	1978.54	433.3	-27.27	240.42
564	1978.46	416.77	-26.58	242.78
569	1978.37	416.77	-28.6	245.05
574	1978.27	397.24	-31.07	247.32
579.5	1978.19	323.14	-33.04	249.7
584.5	1978.1	387.4	-34.59	251.46
589.5	1978	471.85	-35.95	253.57
594.5	1977.9	470.02	-36.13	256.14
599.5	1977.81	468.18	-34.96	258.7
604.5	1977.73	457.16	-33.8	261.25
609.5	1977.65	457.17	-31.64	263.74
614.5	1977.57	457.16	-28	266.23
619.5	1977.5	455.33	-26.24	268.72
624.5	1977.43	457.16	-26.39	271.2
629.5	1977.36	455.33	-27	273.69
634.5	1977.28	453.49	-27.83	276.17
639.5	1977.21	460.83	-29.54	278.64
644.5	1977.13	466.35	-32.12	281.15
