GISP2 Stable Isotopes (Deuterium, annual averages)

REFERENCES: 

Barlow, L.K., J.C. Rogers, M.C. Serreze, and R.G. Barry. 1997. Aspects of
climate variability in the North Atlantic sector: Discussion and relation
to the Greenland Ice Sheet Project 2 high-resolution isotopic signal.
Journal of Geophysical Research 102:26333-26344.

White, D.E., J.W.C. White, E.J. Steig, and L.K. Barlow. 1997.
Reconstructing annual and seasonal climatic responses from volcanic events
since A.D. 1270 as recorded in the deuterium signal from the Greenland Ice
Sheet Project 2 ice core. Journal of Geophysical Research 102:19683-19694.

White, J.W.C., L.K. Barlow, D. Fisher, P.M. Grootes, J. Jouzel, S.J.
Johnsen, M. Stuiver, and H.B. Clausen. 1997. The climate signal in the
stable isotopes of snow from Summit, Greenland: Results of comparisons with
modern climate observations. Journal of Geophysical Research 102:26425
26439.

Barlow, L.K. 1994. Evaluation of seasonal to decadal scale deuterium and
deuterium excess signals, GISP2 ice core, Summit, Greenland, A.D. 1270
1985. Ph.D. Thesis, University of Colorado, Boulder, Colorado, USA.

Barlow, L.K., J.W.C. White, R.G. Barry, J.C. Rogers, and P.M. Grootes.
1993. The North Atlantic oscillation signature in deuterium and deuterium
excess signals in the Greenland Ice Sheet Project 2 ice core, 1840-1970.
Geophysical Research Letters 20:2901-2904.

DATA DESCRIPTION: 

These data were produced in the stable isotope laboratory of at the
University of Colorado. The variable Year is the calendar year associated
with the sample, determined as described in Barlow (1994). This is
effectively a winter-to-winter year, as defined by troughs in the delta
deuterium data, as opposed to the summer-to-summer year defined by the
official layer-counted timescale of Meese et al. (1997), given in the file
gisp2age.dat.  The latter timescale is given in this file as Age Top, as
interpolated from the top depths for the samples. 

DATA:

Depth	delta Deuterium	Year	Age
Top (m)	(per mil)	(A.D.)	(yr BP)

2.55	-258.06	1985	-34.52
3.2	-256.06	1984	-33.58
3.88	-282.71	1983	-32.45
4.23	-285.05	1982	-31.59
4.82	-273.57	1981	-30.25
5.34	-274.71	1980	-29.34
5.67	-292.09	1979	-28.66
6.22	-278.6	1978	-27.51
6.86	-259.46	1977	-26.45
7.26	-272.93	1976	-25.75
7.83	-261.7	1975	-24.65
8.22	-267.65	1974	-23.7
8.69	-269.29	1973	-22.32
9.07	-271.61	1972	-21.52
9.53	-277.24	1971	-20.53
9.98	-265.19	1970	-19.47
10.27	-269.06	1969	-18.82
10.76	-256.37	1968	-17.69
11.25	-265.62	1967	-16.53
11.57	-259.34	1966	-15.69
11.97	-270.22	1965	-14.53
12.52	-262.73	1964	-13.29
12.91	-268.3	1963	-12.41
13.3	-254.97	1962	-11.52
13.72	-253.68	1961	-10.39
14.07	-271.76	1960	-9.53
14.53	-256.87	1959	-8.52
14.98	-267.23	1958	-7.45
15.36	-276.36	1957	-6.56
15.81	-283.28	1956	-5.42
16.29	-269.69	1955	-4.34
16.66	-277.43	1954	-3.58
17.14	-264.03	1953	-2.55
17.61	-263.36	1952	-1.48
17.94	-271.32	1951	-0.57
18.3	-271.5	1950	0.63
18.62	-276.8	1949	1.57
18.95	-270.26	1948	2.32
19.41	-264.18	1947	3.22
19.84	-267.85	1946	4.45
20.37	-264.67	1945	5.73
20.79	-274.86	1944	6.74
21.07	-284.36	1943	7.41
21.56	-257.09	1942	8.44
21.97	-254.02	1941	9.34
22.25	-261.19	1940	10.14
22.73	-249.26	1939	11.37
23.08	-269.87	1938	12.24
23.45	-277.02	1937	13.46
23.83	-262.21	1936	14.67
