GISP2/GRIP Stable Isotopes Stacked Record

REFERENCES:

White, J.W.C., L.K. Barlow, D. Fisher, P.M. Grootes, J. Jouzel, S.J.
Johnsen, M. Stuiver, and H.B. Clausen. 1997. The climate signal in the
stable isotopes of snow from Summit, Greenland: Results of comparisons with
modern climate observations. Journal of Geophysical Research 102:26425
26439.

Stuiver, M., P.M. Grootes, and T.F. Braziunas. 1995. The GISP2 18O climate
record of the past 16,500 years and the role of the sun, ocean and
volcanoes. Quaternary Research 44:341-354.

Steig, E.J., P.M. Grootes, and M. Stuiver. 1994. Seasonal precipitaion
timing and ice core records. Science 266:1885-1886.

DATA DESCRIPTION: 

This file contains stable isotope (delta 18O) data from six ice cores,
five from the area surrounding the GRIP deep ice core, and one from GISP2
(the "B" core).  Dating control was achieved as described in White et al.,
(1997).  For the GISP2 core, the timescale given here is NOT identical to
the official GISP2 timescale in the file gisp2age.dat.

Columns are as follows: 

Cal. Year: Calendar year of sample (1986 = summer 1985 to summer 1986). 

GRIP891, 892, 893:  delta 18O (per mil) of cores from the GRIP camp
drilled in 1989. 

GRIP912, 913:  delta 18O (per mil) of cores from the GRIP camp drilled in
1991. 

GISP2 delta 18O (per mil) of the GISP2 "B" core


DATA:

Cal.	delta 18O
Year	GRIP891	GRIP892	GRIP893	GRIP912	GRIP913	AvGRIP	GISP2	ALL

1986	-35.24	-34.16	999999	-35.34	999999	999999	-36.59	-35.33
1985	-35.83	-34.57	999999	-35.75	999999	999999	-33.79	-34.99
1984	-32.91	-34.93	999999	-35.43	999999	999999	-33.40	-34.17
1983	-35.68	-35.83	999999	-35.52	999999	999999	-36.88	-35.98
1982	-33.97	-35.73	999999	-35.36	999999	999999	-37.06	-35.53
1981	-32.45	-33.98	999999	-34.95	999999	999999	-35.62	-34.25
1980	-36.36	-36.00	999999	-32.47	999999	999999	-35.66	-35.12
1979	-35.86	-34.99	-37.38	-36.38	-36.43	-36.21	-37.81	-36.44
1978	-33.72	-32.51	-35.26	-33.42	-35.83	-34.15	-35.98	-34.41
1977	-34.46	-33.05	-33.45	-33.38	-33.35	-33.54	-33.69	-33.56
1976	-34.97	-34.46	-35.12	-35.45	-34.02	-34.80	-35.41	-34.89
1975	-35.30	-34.68	-34.80	-34.78	-36.74	-35.26	-34.04	-35.09
1974	-36.10	-34.62	-35.54	-35.43	-35.26	-35.39	-34.94	-35.33
1973	-37.55	-35.96	-35.40	-36.12	-36.21	-36.25	-34.91	-36.06
1972	-36.32	-35.91	-35.22	-35.37	-33.56	-35.28	-35.13	-35.26
1971	-37.04	-35.26	-34.61	-33.97	-32.43	-34.66	-35.94	-34.85
1970	-33.19	-34.58	-35.70	-33.62	-34.45	-34.31	-34.53	-34.34
1969	-34.73	-35.54	-34.75	-35.38	-33.96	-34.87	-34.97	-34.89
1968	-33.85	-34.26	-33.83	-33.45	-35.12	-34.10	-33.60	-34.03
1967	-36.25	-35.69	-34.88	-37.30	-35.37	-35.90	-34.41	-35.69
1966	-35.16	-34.85	-34.40	-35.53	-33.79	-34.75	-34.05	-34.65
1965	-34.27	-32.24	-34.64	-34.81	-34.10	-34.01	-34.84	-34.13
1964	-35.06	-33.73	-33.89	-33.80	-34.81	-34.26	-34.14	-34.24
1963	-33.52	-35.28	-35.88	-35.81	-35.88	-35.27	-34.45	-35.16
1962	-33.29	-33.94	-37.24	-35.36	-36.43	-35.25	-33.51	-35.00
1961	-36.70	-33.42	-35.68	-33.08	-35.82	-34.94	-32.84	-34.64
1960	-36.23	-33.56	-35.23	-36.08	-34.74	-35.17	-34.85	-35.12
1959	-35.22	-33.49	-33.37	-34.88	-34.12	-34.22	-33.09	-34.06
1958	-35.06	-36.14	-35.00	-36.90	-36.26	-35.87	-34.31	-35.65
1957	-38.41	-37.27	-38.33	-37.13	-37.24	-37.68	-36.03	-37.44
1956	-35.76	-36.21	-35.84	-35.91	-35.16	-35.78	-36.49	-35.88
1955	-34.83	-35.79	-35.88	-34.70	-36.87	-35.61	-35.01	-35.53
1954	-34.49	-35.19	-35.77	-36.78	-35.44	-35.53	-36.13	-35.62
1953	-35.55	-33.60	-34.94	-33.25	-34.07	-34.28	-33.95	-34.24
1952	-35.55	-34.35	-34.50	-33.21	-35.53	-34.63	-34.11	-34.55
1951	-35.00	-35.57	-35.86	-34.90	-34.55	-35.18	-35.13	-35.17
1950	-36.02	-34.82	-37.65	-34.55	-35.78	-35.76	-35.01	-35.66
1949	-39.35	-36.64	-37.95	-34.20	-37.94	-37.22	-35.72	-37.00
1948	-36.78	-34.47	-36.35	-34.97	-36.52	-35.82	-35.07	-35.71
1947	-34.30	-33.72	-35.09	-33.40	-34.10	-34.12	-33.82	-34.08
1946	-33.80	-33.23	-35.27	-34.45	-33.88	-34.13	-33.94	-34.10
1945	-33.13	-33.43	-34.88	-35.08	-34.24	-34.15	-34.61	-34.22
1944	-35.40	-35.82	-36.40	-35.96	-34.90	-35.70	-35.59	-35.68
1943	-35.49	-35.22	-35.61	-37.17	-36.99	-36.10	-36.79	-36.20
1942	-34.31	-33.24	-34.33	-34.17	-34.86	-34.18	-33.07	-34.02
1941	-34.16	-34.01	-33.51	-34.16	-33.21	-33.81	-33.09	-33.71
1940	-35.54	-35.83	-36.40	-35.01	-34.81	-35.52	-33.64	-35.25
1939	-33.64	-34.19	-34.27	-33.56	-34.89	-34.11	-32.24	-33.84
1938	-35.33	-36.60	-35.31	-36.11	-37.57	-36.18	-35.00	-36.02
1937	-37.25	-36.80	-36.27	-36.77	-36.53	-36.72	-36.03	-36.63
1936	-34.60	-33.98	-35.82	-35.31	-36.42	-35.23	-34.14	-35.07
1935	-33.42	-34.18	-35.88	-34.60	-34.36	-34.49	-33.88	-34.40
1934	-33.29	-34.74	-35.56	-32.59	-34.07	-34.05	-32.66	-33.85
1933	-34.24	-34.82	-35.04	-33.92	-34.00	-34.40	-34.35	-34.40
1932	-33.74	-33.87	-32.87	-33.34	-33.08	-33.38	-32.73	-33.29
1931	-35.03	-35.94	-33.15	-33.88	-34.54	-34.51	-34.37	-34.49
1930	-35.27	-33.86	-33.56	-34.57	-34.99	-34.45	-35.63	-34.62
1929	-34.42	-33.20	-33.40	-34.15	-33.50	-33.73	-33.95	-33.77
1928	-32.52	-34.54	-35.76	-33.63	-33.46	-33.98	-33.33	-33.89
1927	-34.84	-36.14	-36.38	-33.63	-35.73	-35.34	-34.37	-35.21
1926	-35.79	-35.72	-35.92	-35.45	-37.09	-35.99	-36.15	-36.02
1925	-36.11	-34.90	-35.33	-35.76	-34.81	-35.38	-36.75	-35.58
1924	-36.95	-36.60	-36.56	-35.65	-37.03	-36.56	-38.01	-36.77
1923	-34.49	-36.31	-35.03	-33.27	-34.34	-34.69	-36.58	-34.96
1922	-35.67	-37.37	-35.36	-35.84	-36.43	-36.13	-36.96	-36.25
1921	-37.10	-37.34	-36.16	-36.50	-37.18	-36.86	-37.69	-36.98
1920	-35.14	-35.83	-36.83	-35.35	-34.97	-35.62	-35.53	-35.61
1919	-36.01	-36.35	-35.56	-35.53	-36.66	-36.02	-36.51	-36.09
1918	-35.39	-35.40	-36.15	-36.18	-36.82	-35.99	-36.45	-36.05
1917	-36.03	-36.98	-38.25	-36.60	-37.17	-37.01	-36.64	-36.95
1916	-33.10	-33.76	-33.85	-33.44	-32.81	-33.39	-33.05	-33.34
1915	-36.07	-34.92	-36.43	-34.77	-35.86	-35.61	-36.54	-35.74
1914	-36.32	-36.15	-37.02	-35.84	-35.98	-36.26	-37.07	-36.38
1913	-36.23	-35.55	-34.63	-36.34	-34.42	-35.43	-36.46	-35.58
1912	-35.82	-34.75	-35.31	-36.10	-34.50	-35.30	-35.82	-35.37
1911	-35.14	-34.60	-34.43	-35.10	-36.26	-35.11	-34.80	-35.06
1910	-34.58	-36.72	-35.85	-34.76	-36.97	-35.78	-35.01	-35.67
1909	-33.42	-35.62	-35.08	-33.63	-34.51	-34.45	-33.18	-34.27
1908	-33.70	-33.55	-34.52	-34.28	-33.29	-33.87	-33.35	-33.79
1907	-36.93	-35.59	-37.05	-38.84	-36.27	-36.94	-34.35	-36.57
1906	-37.29	-35.73	-36.97	-38.11	-36.27	-36.87	-36.40	-36.81
1905	-37.36	-36.31	-36.54	-36.98	-38.87	-37.21	-34.71	-36.86
1904	-34.86	-34.50	-34.71	-34.94	-38.23	-35.45	-35.74	-35.49
1903	-36.45	-36.06	-35.02	-34.28	-37.76	-35.91	-34.77	-35.75
