GISP2-D Borehole Diameter

REFERENCES: 

Clow, G.D., R.W. Saltus, and E.D. Waddington. 1996. A new high-precision
borehole-temperature logging system used at GISP2, Greenland, and Taylor
Dome, Antarctica. Journal of Glaciology 42:576-584.

Gundestrup, N.S., H.B. Clausen, and B.L. Hansen. 1994. The UCPH borehole
logger. Mem. National Institute Polar Research, Special Issue 49:224-233.

DATA DESCRIPTION:

The diameter of the 3-km borehole (GISP-D) at the GISP2 site was measured
during 1993, 1994, and 1995 using University of Copenhagen's geophysical
logging system (UCPH); the UCPH logging system is described in Gundestrup
et al.(1994). 

The data in this file correspond to the minimum and maximum diameters
detected by the upper calipers on the UCPH logging tool during the most
recent borehole deformation experiment (1 July, 1995).  These data, and
those from previous years, are described in Clow and Gundestrup, (1997). 

==================================================================	
name	parameter	units	
------------------------------------------------------------------	
TVD	true vertical depth	m	
UC_max	maximum diameter	mm	
UC_min	minimum diameter	mm	
==================================================================		

DATA:

TVD	UC_max	UC_min
74.32	191.3	191.28
74.85	191.3	191.28
75.21	191.3	191.28
75.74	191.3	191.28
76.27	191.3	191.28
76.81	191.3	191.28
77.34	191.3	191.28
77.87	191.3	191.28
78.23	191.3	191.3
78.76	191.3	191.3
79.66	191.3	191.3
79.83	191.3	191.26
80.54	191.3	191.28
80.9	191.32	191.3
81.43	191.32	191.04
81.97	191.3	191.19
82.32	191.3	191.07
82.86	191.3	190.09
83.39	191.3	190.11
83.92	191.3	191.28
84.1	191.3	191.28
84.28	191.32	191.3
84.81	191.32	191.02
85.17	191.3	191.26
85.35	191.3	190.52
85.7	191.3	190.85
85.88	191.3	190.03
86.24	191.3	190.65
86.59	191.32	191.21
86.77	191.32	191.3
87.13	191.32	191.3
87.3	191.32	191.3
87.66	191.32	191.3
87.84	191.32	191.3
88.19	191.32	191.32
88.55	191.32	191.32
88.73	191.32	191.32
89.08	191.32	191.32
89.26	191.32	191.32
89.62	191.32	191.32
89.79	191.32	191.32
90.15	191.32	191.32
90.68	191.32	191.32
91.04	191.32	191.32
91.57	191.32	191.32
92.1	191.32	191.32
92.64	191.35	191.32
93.17	191.35	191.32
94.06	191.35	191.32
94.41	191.35	191.32
94.77	191.35	191.32
95.3	191.35	191.32
95.84	191.35	191.35
96.37	191.35	190.57
96.9	191.3	190.9
97.61	191.3	190.95
97.97	191.3	190.95
98.5	191.3	190.67
99.21	191.28	190.28
99.39	191.04	190.3
99.74	191.26	190.44
100.28	191.19	190.17
100.81	190.99	190.49
101.17	190.72	189.81
101.34	190.85	190.44
101.7	190.85	190.62
101.87	190.85	190.82
102.66	191.35	191.3
103.02	191.32	188.48
103.91	189.98	188.51
105.5	190.8	189.24
105.86	190.49	189.57
106.57	189.83	187.14
107.46	191.35	187.07
108.35	191.39	190.41
109.41	191.37	190.41
110.12	191.37	191.32
111.72	191.37	191.35
111.89	191.37	191.26
113.67	191.35	190.09
113.85	191.32	190.72
114.56	191.32	189.54
115.62	191.37	190.97
116.86	191.37	190.65
117.21	191.35	190.52
118.46	191.28	189.69
119.7	191.28	190.75
120.23	191.28	189.51
120.76	191.23	189.63
122	191.32	189.51
123.07	191.35	189.03
123.95	191.11	189.42
124.66	191.09	188.93
125.19	190.95	189.18
126.08	190.22	189.39
126.26	190.75	189.57
126.43	190.75	190.22
126.61	190.22	188.93
126.79	190.09	188.77
127.14	190.77	189.69
127.85	191.16	189.95
128.56	191.37	190.11
129.27	191.35	189.69
130.33	190.77	189.57
131.39	191.35	189.81
132.1	190.87	189.36
132.63	190.7	189.03
133.52	190.77	189.03
134.76	190.33	188.55
135.82	190.99	189.06
136.17	190.72	189.12
136.71	189.92	187.51
137.41	189.98	188.38
138.65	190.39	188.51
139.89	190.17	189.09
140.78	190.25	188.55
141.91	190.06	188.8
142.09	190.22	189.03
143.96	190.7	189.75
144.75	190.28	188.64
145.98	190.22	188.96
146.16	190.39	188.9
147.76	189.81	188.64
148.11	189.83	186.38
148.64	186.38	184.67
150.23	184.8	184.53
151.11	184.62	184.26
151.29	184.26	184.13
151.64	184.26	184.22
152	184.84	184.22
152.88	184.53	184.03
154.12	184.44	182.15
154.29	184.62	182.1
155.53	189.72	184.62
155.89	188.8	184.17
156.59	184.26	182.9
157.65	184.62	184.03
159.07	184.53	183.8
159.77	184.44	183.57
160.83	184.67	183.62
161.19	183.99	182.45
161.89	184.53	182.45
162.42	189.78	184.31
163.13	189.92	188.51
164.01	189.12	187.29
164.72	189.6	188.07
166.31	189.66	188.01
166.84	189.78	188.21
167.19	189.81	187.8
168.07	188.93	187.55
169.66	189.36	187.55
171.25	189.51	188.41
172.84	190.09	188.71
174.43	189.39	187.87
175.31	189.48	187.73
175.49	189.36	187.87
176.19	189.51	188.41
176.72	189.12	189.06
176.9	189.09	189.06
177.15	189.36	188.18
178.56	189.72	188.21
178.91	189.51	187.97
179.62	189.27	187.76
180.5	188.99	187.62
181.91	189.09	187.94
182.09	189.6	188.28
183.32	189.21	187.9
184.02	189.98	187.69
184.38	189.48	187.73
185.26	189.24	187.51
185.96	189.33	187.73
186.67	188.87	187.73
187.55	188.9	188.18
188.26	189.42	187.73
189.31	189.42	187.55
189.84	189.45	187.76
190.72	188.87	186.96
191.6	188.51	187.18
193.01	189.12	187.8
194.07	189.06	186.92
194.6	190.14	187.18
195.3	188.61	186.38
196.36	188.48	187.4
197.06	189.33	187.87
198.47	188.8	187.22
198.65	188.68	187.33
199.35	188.45	187.44
200.23	188.11	186.69
201.47	188.51	187.65
201.82	188.58	187.55
202.17	188.58	187.69
203.12	191.37	187.22
204	191.37	188.01
204.7	188.93	187.29
205.05	188.64	187.37
205.76	190.28	187.29
206.81	189.42	187.76
207.34	188.9	187.58
208.04	188.55	186.92
209.45	188.87	187.22
210.15	188.96	187.37
211.03	188.93	186.96
211.74	188.64	187.18
212.62	188.38	187.29
213.32	188.25	186.65
214.73	188.41	186.81
215.08	188.04	185.77
215.96	188.51	185.73
216.48	187.8	187.29
217.19	188.55	186.57
217.89	188.64	186.88
219.12	188.41	187.14
219.47	188.38	186.96
220.7	188.18	187.07
221.05	188.18	186.84
221.93	188.41	186.84
222.46	188.45	186.5
223.34	188.35	187.14
224.04	188.38	186.5
224.74	187.97	186.22
225.62	187.4	186.18
226.32	188.11	186.34
227.55	187.83	186.77
227.73	187.73	187.73
228.43	187.9	186.81
229.13	187.94	186.14
230.36	188.28	186.73
231.13	188.96	187
232.01	189.09	187.9
232.47	189.83	188.64
233.41	189.95	189.12
234.57	190.17	188.38
235.28	190.62	189.3
235.34	190.77	189.6
236.39	190.75	189.89
236.75	191.07	190.14
238.15	191.3	190.36
238.85	191.32	190.22
239.55	191.37	189.92
240.61	191.32	190.3
241.13	191.35	190.75
241.66	191.35	190.8
242.53	191.35	190.7
243.76	191.39	191.16
245.34	191.39	191.3
245.52	191.37	191.21
246.22	191.37	190.87
246.57	191.35	191.11
246.74	191.21	191.19
246.92	191.3	190.87
247.79	191.32	188.11
248.5	191.35	188.45
249.02	191.37	188.04
249.9	190.39	187.18
250.95	188.77	187.18
252	188.58	187.65
252.35	188.84	186.92
253.05	188.51	181.43
253.93	181.48	181.37
254.1	181.43	181.37
254.28	181.43	181.37
254.8	181.43	181.32
255.68	181.53	181.32
256.38	181.69	181.48
257.08	181.79	181.64
258.31	181.95	181.74
258.66	181.9	181.64
259.36	181.69	181.48
260.64	181.53	181.27
260.99	181.32	181.27
262.22	181.32	181.27
263.38	182.2	181.37
264.26	183.09	182.2
264.85	183	182.4
265.54	182.85	182.4
266.95	183.09	182.8
267.65	183	182.45
267.99	185.73	182.9
268.7	186.77	183.38
269.57	184.97	182.7
270.44	183.19	182.1
271.14	182.5	182.3
271.85	183.85	181.64
272.72	182.4	181.53
274.12	181.79	181.64
274.29	181.79	181.69
275.69	181.79	181.69
276.74	184.67	181.69
277.44	182.15	181.84
277.97	181.9	181.9
278.14	191.37	181.79
279.19	191.21	181.74
279.71	181.79	181.53
280.59	181.58	181.53
282.16	181.53	181.43
282.86	181.48	181.43
283.56	181.48	181.37
283.73	181.74	181.37
284.43	184.4	181.69
285.31	183.85	181.84
286.18	182.5	182
287.05	182.5	182.35
287.75	182.4	182.2
288.45	182.45	182.2
289.32	182.4	181.84
290.02	182.45	181.79
290.9	182.95	182.4
291.77	182.6	182.35
292.46	182.55	182.4
293.34	182.6	182.4
294.04	182.45	182.1
294.91	182.2	182
295.61	182.25	182
296.48	182.6	182.15
297.88	182.6	182.05
298.05	182.1	181.95
298.92	182.2	181.84
299.62	181.95	181.64
300.21	181.69	181.53
301.19	181.58	181.53
301.43	181.58	181.58
301.89	181.58	181.53
301.95	181.58	181.53
302.13	181.58	181.53
302.82	181.64	181.53
303.17	181.64	181.53
304.74	187.8	181.64
304.92	185.1	181.64
305.96	181.64	181.64
306.49	181.69	181.64
308.06	181.74	181.53
308.93	181.84	181.58
309.97	185.98	181.69
310.67	183.52	181.58
311.19	182.25	181.37
312.06	182.05	181.43
312.94	181.48	181.43
313.81	181.48	181.43
314.5	181.9	181.43
315.38	182.3	181.95
