GISP2-D Borehole Geometry

REFERENCES:

Clow, G.D., R.W. Saltus, and E.D. Waddington. 1996. A new high-precision
borehole-temperature logging system used at GISP2, Greenland, and Taylor
Dome, Antarctica. Journal of Glaciology 42:576-584.

Gundestrup, N.S., H.B. Clausen, and B.L. Hansen. 1994. The UCPH borehole
logger. Mem. National Institute Polar Research, Special Issue 49:224-233.

DATA DESCRIPTION:

The inclination and azimuth of the 3-km borehole (GISP-D) at the GISP2
site was measured during 1993, 1994, and 1995 using University of
Copenhagen's geophysical logging system (UCPH).  This system is described
by Gundestrup et al., (1994). Continued measurements will reveal the rate
at which the ice is deforming as a function of depth in the ice sheet; ice
deformation measurements are needed to constrain ice dynamics models
developed for the GISP2 and GRIP sites.  Given the slow deformation rates
at GISP2, these measurements will need to be continued through at least
1999. 

The data in this file are from the most recent borehole deformation
experiment (1 July, 1995).  The true vertical depth of each point along
the curving borehole is calculated from the measured slant length,
inclination, and azimuth.  These data, and those from previous years, are
described in Clow and Gundestrup, (1997). 

=============================================================	
	parameter	units			
------------------------------------------------------------------	
SL	slant length measured along the borehole	m		
TVD	true vertical depth	m		
North	north component of borehole location	m			
West 	west component of borehole location	m			
Ic	borehole inclination	deg			
Az	borehole azimuth (clockwise from true north)	deg			
=============================================================		

DATA:

SL	TVD	North	West	Ic	Az
0	0	0	0	0	92
102.2	102.2	0	0	0.1	110.5
127.26	127.26	-0.02	-0.04	0.35	169.8
151.68	151.68	-0.16	-0.07	0.16	141.2
176.69	176.69	-0.22	-0.11	0.37	108.6
201.87	201.87	-0.27	-0.27	0.49	125
227.65	227.65	-0.39	-0.45	0.33	153.3
254.13	254.13	-0.53	-0.51	0.23	145
278.12	278.12	-0.61	-0.57	0.12	201.7
302.23	302.23	-0.66	-0.55	0.27	159
327.46	327.46	-0.77	-0.59	0.39	142
352.58	352.58	-0.9	-0.7	0.67	116
377.52	377.51	-1.03	-0.96	0.95	121.2
402.41	402.4	-1.24	-1.31	0.72	122.8
427.9	427.89	-1.42	-1.58	0.57	138.6
452.67	452.66	-1.6	-1.75	0.44	144.1
477.13	477.12	-1.75	-1.86	0.39	154.3
502.17	502.16	-1.91	-1.93	0.19	136.6
527.05	527.04	-1.97	-1.99	0.32	189.7
552.51	552.5	-2.11	-1.96	0.48	196.6
578.51	578.5	-2.32	-1.9	0.12	230.2
602.5	602.49	-2.35	-1.86	0.38	282.1
628	627.98	-2.31	-1.7	0.33	267.6
653.46	653.44	-2.32	-1.55	0.23	222.6
680.81	680.79	-2.4	-1.48	0.42	256.1
704.3	704.28	-2.44	-1.31	0.51	301.4
730.96	730.94	-2.32	-1.11	0.89	296.2
756.24	756.22	-2.15	-0.75	1.03	286.1
780.55	780.53	-2.02	-0.33	1.17	279.5
804.84	804.81	-1.94	0.16	1.2	289
829.43	829.39	-1.77	0.64	1.24	298.8
853.87	853.83	-1.52	1.11	1.34	307.4
878.45	878.4	-1.17	1.56	1.6	305.6
903.24	903.18	-0.77	2.12	1.56	297.6
928.32	928.25	-0.45	2.73	1.82	299.6
953.02	952.94	-0.06	3.41	1.71	305.4
978.16	978.07	0.37	4.02	1.91	309.7
1003.08	1002.98	0.9	4.66	2.32	310.8
1028.09	1027.97	1.56	5.43	2.62	313.7
1052.99	1052.84	2.35	6.25	3.01	316
1078.12	1077.93	3.3	7.17	3.37	314.5
1103.41	1103.18	4.34	8.23	3.51	314.7
1128.61	1128.33	5.43	9.33	3.76	314.9
1154.24	1153.91	6.61	10.52	3.96	316.7
1178.55	1178.16	7.83	11.67	3.98	316.4
1203.81	1203.36	9.1	12.88	4	315
1228.53	1228.02	10.32	14.1	4.1	314.8
1253.46	1252.89	11.58	15.36	3.83	314.5
1278.2	1277.57	12.74	16.54	4.05	313.7
1303.29	1302.6	13.96	17.82	4.15	317.2
1328.28	1327.52	15.29	19.05	4.14	317.7
1353.74	1352.92	16.65	20.29	4.46	316.7
1378.72	1377.82	18.06	21.62	4.52	314.9
1404.11	1403.13	19.47	23.04	4.55	315.5
1429.46	1428.4	20.91	24.45	4.82	316.4
1454.83	1453.68	22.45	25.92	5.19	316.9
1480.41	1479.16	24.14	27.5	5.21	321
1505.05	1503.7	25.88	28.9	5.91	322.9
1530.97	1529.48	28.01	30.51	6.92	320.6
1556.42	1554.74	30.38	32.46	6.87	320.2
1606.02	1603.99	34.94	36.26	6.56	318.3
1630.89	1628.69	37.06	38.15	6.35	317.9
1655.71	1653.36	39.09	39.99	6.13	316.8
1680.05	1677.56	40.99	41.77	5.97	315.8
1705.11	1702.49	42.86	43.59	5.87	315.6
1730.23	1727.47	44.69	45.38	5.74	314.4
1750.4	1747.54	46.1	46.82	5.67	313.2
1780.24	1777.24	48.12	48.97	5.59	310.8
1805.31	1802.19	49.72	50.82	5.51	310.2
1830.89	1827.65	51.3	52.7	5.47	309
1855.44	1852.09	52.78	54.52	5.41	307.2
1905.71	1902.13	55.64	58.29	5.25	301.3
1931.48	1927.8	56.87	60.31	5.22	300.7
1955.76	1951.97	57.99	62.21	5.33	298
1980.69	1976.8	59.08	64.25	5.42	297.3
2005.9	2001.89	60.17	66.37	5.35	297.4
2031.24	2027.12	61.26	68.46	5.29	296.8
2056.18	2051.96	62.3	70.52	5.26	295.3
2080.9	2076.57	63.27	72.57	5.17	294.8
2105.88	2101.45	64.21	74.61	5.07	294.2
2131.03	2126.5	65.12	76.64	5.03	293.6
2151.32	2146.72	65.83	78.27	5.02	293.2
2180.99	2176.27	66.86	80.65	4.94	292.4
2206.01	2201.2	67.68	82.64	4.98	290.6
2231.58	2226.67	68.46	84.72	5.01	289
2257.95	2252.94	69.21	86.9	5.16	286.3
2282.11	2277	69.82	88.99	5.5	282.8
2306.29	2301.07	70.33	91.25	5.62	279.5
2331.27	2325.93	70.74	93.66	5.65	276.5
2356.76	2351.3	71.02	96.15	5.54	271.2
2381.96	2376.38	71.07	98.58	5.64	270.8
2406.41	2400.71	71.1	100.99	5.77	271.7
2431.46	2425.64	71.18	103.5	5.73	270.6
2456.51	2450.56	71.21	106	5.64	267.9
2481.56	2475.49	71.12	108.46	5.75	264
2506.82	2500.62	70.85	110.98	5.76	260.9
2531.61	2525.29	70.46	113.44	5.79	258.8
2556.66	2550.21	69.97	115.92	5.65	256.7
2581.76	2575.19	69.4	118.32	6.02	258.7
2606.81	2600.1	68.88	120.9	6.07	255.6
2631.85	2625	68.22	123.46	6.07	252.2
2657.17	2650.18	67.41	126.01	6.03	248
2681.97	2674.84	66.43	128.43	5.72	241.6
2707.48	2700.22	65.22	130.66	5.89	243.4
