GISP2 Thin Sections

REFERENCE:

Alley, R.B., A.J. Gow, D.A. Meese, J.J. Fitzpatrick, E.D. Waddington, and
J.F. Bolzan. 1997. Grain-scale processes, folding, and stratigraphic
disturbance in the GISP2 ice core. Journal of Geophysical Research
102:26819-26830.

Alley, R.B., and G.A. Woods. 1996. Impurity influence on normal grain
growth in the GISP2 ice core, Greenland. Journal of Glaciology 42:255-260.

Alley, R.B., A.J. Gow, and D.A. Meese. 1995. Mapping c-axis fabrics to
study physical processes in ice. Journal of Glaciology 41:197-203.

Anandakrishnan, S., J.J. Fitzpatrick, R.B. Alley, A.J. Gow, and D.A. Meese.
1995. Shear-wave detection of asymmetric c-axis fabrics in the GISP2 ice
core, Greenland. Journal of Glaciology 40:491-496.

DATA DESCRIPTION:

Vertical thin sections from the GISP2 core were examined on the Rigsby
stage for c-axis orientation.  Data are given by depth, and then the
theta, phi and grain number.  Grain number is an identification.  Theta
and phi are the orientation of the c-axis of the grain relative to the
symmetry axis of the core (i.e. vertical); note that this means that the
c-axes have been rotated so that phi=0 is vertical, with phi the
inclination of the c-axis from vertical.  Theta is the azimuth, and the
zero is arbitrary (the core was not oriented when collected) although all
grains in a single thin section have the same zero azimuth. 

Following the entire file for a thin section is a group of files.  These
are given as the coordinates at which a c-axis plots on an equal area net,
followed by the grain number.  They are grouped in stripes, horizontals,
and normal grains.  As described in the manuscript, the thin sections
contained dark-looking regions because the grains have near-vertical
c-axes, inclined stripes of grains with inclined c-axes, and horizontal
layers with some grains having inclined c-axes.  A thin section may have
one or more stripes, etc.  Not all grains were classified in all cases,
and in some cases a grain may have been counted more than once (say, if it
fell at the intersection of two stripes). 

DATA:

Thin section: 2202 m
theta	phi	grain number
0.511	0.441	1
0.992	0.166	2
-4.662	0.367	3
0.503	0.249	4
-4.491	0.25	5
1.476	0.193	6
1.267	0.183	7
0.815	0.375	8
0.836	0.413	9
0.671	0.303	10
1.107	0.329	11
1.261	0.365	12
1.107	0.329	13
1.213	0.316	14
-4.568	0.528	15
0.526	0.338	16
1.454	0.316	17
1.179	0.338	18
0.872	0.401	19
-3.916	0.412	20
-3.542	0.178	21
-4.493	0.339	22
0.706	0.511	23
-4.476	0.483	24
1.281	0.127	25
0.569	0.065	26
1.211	0.26	27
-4.654	0.315	28
-4.552	0.23	29
-4.517	0.284	30
0.539	0.362	31
1.411	0.23	32
1.422	0.247	33
1.361	0.356	34
-4.581	0.282	35
-4.654	0.315	36
-4.469	0.305	37
-4.434	0.199	38
-4.376	0.221	39
-2.555	0.218	40
0.917	0.24	41
0.657	0.489	42
-4.539	0.213	43
1.385	0.514	44
-4.616	0.386	45
-4.408	0.183	46
-4.049	0.089	47
-4.524	0.195	48
-4.028	0.202	49
-4.3	0.228	50
-0.569	0.065	51
-0.119	0.146	52
0.105	0.164	53
-4.583	0.141	54
-4.104	0.127	55
-3.8	0.253	56
0.309	0.114	57
0	0.054	58
-2.469	0.139	59
-0.621	0.179	60
0	0.091	61
-0.569	0.065	62
-4.292	0.134	63
0.13	0.385	64
-0.621	0.179	65
0.112	0.439	66
-0.307	0.171	67
0.062	0.273	68
-0.964	0.064	69
-0.765	0.05	70
0.875	0.113	71
0.958	0.254	72
-3.588	0.121	73
-2.906	0.075	74
-2.694	0.081	75
-3.451	0.057	76
-2.833	0.114	77
-4.106	0.064	78
-4.484	0.161	79
-3.039	0.329	80
0.209	0.167	81
-2.833	0.114	82
-1.935	0.205	83
-4.378	0.111	84
-3.709	0.129	85
0.761	0.201	86
0.171	0.203	87
-0.267	0.132	88
1.365	0.178	89
0.875	0.113	90
0.448	0.04	91
-0.31	0.057	92
0.765	0.05	93
-4.292	0.134	94
-4.339	0.15	95
1.281	0.127	96
0.278	0.189	97
-3.907	0.025	98
-4.423	0.127	99
1.281	0.127	100

Thin section: 2202 m		
Stripe 1		
x	y	grain number
-0.151	-0.27	1
-0.098	-0.064	2
-0.258	0.013	3
-0.085	-0.154	4
-0.172	0.039	5
-0.136	-0.013	6
-0.123	-0.039	7
-0.192	-0.181	8
-0.215	-0.194	9
-0.133	-0.167	10
-0.207	-0.104	11
-0.244	-0.078	12
-0.207	-0.104	13
-0.208	-0.078	14
-0.365	0.053	15
-0.119	-0.206	16
-0.221	-0.026	17
-0.22	-0.091	18
-0.216	-0.181	19
-0.202	0.207	20
-0.049	0.116	21
-0.233	0.052	22
-0.232	-0.272	23
-0.329	0.079	24
-0.086	-0.026	25
-0.025	-0.039	26
-0.172	-0.065	27
-0.221	0.013	28
-0.16	0.026	29
-0.196	0.039	30
-0.131	-0.218	31
-0.16	-0.026	32
-0.172	-0.026	33
-0.245	-0.052	34
-0.197	0.026	35
-0.221	0.013	36
-0.209	0.052	37
-0.135	0.039	38
-0.147	0.051	39
0.085	0.128	40
-0.134	-0.103	41
-0.209	-0.271	42
-0.148	0.026	43
-0.353	-0.066	44
-0.27	0.026	45
-0.123	0.039	46
-0.05	0.039	47
-0.135	0.026	48
-0.11	0.09	49
-0.147	0.064	50

Normal region 1		
x	y	grain number
0.025	-0.039	51
0.012	-0.102	52
-0.012	-0.115	53
-0.099	0.013	54
-0.074	0.051	55
-0.109	0.141	56
-0.025	-0.077	57
0	-0.038	58
0.061	0.077	59
0.074	-0.103	60
0	-0.064	61
0.025	-0.039	62
-0.086	0.039	63
-0.035	-0.268	64
0.074	-0.103	65
-0.034	-0.306	66
0.036	-0.115	67
-0.012	-0.192	68
0.037	-0.026	69
0.024	-0.026	70
-0.061	-0.051	71
-0.147	-0.103	72
-0.037	0.077	73
0.012	0.052	74
0.025	0.052	75
-0.012	0.038	76
0.024	0.077	77
-0.037	0.026	78
-0.111	0.026	79
0.024	0.23	80
-0.024	-0.115	81
0.024	0.077	82
0.135	0.052	83
-0.074	0.026	84
-0.049	0.077	85
-0.098	-0.103	86
-0.024	-0.141	87
0.025	-0.09	88
-0.123	-0.026	89
-0.061	-0.051	90
-0.012	-0.025	91
0.012	-0.038	92
-0.024	-0.026	93
-0.086	0.039	94
-0.099	0.039	95
-0.086	-0.026	96
-0.037	-0.128	97
-0.012	0.013	98
-0.086	0.026	99
-0.086	-0.026	100



Thin section: 2361 m		
theta	phi	grain number
-4.185	0.181	1
1.491	0.473	2
1.387	0.408	3
-4.611	0.368	4
-4.666	0.402	5
1.398	0.213	6
0.981	0.23	7
1.46	0.334	8
-4.491	0.25	9
-0.569	0.065	10
-3.684	0.298	11
0.189	0.092	12
1.316	0.144	13
1.34	0.322	14
1.478	0.403	15
0.963	0.127	16
1.316	0.144	17
-3.641	0.145	18
-4.298	0.416	19
1.396	0.319	20
1.158	0.228	21
0.624	0.089	22
-3.718	0.283	23
-4.376	0.221	24
1.137	0.306	25
-4.313	0.432	26
1.524	0.402	27
1.342	0.411	28
-4.632	0.228	29
-4.012	0.227	30
-4.005	0.339	31
1.327	0.305	32
1.107	0.329	33
-3.904	0.151	34
-0.67	0.644	35
-2.265	0.525	36
-4.231	0.157	37
1.5	0.542	38
1.426	0.388	39
-4.528	0.408	40
-4.44	0.343	41
-4.548	0.459	42
1.293	0.199	43
1.198	0.15	44
1.376	0.284	45
-4.538	0.319	46
1.012	0.103	47
-4.538	0.319	48
-3.728	0.218	49
-4.377	0.166	50
1.207	0.205	51
1.091	0.079	52
-2.514	0.454	53
-1.944	0.15	54
0.649	0.391	55
-4.456	0.216	56
1.09	0.118	57
0.441	0.241	58
1.258	0.238	59
0.765	0.05	60
-2.735	0.457	61
-2.775	0.097	62
-4.071	0.152	63
0.828	0.189	64
0.682	0.402	65
1.218	0.677	66
1.412	0.476	67
-4.595	0.316	68
1.505	0.28	69
-4.434	0.199	70
1.383	0.195	71
-4.539	0.213	72
0.542	0.298	73
-4.712	0.244	74
1.512	0.664	75
1.514	0.699	76
1.086	0.615	77
-4.671	0.454	78
1.313	0.288	79
-4.355	0.371	80
-4.524	0.195	81
-4.017	0.113	82
1.146	0.267	83
-4.339	0.15	84
-4.122	0.23	85
-4.637	0.245	86
1.332	0.394	87
-2.624	0.209	88
-2.377	0.101	89
1.089	0.157	90
1.091	0.079	91
1.342	0.411	92
1.146	0.267	93
1.136	0.173	94
0.894	0.352	95
1.409	0.74	96
1.463	0.736	97
1.459	0.509	98
1.41	0.914	99
-4.377	0.166	100
1.413	0.353	101
-4.393	0.293	102
-4.493	0.339	103
-4.259	0.516	104
-4.532	0.531	105
-4.565	0.124	106
-4.348	0.205	107
-4.595	0.316	108
0.794	0.313	109
-0.886	0.202	110
-3.142	0.018	111
-4.174	0.142	112
0.31	0.057	113
1.476	0.193	114
-0.568	0.129	115
1.258	0.238	116
1.342	0.411	117
-4.378	0.111	118
1.333	0.233	119
1.376	0.284	120
-2.564	0.371	121
0.897	0.477	122
1.431	0.545	123
1.398	0.213	124
1.198	0.15	125
0.425	0.441	126
-4.423	0.127	127
0.84	0.163	128
1.34	0.322	129
0.695	0.189	130
0.615	0.268	131
1.172	0.432	132
1.036	0.516	133
1.281	0.127	134
1.465	0.351	135
1.494	0.49	136
0.912	0.761	137
1.326	0.466	138
0.456	0.345	139
0.185	0.444	140
0.655	0.586	141
-3.898	0.51	142
0.965	0.457	143
-3.386	0.677	144
0.854	0.138	145
-4.54	0.106	146
-0.234	0.149	147
-0.156	0.221	148
0.561	0.258	149
1.149	0.361	150
1.526	0.419	151
-4.625	0.21	152
0.686	0.164	153
-3.196	0.309	154
1.277	0.453	155
1.287	0.47	156
-4.409	0.809	157
0.537	0.169	158
1.088	0.485	159
1.363	0.267	160
0.586	0.395	161
1.424	0.668	162
-0.267	0.132	163
0.95	0.481	164
-0.267	0.132	165
1.379	0.39	166
1.249	0.475	167
1.316	0.144	168
1.411	0.23	169
-4.538	0.319	170
1.398	0.213	171
-4.3	0.228	172
1.15	0.134	173
0.267	0.132	174
-0.763	0.151	175
-0.383	0.274	176
-3.142	0.091	177
-0.448	0.04	178
-1.298	0.343	179
0	0.218	180
1.137	0.306	181
1.454	0.316	182
-4.353	0.48	183
1.491	0.473	184
1.482	0.42	185
0	0.109	186
1.287	0.47	187
-4.597	0.158	188
-0.929	0.152	189
-0.568	0.129	190
-4.245	0.592	191
-4.338	0.354	192
1.46	0.334	193
1.459	0.509	194
-4.32	0.338	195
-1.146	0.267	196
1.451	0.474	197
-1.826	0.144	198
-1.423	0.124	199
-1.383	0.195	200


Thin section: 2361		
Stripe 1		
x	y	 grain number
-0.33	-0.026	2
-0.282	-0.052	3
-0.257	0.026	4
-0.282	0.013	5
-0.378	-0.027	38
-0.27	-0.039	39
-0.282	0.053	40
-0.232	0.065	41
-0.317	0.053	42
-0.172	0	74
-0.46	-0.027	75
-0.483	-0.027	76
-0.379	-0.199	77
-0.505	-0.082	96
-0.506	-0.055	97
-0.354	-0.04	98
-0.616	-0.1	99
-0.221	-0.052	129
-0.279	-0.118	132
-0.31	-0.184	133
-0.342	-0.026	136
-0.415	-0.322	137
-0.317	-0.079	138
-0.245	0.259	142

Horizontal 1		
x	y	grain number
-0.267	0.118	19
0.187	0.258	53
0.099	0.039	54
0.049	-0.077	190
-0.368	0.186	191

Horizontal 2		
x	y	 grain number
0.049	-0.077	115
-0.281	-0.065	117
0.142	0.219	121
0.025	-0.09	165
0.074	-0.077	175
0.072	-0.179	176
0.232	-0.065	179

Normal region 1		
x	y	grain number
-0.122	0.103	30
-0.135	0.026	81
-0.061	0.051	82
-0.099	0.039	84
-0.135	0.09	85
-0.172	0.013	86
-0.172	-0.078	93
-0.111	-0.051	94
-0.193	-0.155	95
-0.099	-0.039	125
-0.128	-0.282	126
-0.086	0.026	127
-0.085	-0.102	130
-0.109	-0.154	131
-0.107	-0.218	139
-0.057	-0.306	140



Thin section: 2540 m		
theta	phi	grain number
-0.158	0.11	1
-0.765	0.05	2
-4.379	0.055	3
-0.31	0.057	4
1.316	0.144	5
-4.353	0.26	6
0.905	0.177	7
1.207	0.205	8
1.365	0.178	9
0.905	0.177	10
1.198	0.15	11
-4.637	0.245	12
1.44	0.282	13
1.398	0.213	14
1.089	0.157	15
0.119	0.146	16
1.455	0.158	17
0.765	0.101	18
1.441	0.141	19
0.907	0.089	20
1.343	0.161	21
1.267	0.183	22
1.174	0.189	23
0.765	0.076	24
0.624	0.089	25
1.044	0.181	26
0.624	0.089	27
1.316	0.144	28
0.522	0.105	29
0.189	0.092	30
1.176	0.094	31
0.848	0.276	32
-4.524	0.195	33
0.234	0.149	34
0.756	0.276	35
0.828	0.189	36
0.761	0.201	37
0.63	0.479	38
1.089	0.157	39
-3.142	0.036	40
-3.377	0.075	41
-4.711	0.122	42
0.766	0.025	43
1.327	0.305	44
-1.999	0.953	45
-2.347	1.093	46
1.236	0.111	47
1.213	0.316	48
1.207	0.205	49
-2.296	0.789	50
0	0.018	51
-4.54	0.106	52
1.037	0.4	53
0.765	0.101	54
0.961	0.191	55
-4.376	0.221	56
-4.607	0.351	57
-4.104	0.127	58
1.236	0.111	59
0.765	0.05	60
1.423	0.124	61
-4.012	0.227	62
1.316	0.144	63
1.236	0.166	64
1.281	0.127	65
-4.08	0.279	66
1.455	0.158	67
1.236	0.166	68
1.15	0.134	69
1.316	0.072	70
1.316	0.144	71
0.5	0.145	72
0	0.091	73
1.236	0.166	74
1.423	0.124	75
-4.106	0.064	76
0.875	0.113	77				
0.673	0.139	78				
-2.572	0.065	79				
0.624	0.089	80				
-4.711	0.105	81				
1.293	0.199	82				
1.089	0.157	83				
0.267	0.132	84				
0.305	0.229	85				
-2.212	1.445	86				
-1.702	1.311	87				
1.249	0.475	88				
0.752	0.534	89				
1.423	0.124	90				
0.985	0.824	91
-3.97	0.189	92				
-0.55	0.386	93
1.051	0.531	94
1.213	0.426	95
0	0.036	96
-3.142	0.018	97
-4.581	0.282	98
0.624	0.089	99
1.198	0.15	100
-4.278	0.306	101
-4.23	0.197	102
0.854	0.138	103
0.937	0.216	104
0	0.036	105
-4.232	0.118	106
-4.528	0.302	107
-4.454	1.01	108
1.112	1.43	109
1.316	0.906	110
1.316	0.906	111
-2.797	0.849	112
-3.648	0.59	113
-2.217	0.529	114
-0.134	0.256	115
-2.114	0.758	116
-1.775	0.796	117
0.022	0.672	118
-2.183	0.557	119
0.278	0.473	120
-3.74	0.154	121
0.569	0.065	122
-4.277	0.173	123
1.455	0.491	124
-4.712	0.227	125


Thin section: 2540 m		
Stripe 1		
x	y	grain number

-0.599	-0.156	110
-0.599	-0.156	111

Stripe 2		
x	y	 grain number
0.59	0.269	45
0.524	0.515	46
0.407	0.361	50
0.749	0.559	86

Horizontal 1		
x	y	 grain number
0.197	0.548	112
0.295	0.223	114
0.448	0.27	116
0.537	0.111	117
0.318	0.223	119

Horizonatl 2		
x	y	 grain number
-0.661	0.175	108

Normal region 1		
x	y	 grain number
-0.123	-0.026	9
-0.098	-0.077	10
-0.099	-0.039	11
-0.172	0.013	12
-0.197	-0.026	13
-0.148	-0.026	14
-0.098	-0.051	15
-0.111	-0.013	17
-0.099	-0.013	19
-0.111	-0.026	21
-0.123	-0.039	22
-0.123	-0.052	23
-0.11	-0.064	26
-0.098	-0.026	28
-0.146	-0.129	32
-0.135	0.026	33



Thin section: 2545 m		
theta 	phi 	grain number
-0.636	1.202	1
-0.509	1.253	2
-0.558	0.848	3
-0.762	0.829	4
-0.795	0.866	5
-0.898	0.856	6
-0.928	0.861	7
-0.519	0.684	8
-0.906	0.614	9
-0.69	0.939	10
-0.955	1.003	11
-0.769	1.088	12
-1.018	0.883	13
-4.118	0.809	14
-4.103	0.918	15
-4.143	0.638	16
-4.197	0.454	17
-4.051	0.834	18
-4.134	1.35	19
-0.954	0.904	20
-0.63	0.907	21
-3.756	0.381	22
-1.018	0.743	23
-0.82	0.972	24
-1.325	1.095	25
-1.244	1.104	26
-1.059	1.039	27
-0.673	0.806	28
-0.718	0.973	29
-1.41	1.122	30
-4.539	0.213	31
-4.089	0.618	32
-0.835	0.998	33
-0.677	0.895	34
-1.349	1.127	35
-0.911	0.798	36
-1.094	0.774	37
-0.871	0.935	38
-1.334	0.765	39
-0.983	0.736	40
-0.879	1.504	41
-3.934	1.304	42
-4.239	1.509	43
-4.226	1.05	44
-4.581	0.282	45
-4.484	0.411	46
-4.538	0.319	47
-4.27	0.345	48
1.447	0.299	49
-4.664	0.384	50
-4.674	0.489	51
-4.554	0.476	52
-4.493	0.339	53
-4.542	0.442	54
-4.45	0.592	55
-4.597	0.684	56
-0.378	1.393	57
1.15	0.134	58
0.762	0.176	59
1.399	0.106	60
0.765	0.101	61
-3.64	0.353	62
-3.553	0.338	63
-3.645	0.249	64
-4.376	0.221	65
-3.587	0.161	66
-4.231	0.157	67
-4.3	0.228	68
-4.125	0.332	69
-4.581	0.282	70
-4.288	0.267	71
-4.3	0.228	72
-3.896	0.301	73
-3.427	0.513	74
-3.817	0.328	75
-3.941	0.288	76
-3.944	0.425	77
-4.481	0.322	78
-4.036	0.352	79
-3.848	0.511	80
-3.946	0.263	81
-3.767	0.293	82
-3.615	0.369	83
1.376	0.284	84
-4.079	0.342	85
-4.106	0.457	86
-4.27	0.345	87
-4.249	0.329	88
-4.548	0.459	89
-4.342	0.768	90
-4.161	0.539	91
-4.428	0.398	92
-1.049	1.074	93
-4.054	0.552	94
-3.419	0.189	95
-3.552	0.258	96
-3.696	0.702	97
-4.34	0.519	98
-3.684	0.234	99
-4.506	0.178	100
-1.008	1.148	101
-4.55	0.74	102
-4.443	0.575	103
-0.864	1.37	104
-4.503	0.656	105
-4.249	0.329	106
-4.198	0.415	107
-4.338	0.354	108
-4.674	0.489	109
-4.4	0.238	110
-4.589	0.299	111
-4.217	0.43	112
-4.29	0.361	113
-4.65	0.297	114
-4.436	0.558	115
-4.548	0.459	116
-3.902	0.201	117
-4.434	0.199	118
-4.4	0.238	119
-3.8	0.253	120
-4.232	0.118	121
-3.531	0.354	122
-4.583	0.141	123
1.293	0.199	124
-4.506	0.178	125
1.383	0.195	126
-3.843	0.214	127
-3.981	0.163	128
-4.377	0.166	129
-3.548	0.218	130
1.441	0.141	131
-3.587	0.161	132
-4.618	0.193	133
-4.608	0.175	134
-4.339	0.15	135
-4.292	0.134	136
-4.153	0.103	137
-4.524	0.195	138
-4.26	0.251	139
-3.815	0.139	140
-3.588	0.121	141
-4.232	0.118	142
-4.257	0.423	143
1.359	0.445	144
1.376	0.284	145
-4.595	0.316	146
1.426	0.388	147
1.413	0.617	148
-4.121	0.433	149
-4.538	0.319	150
-4.593	0.474	151
0.752	0.326	152
1.432	0.405	153
1.298	0.415	154
1.286	0.542	155
-4.616	0.386	156
-4.62	0.403	157
-0.831	0.951	158
-4.364	0.497	159
-2.907	0.149	160
-0.941	0.839	161
-3.588	0.121	162
-4.097	0.519	163
-0.673	0.862	164
-4.646	0.577	165
-4.129	0.661	166
-0.679	1.056	167
-0.556	1.041	168
-0.748	1.052	169
-0.928	0.861	170
-0.795	0.9	171
-0.646	0.982	172
0.344	0.154	173
-0.928	0.861	174
-0.867	0.851	175


Thin section: 2545 m		
Stripe 1		
x	y	 grain number
0.475	-0.643	1
0.404	-0.724	2
0.308	-0.494	3
0.393	-0.412	4
0.424	-0.416	5
0.459	-0.366	6
0.472	-0.354	7
0.235	-0.412	8
0.336	-0.264	9
0.407	-0.493	10
0.555	-0.393	11
0.509	-0.526	12
0.514	-0.317	13
0.504	-0.357	20
0.365	-0.501	21
-0.154	0.219	22
0.437	-0.27	23
0.483	-0.451	24
0.714	-0.179	25
0.702	-0.238	26
0.612	-0.344	27
0.346	-0.434	28
0.435	-0.498	29
0.743	-0.12	30
-0.148	0.026	31
-0.349	0.251	32
0.502	-0.454	33
0.383	-0.477	34
0.737	-0.166	35
0.434	-0.337	36
0.474	-0.245	37
0.488	-0.41	38
0.513	-0.124	39
0.423	-0.282	40
0.744	-0.616	41
-0.611	0.603	42
-0.862	0.442	43
-0.627	0.331	44
0.368	-0.462	164
-0.401	0.027	165
-0.383	0.253	166
0.447	-0.554	167
0.371	-0.597	168
0.483	-0.52	169
0.472	-0.354	170
0.439	-0.431	171
0.401	-0.532	172
-0.037	-0.102	173
0.472	-0.354	174
0.445	-0.378	175

Stripe 2		
x	y	number
-0.461	0.312	14
-0.514	0.359	15
-0.374	0.239	16
-0.277	0.157	17
-0.452	0.352	18
-0.74	0.483	19
-0.263	0.183	86
-0.219	0.104	87
-0.207	0.104	88
-0.317	0.053	89
-0.494	0.192	90
-0.321	0.197	91
-0.268	0.078	92
0.627	-0.361	93
-0.305	0.236	94
0.649	-0.41	101
-0.505	0.083	102
-0.387	0.107	103
0.68	-0.581	104

Stripe 3		
x	y	grain number
-0.197	0.026	45
-0.281	0.065	46
-0.221	0.039	47
-0.219	0.104	48
-0.209	-0.026	49
-0.27	0.013	50
-0.342	0.013	51
-0.329	0.053	52
-0.233	0.052	53
-0.306	0.053	54
-0.398	0.107	55
-0.471	0.055	56
0.335	-0.843	57

Stripe 4		
x	y	 grain number
-0.446	0.095	105
-0.207	0.104	106
-0.254	0.143	107
-0.232	0.091	108
-0.342	0.013	109
-0.16	0.052	110
-0.209	0.026	111
-0.265	0.143	112
-0.232	0.104	113
-0.209	0.013	114
-0.375	0.106	115
-0.317	0.053	116
-0.281	-0.078	154
-0.363	-0.106	155
-0.27	0.026	156
-0.282	0.026	157

Stripe 5		
x	y	 grain number
-0.305	-0.066	144
-0.196	-0.039	145
-0.221	0.026	146
-0.27	-0.039	147
-0.424	-0.067	148
-0.252	0.169	149
-0.221	0.039	150
-0.33	0.04	151
-0.157	-0.168	152
-0.282	-0.039	153

Stripe 6		
x	y	 grain number
0.478	-0.436	158
-0.327	0.119	159
-0.037	0.077	162
-0.296	0.209	163

Horizontal 1		
x	y	 grain number
0.024	0.102	160
-0.037	0.077	162
-0.296	0.209	163

Horizontal 2		
x	y	 grain number
-0.305	0.236	94
-0.037	0.128	95
-0.073	0.167	96
-0.256	0.413	97
-0.338	0.132	98
-0.085	0.141	99
-0.123	0.026	100

Normal region 1		
x	y	 grain number
-0.086	-0.039	58
-0.086	-0.09	59
-0.074	-0.013	60
-0.049	-0.051	61
-0.119	0.218	62
-0.095	0.218	63
-0.085	0.154	64
-0.147	0.051	65
-0.049	0.103	66
-0.098	0.051	67
-0.147	0.064	68
-0.195	0.13	69
-0.197	0.026	70
-0.172	0.078	71
-0.147	0.064	72
-0.145	0.155	73
-0.101	0.344	74
-0.144	0.18	75
-0.145	0.141	76
-0.214	0.207	77
-0.221	0.052	78
-0.193	0.155	79
-0.232	0.272	80
-0.134	0.129	81
-0.121	0.167	82
-0.118	0.231	83
-0.196	-0.039	84
-0.194	0.142	85

Normal region 2		
x	y	 grain number
-0.098	0.103	117
-0.135	0.039	118
-0.16	0.052	119
-0.109	0.141	120
-0.074	0.039	121
-0.095	0.23	122
-0.099	0.013	123
-0.135	-0.039	124
-0.123	0.026	125
-0.135	-0.026	126

Normal region 3		
x	y	 grain number
-0.097	0.115	127
-0.086	0.077	128
-0.111	0.039	129
-0.061	0.141	130
-0.099	-0.013	131
-0.049	0.103	132
-0.136	0.013	133
-0.123	0.013	134
-0.099	0.039	135
-0.086	0.039	136
-0.062	0.039	137
-0.135	0.026	138
-0.159	0.077	139
-0.061	0.077	140
-0.037	0.077	141
-0.074	0.039	142
-0.267	0.131	143



Thin section: 2661 m		
theta	phi 	grain number
-1.719	0.124	1
1.441	0.141	2
-1.213	0.316	3
1.376	0.284	4
0.445	0.161	5
-2.488	0.114	6
-0.479	0.432	7
0.309	0.114	8
-4.434	0.199	9
0.686	0.164	10
-0.742	0.425	11
0	0.2	12
-4.339	0.15	13
-1.234	0.221	14
-1.027	0.283	15
-1.091	0.039	16
1.15	0.134	17
-0.4	0.178	18
1.137	0.306	19
-1.5	0.542	20
-1.085	0.275	21
-1.02	0.244	22
-1.259	0.491	23
-0.332	0.211	24
0	0.127	25
0.761	0.201	26
1.167	0.377	27
-4.3	0.322	28
1.401	0.565	29
1.09	0.118	30
-4.049	0.089	31
-0.964	0.064	32
1.174	0.189	33
0.929	0.152	34
-0.905	0.177	35
-0.366	0.097	36
-1.213	0.316	37
