GISP2 Visual Stratigraphy

REFERENCES: 

Alley, R.B., C.A. Shuman, D.A. Meese, A.J. Gow, K.C. Taylor, K.M. Cuffey,
J.J. Fitzpatrick, P.M. Grootes, G.A. Zielinski, M. Ram, G. Spinelli, and
B.C. Elder. 1997. Visual-stratigraphic dating of the GISP2 ice core: Basis,
reproducibility, and application. Journal of Geophysical Research 102:26367
26381.

Spinelli, G. 1996. A statistical analysis of ice-accumulation level and
variability in the GISP2 ice core and a reexamination of the age of the
termination of the Younger Dryas cooling episode. Earth System Science
Center Technical Report No. 96-001, University of New Hampshire, Durham.

Alley, R.B., and S. Anandakrishnan. 1995. Variations in melt-layer
frequency in the GISP2 ice core: implications for Holocene summer
temperatures in central Greenland. Annals of Glaciology 21:64-70.

DATA DESCRIPTION:

Visible-stratigraphic log of the upper part of the GISP2 ice core, based
on observations by R.B. Alley in the Holocene and Alley and C.A. Shuman in
the late glacial, as compiled by G. Spinelli. 

Columns are: accumulation in m ice/yr from the previous (next shallower or
younger or higher in the data file) summer pick, confidence (3=strong
indication of summer observed, lower numbers indicate less confidence, and
0 indicates an interpolation because of core loss or poor core quality),
depth in m in the core at which the summer indicator was observed, and the
age in years before A.D. or C.E. 1950. These are approximately, though not
exactly, the data in Alley et al. (1993).  Accumulation was calculated as
in that paper and is not updated to reflect the more-recent work of
Cuffey, Bolzan and Nereson, et al. Depth is in the B core down through
year 517, and in the D core deeper. The switch from B to D is based on the
visual data and interpretation of electrical measurements by Kendrick
Taylor.  (Remember that GISP2 is a combination of the shallow B and the
deeper D core). All observations are visible, and were made by R.B. Alley
down into the Younger Dryas (younger than about 11700 bp), and then by
Alley and C.A. Shuman below that.  Notice that this is not the official
depth-age scale, nor the most accurate possible depth-age scale.  As
described in the JGR paper, the official scale includes changes in
technique at various depths, and those changes may have affected the
estimated variability of the accumulation-rate reconstructions. This is
the most consistent time scale we have developed to date, not the most
accurate. 


DATA:

Depth (m)	Accum (m ice)	Conf.	Age (yr B.P.)

0.99	0.189	2.0	-38
1.77	0.264	2.0	-37
2.25	0.181	3.0	-36
2.91	0.248	2.0	-35
3.60	0.278	3.0	-34
4.10	0.213	2.0	-33
4.45	0.149	1.0	-32
5.00	0.245	2.0	-31
5.53	0.236	2.0	-30
6.00	0.219	2.0	-29
6.55	0.256	2.0	-28
7.12	0.276	3.0	-27
7.66	0.262	3.0	-26
8.09	0.216	3.0	-25
8.43	0.171	2.0	-24
8.86	0.216	2.0	-23
9.38	0.271	3.0	-22
9.77	0.203	2.0	-21
10.21	0.236	3.0	-20
10.69	0.258	3.0	-19
11.09	0.220	3.0	-18
11.49	0.221	3.0	-17
11.77	0.154	3.0	-16
12.23	0.259	3.0	-15
12.66	0.242	3.0	-14
13.13	0.270	3.0	-13
13.53	0.230	3.0	-12
13.85	0.184	3.0	-11
14.35	0.293	3.0	-10
14.77	0.246	3.0	-9
15.20	0.256	3.0	-8
15.60	0.239	3.0	-7
16.00	0.242	3.0	-6
16.48	0.290	3.0	-5
16.93	0.272	3.0	-4
17.40	0.288	3.0	-3
17.83	0.264	3.0	-2
18.12	0.180	3.0	-1
18.44	0.198	3.0	0
18.76	0.198	3.0	1
19.30	0.338	3.0	2
19.70	0.250	3.0	3
20.06	0.228	2.0	4
20.47	0.259	2.0	5
20.91	0.278	2.0	6
21.37	0.294	3.0	7
21.86	0.313	3.0	8
22.21	0.226	3.0	9
22.60	0.252	3.0	10
23.00	0.261	2.0	11
23.39	0.255	2.0	12
23.61	0.144	1.0	13
23.95	0.222	1.0	14
24.40	0.297	2.0	15
24.81	0.270	2.0	16
25.17	0.240	3.0	17
25.51	0.226	3.0	18
25.95	0.293	3.0	19
26.35	0.269	1.0	20
26.72	0.249	2.0	21
27.09	0.251	2.0	22
27.37	0.190	2.0	23
27.72	0.238	1.0	24
28.00	0.192	1.0	25
28.35	0.240	1.0	26
28.55	0.137	2.0	27
28.92	0.254	2.0	28
29.37	0.312	2.0	29
29.59	0.152	1.0	30
29.84	0.173	2.0	31
30.22	0.265	3.0	32
30.64	0.293	3.0	33
30.97	0.230	3.0	34
31.39	0.296	3.0	35
31.73	0.239	3.0	36
32.10	0.262	2.0	37
32.43	0.234	2.0	38
32.83	0.284	2.0	39
33.18	0.250	2.0	40
33.56	0.272	2.0	41
33.83	0.193	2.0	42
34.21	0.274	2.0	43
34.42	0.151	1.0	44
34.65	0.166	1.0	45
35.01	0.261	1.0	46
35.24	0.167	1.0	47
35.71	0.341	1.0	48
36.14	0.315	1.0	49
36.50	0.263	2.0	50
36.81	0.227	2.0	51
37.08	0.199	3.0	52
37.52	0.324	3.0	53
37.76	0.177	3.0	54
38.08	0.238	3.0	55
38.48	0.297	3.0	56
38.83	0.260	2.0	57
39.14	0.232	3.0	58
39.47	0.247	3.0	59
39.89	0.314	3.0	60
40.26	0.279	3.0	61
40.58	0.241	2.0	62
40.90	0.241	2.0	63
41.29	0.296	3.0	64
41.58	0.220	3.0	65
41.87	0.220	1.0	66
42.12	0.191	2.0	67
42.40	0.214	2.0	68
42.79	0.298	2.0	69
43.05	0.200	1.0	70
43.45	0.307	1.0	71
43.80	0.269	2.0	72
44.11	0.240	1.0	73
44.44	0.255	1.0	74
44.80	0.278	2.0	75
45.18	0.295	3.0	76
45.48	0.233	3.0	77
45.78	0.233	2.0	78
46.03	0.195	2.0	79
46.32	0.227	2.0	80
46.67	0.274	2.0	81
46.88	0.164	1.0	82
47.20	0.252	2.0	83
47.46	0.204	3.0	84
47.78	0.252	2.0	85
48.11	0.261	2.0	86
48.37	0.206	2.0	87
48.70	0.261	2.0	88
49.02	0.254	3.0	89
49.39	0.294	3.0	90
49.65	0.207	3.0	91
49.85	0.159	3.0	92
50.28	0.344	3.0	93
50.63	0.280	3.0	94
50.96	0.264	2.0	95
51.26	0.241	2.0	96
51.58	0.257	3.0	97
51.86	0.225	3.0	98
52.17	0.250	3.0	99
52.50	0.267	2.0	100
52.79	0.234	2.0	101
53.07	0.227	2.0	102
53.33	0.211	1.0	103
53.55	0.179	1.0	104
53.84	0.236	2.0	105
54.13	0.237	3.0	106
54.36	0.188	3.0	107
54.58	0.180	2.0	108
54.94	0.294	2.0	109
55.17	0.189	3.0	110
55.53	0.296	3.0	111
55.86	0.271	3.0	112
56.09	0.190	2.0	113
56.35	0.215	2.0	114
56.63	0.231	3.0	115
56.99	0.297	3.0	116
57.32	0.274	2.0	117
57.69	0.307	2.0	118
58.09	0.334	1.0	119
58.45	0.301	1.0	120
58.81	0.301	1.0	121
59.07	0.218	1.0	122
59.42	0.294	2.0	123
59.70	0.235	3.0	124
59.92	0.185	3.0	125
60.21	0.245	2.0	126
60.48	0.228	2.0	127
60.74	0.220	2.0	128
61.09	0.297	2.0	129
61.33	0.204	2.0	130
61.59	0.221	2.0	131
61.80	0.178	3.0	132
62.06	0.222	3.0	133
62.26	0.171	3.0	134
62.54	0.239	3.0	135
62.81	0.230	3.0	136
63.04	0.197	3.0	137
63.40	0.309	2.0	138
63.68	0.240	1.0	139
64.08	0.345	1.0	140
64.35	0.233	2.0	141
64.65	0.259	2.0	142
64.91	0.224	2.0	143
65.08	0.147	2.0	144
65.27	0.165	1.0	145
65.54	0.234	1.0	146
65.82	0.243	2.0	147
66.07	0.218	2.0	148
66.31	0.209	2.0	149
66.60	0.252	1.0	150
66.93	0.287	1.0	151
67.15	0.192	2.0	152
67.47	0.280	1.0	153
67.75	0.245	1.0	154
67.97	0.192	1.0	155
68.25	0.246	1.0	156
68.58	0.290	2.0	157
68.83	0.220	2.0	158
69.07	0.212	2.0	159
69.32	0.221	2.0	160
69.60	0.247	2.0	161
69.82	0.194	2.0	162
70.07	0.222	2.0	163
70.37	0.266	1.0	164
70.82	0.399	1.0	165
71.13	0.276	3.0	166
71.36	0.205	2.0	167
71.57	0.187	2.0	168
71.84	0.240	2.0	169
72.13	0.259	2.0	170
72.36	0.206	2.0	171
