GRIP Calcium Concentrations

REFERENCES:

De Angelis, M., J.P. Steffensen, M.R. Legrand, H.B. Clausen, and C.U.
Hammer. 1997. Primary aerosol (sea salt and soil dust) deposited in
Greenland ice during the last climatic cycle: Comparison with east
Antarctic records. Journal of Geophysical Research 102:26681-26698.

Fuhrer, K., and M.R. Legrand. 1997. Continental biogenic species in the
Greenland Ice Core Project ice core: Tracing back the biomass history of
the North American continent. Journal of Geophysical Research 102:26735
26745.

Legrand, M.R., C.U. Hammer, M. De Angelis, J. Savarino, R. Delmas, H.B.
Clausen, and S.J. Johnsen. 1997. Sulfur-containing species
(methanesulfonate and SO4) over the last climatic cycle in the Greenland
Ice Core Project (central Greenland) ice core. Journal of Geophysical
Research 102:26663-26679.

Steffensen, J.P., H.B. Clausen, C.U. Hammer, M.R. Legrand, and M. De
Angelis. 1997. The chemical composition of cold events within the Eemian
section of the Greenland Ice Core Project ice core from Summit, Greenland.
Journal of Geophysical Research 102:26747-26754.

De Angelis, M., and M.R. Legrand. 1994. Origins and variations of fluoride
in Greenland precipitation. Journal of Geophysical Research 99:1157-1172.

Legrand, M.R., M. De Angelis, and F. Maupetit. 1993. Field investigation of
major and minor ions along the Summit (central Greenland) ice cores using
ion chromatography. Journal of Chromatography 640:251-258.

Legrand, M.R., M. De Angelis, T. Staffelbach, A. Neftel, and B. Stauffer.
1992. Large perturbations of ammonium and organic acids content in the
Summit-Greenland ice core. Fingerprint from forest fires? Geophysical
Research Letters 19:473-475.

DATA DESCRIPTION:

A continuous melting technique, combined with continuous flow analysis,
has been developed for measurements of chemical trace species in ice cores
directly in the field (Sigg et al., 1994). A subcore with a cross section
area of 18x18mm cut from the main core is used for the simultaneous
analysis of the four components. The subcore is melted continuously from
one side at a constant rate. The main advantage of this method compared to
conventional sampling and analytical procedures of discrete samples is the
high spatial resolution (ca. 1cm for Hydrogen peroxide, Ammonium and
Formaldehyde; 3cm for Calcium) combined with a significant reduction in
sample handling. The spatial resolution is only limited by the sample
dispersion in the melting system and the analyser. The detection limit for
calcium is 2 ppb. Ages are years before 1950.00, as calculated from the
glaciological timescale (file gripage.dat). 

DATA:		

Depth (m)	Ca	Age
Midpoint	(ppb)	(yr B.P.)

1300.475	12.80	7800.6
1301.025	13.20	7805.8
1301.575	13.60	7811.1
1302.125	17.20	7816.3
1302.675	16.40	7821.5
1303.225	11.20	7826.7
1303.775	12.80	7831.7
1304.325	16.00	7836.7
1304.875	14.40	7841.7
1305.425	10.80	7846.7
1305.975	6.80	7851.9
1306.525	7.20	7857.0
1307.075	12.40	7862.0
1307.625	9.20	7867.0
1308.175	7.60	7872.3
1308.725	9.60	7877.5
1309.275	6.80	7882.6
1309.825	11.20	7887.5
1310.375	13.60	7892.4
1310.925	10.80	7897.4
1311.475	10.00	7902.4
1312.025	12.80	7907.3
1312.575	11.60	7912.3
1313.125	11.20	7917.4
1313.675	18.00	7922.4
1314.225	13.20	7927.6
1314.775	14.80	7932.8
1315.325	8.00	7938.0
1315.875	9.60	7943.4
1316.425	13.60	7948.7
1316.975	9.20	7953.8
1317.525	14.40	7959.0
1318.075	11.60	7964.3
1318.625	13.20	7969.9
1319.175	11.20	7975.4
1319.725	10.40	7980.5
1320.275	11.20	7985.9
1320.825	9.60	7991.7
1321.375	10.40	7997.2
1321.925	9.60	8002.4
1322.475	11.20	8007.4
1323.025	999999	8012.5
1323.575	999999	8017.7
1324.125	999999	8022.9
1324.675	999999	8028.1
1325.225	999999	8033.7
1325.775	999999	8039.2
1326.325	9.60	8044.7
1326.875	7.60	8050.4
1327.425	8.00	8056.2
1327.975	8.00	8062.0
1328.525	9.60	8067.7
1329.075	6.40	8073.0
1329.625	10.80	8077.9
1330.175	7.20	8083.4
1330.725	9.60	8089.2
1331.275	10.00	8095.1
1331.825	7.20	8101.0
1332.375	7.20	8106.5
1332.925	7.60	8112.1
1333.475	8.80	8117.7
1334.025	13.60	8123.5
1334.575	5.60	8130.2
1335.125	8.40	8136.8
1335.675	8.40	8142.7
1336.225	8.40	8148.5
1336.775	5.20	8154.2
1337.325	6.80	8159.6
1337.875	3.60	8164.8
1338.425	9.20	8170.5
1338.975	5.60	8176.2
1339.525	6.40	8181.4
1340.075	8.00	8186.6
1340.625	7.20	8191.7
1341.175	9.20	8196.9
1341.725	6.00	8202.1
1342.275	6.00	8207.5
1342.825	5.60	8213.1
1343.375	4.40	8218.5
1343.925	4.80	8223.6
