GRIP Ion Concentrations

REFERENCES:

De Angelis, M., J.P. Steffensen, M.R. Legrand, H.B. Clausen, and C.U.
Hammer. 1997. Primary aerosol (sea salt and soil dust) deposited in
Greenland ice during the last climatic cycle: Comparison with east
Antarctic records. Journal of Geophysical Research 102:26681-26698.

Fuhrer, K., and M.R. Legrand. 1997. Continental biogenic species in the
Greenland Ice Core Project ice core: Tracing back the biomass history of
the North American continent. Journal of Geophysical Research 102:26735
26745.

Legrand, M.R., C.U. Hammer, M. De Angelis, J. Savarino, R. Delmas, H.B.
Clausen, and S.J. Johnsen. 1997. Sulfur-containing species
(methanesulfonate and SO4) over the last climatic cycle in the Greenland
Ice Core Project (central Greenland) ice core. Journal of Geophysical
Research 102:26663-26679.

Steffensen, J.P., H.B. Clausen, C.U. Hammer, M.R. Legrand, and M. De
Angelis. 1997. The chemical composition of cold events within the Eemian
section of the Greenland Ice Core Project ice core from Summit, Greenland.
Journal of Geophysical Research 102:26747-26754.

De Angelis, M., and M.R. Legrand. 1994. Origins and variations of fluoride
in Greenland precipitation. Journal of Geophysical Research 99:1157-1172.

Legrand, M.R., M. De Angelis, and F. Maupetit. 1993. Field investigation of
major and minor ions along the Summit (central Greenland) ice cores using
ion chromatography. Journal of Chromatography 640:251-258.

Legrand, M.R., M. De Angelis, T. Staffelbach, A. Neftel, and B. Stauffer.
1992. Large perturbations of ammonium and organic acids content in the
Summit-Greenland ice core. Fingerprint from forest fires? Geophysical
Research Letters 19:473-475.

DATA DESCRIPTION: 

This file contains ion data from the GRIP ice core, as well as organic
acids, oxygen isotopes and layer thickness. 

Cat and Mgt are the continental components of Ca and Mg, and Nam is the
marine contribution of Na, calculated as explained in our De Angelis et
al. (1997): 

Cat= Ca - 0.044 Na (ng/g) Mgt= Mg - 0,129 Na (ng/g)

Nam = Na - 0.07 Cat in Holocene samples and samples whith Cat < 50 ng/g
(temperate climate conditions)

Nam = Na - (0.036 Cat - 1.23) in other samples (glacial conditions)

The columns are as follows: 

Column 1: Depth (meters)	
Columns 2 to 20: Ion concentrations in parts per million (ppm)	
Columns 21 to 39: Corresponding standard deviations	
Column 40: Age (years B.P. 1950)	
Column 41: delta 18O (%o)	
Column 42: Snow accumulation rate (g cm^-2 y^-1)	
Column 43: Annual layer thickness (meters)	


DATA:																																										

Midpoint Depth (m)	F	acetate	glycolate+propylate	formate	MSA	Cl	NO3	SO4	
oxalate	Na	 NH4	K	
Mg	Ca	Cat	Mgt	Cl/Na	nssSO4	Nam	F	acetate	glycolate+propylate	formate	MSA	Cl	
NO3	
SO4	oxalate	Na	NH4	K	Mg	Ca	Cat	Mgt	Cl/Na	nssSO4	Nam	Age (yrs BP)	del18O	
Accum. (g cm^-2 a^-1)	Layer thickness

103	0.17	9.66	0.45	9.40	3.88	11.26	72.80	44.60	0.00	5.40	5.94	2.04	1.32	7.04	6.83	0.68	2.15	43.96	3.84	0.10	0.96	0.07	1.74	0.97	4.41	17.08	7.34	0.00	1.64	3.30	0.49	0.77	4.02	4.00	0.61	0.60	7.26	1.54	329	-35.53	0.2072	0.2006
120	0.05	8.26	1.46	8.81	3.57	12.49	56.10	22.86	0.00	5.99	3.80	1.31	0.77	3.07	2.85	0.06	2.45	22.13	5.37	0.03	0.96	0.83	0.48	0.84	6.39	8.73	5.37	0.00	3.84	2.14	0.27	0.31	1.69	1.60	0.34	0.83	5.48	3.65	404	-35.37	0.2120	0.2039
131	0.80	10.04	2.60	8.20	3.70	12.14	68.14	27.24	0.00	5.24	4.43	1.39	1.17	4.86	4.66	0.55	3.15	26.60	4.14	0.94	2.00	0.99	1.15	0.82	4.20	10.93	11.31	0.00	3.06	3.01	0.45	0.77	3.16	3.08	0.52	2.32	11.23	2.62	455	-33.78	0.2661	0.2547
149	0.13	9.18	1.32	12.69	4.30	10.96	63.50	27.95	0.00	5.01	4.63	1.77	0.90	3.60	3.41	0.30	2.68	27.35	4.19	0.06	1.13	0.50	4.82	1.17	5.76	17.31	9.41	0.00	3.84	4.27	0.54	0.57	2.11	2.03	0.36	1.05	9.50	3.58	536	-35.93	0.1957	0.1860
153	0.07	8.66	1.11	9.70	4.05	12.64	68.63	30.00	0.00	6.16	4.43	1.88	1.44	6.43	6.19	0.70	2.63	29.26	4.75	0.06	0.54	0.24	0.94	1.83	6.46	11.46	8.04	0.00	4.27	1.85	0.34	0.73	4.38	4.31	0.40	1.02	7.84	3.97	558	-34.59	0.2370	0.2248
164	0.08	7.63	0.93	8.32	2.70	11.07	75.75	27.08	0.00	4.82	4.32	1.70	0.95	3.83	3.64	0.37	2.40	26.50	4.05	0.04	0.69	0.29	0.40	0.76	1.18	15.93	3.70	0.00	1.22	3.51	0.55	0.30	1.40	1.41	0.30	0.44	3.82	1.33	610	-34.02	0.2571	0.2428
172	0.20	9.67	1.14	13.82	5.43	12.74	60.63	34.45	0.00	7.29	3.16	2.16	2.08	15.99	15.71	1.21	3.86	33.59	3.86	0.16	3.06	0.72	6.48	4.09	6.57	18.97	11.29	0.00	6.59	1.41	1.07	2.09	18.77	18.55	1.36	3.69	11.11	3.41	651	-34.60	0.2367	0.2227
173	0.11	8.52	0.27	7.62	2.93	14.10	77.77	53.00	0.00	6.73	3.65	2.02	1.68	8.93	8.68	0.88	2.69	52.18	4.68	0.14	0.94	0.47	1.00	1.22	4.98	18.90	25.49	0.00	4.00	1.85	0.59	0.87	7.57	7.48	0.69	1.26	25.31	3.19	656	-35.57	0.2060	0.1938
184	0.08	11.15	9.15	18.18	4.00	9.58	67.17	27.67	1.20	5.25	10.82	2.57	1.32	8.55	8.35	0.69	2.02	27.05	3.35	0.06	1.04	6.69	12.27	1.71	4.28	22.94	10.78	2.68	3.19	13.74	0.87	1.19	8.55	8.46	0.93	0.37	10.53	2.12	712	-35.14	0.2191	0.2051
216	0.12	11.88	1.42	8.88	3.80	14.34	80.20	39.30	0.00	6.46	3.58	2.20	1.48	6.64	6.39	0.71	2.48	38.54	4.96	0.05	2.61	0.95	0.87	1.06	4.11	13.35	12.20	0.00	2.68	1.12	0.44	0.69	3.96	3.94	0.62	0.71	12.27	2.67	867	-34.70	0.2333	0.2154
237	0.10	12.04	0.00	9.44	3.50	14.94	71.40	47.52	0.00	6.14	3.36	2.20	1.70	6.70	6.47	0.97	3.05	46.76	4.67	0.06	0.57	0.00	1.04	0.89	6.65	9.26	11.41	0.00	4.36	1.03	0.36	0.70	3.36	3.43	0.57	0.87	11.53	4.73	974	-35.39	0.2114	0.1934
238	0.30	20.72	38.20	256.32	1.34	6.58	52.80	20.72	6.30	2.46	107.02	1.92	0.84	3.14	3.05	0.55	3.37	20.44	1.82	0.45	2.19	34.96	381.62	0.56	3.95	17.52	10.47	7.63	2.25	153.40	0.81	0.61	2.80	2.82	0.43	1.13	10.56	2.44	982	-34.38	0.2442	0.2233
246	0.15	8.14	1.56	10.66	4.56	13.78	72.20	32.10	0.00	6.30	4.76	1.76	1.44	6.68	6.44	0.69	2.50	31.34	4.64	0.09	0.61	0.79	0.32	1.06	6.76	10.51	3.20	0.00	4.27	1.52	0.55	0.52	2.30	2.24	0.32	0.53	3.26	4.12	1024	-34.45	0.2418	0.2203
259	0.21	11.34	2.34	24.10	3.42	11.04	66.80	26.12	0.48	4.96	13.44	1.88	0.96	4.76	4.57	0.37	2.66	25.52	3.85	0.13	1.03	0.68	26.46	0.56	3.59	12.69	5.45	0.96	3.36	16.38	0.35	0.41	2.59	2.58	0.35	0.93	5.72	3.42	1081	-34.74	0.2320	0.2102
268	0.14	8.86	1.22	10.92	3.64	10.78	74.00	30.32	0.00	4.02	5.94	1.66	0.92	4.12	3.97	0.44	3.15	29.84	3.14	0.04	0.33	0.21	1.41	0.61	3.49	17.45	12.02	0.00	2.50	3.52	0.53	0.39	1.88	1.89	0.47	0.91	12.18	2.59	1130	-35.54	0.2069	0.1867
288	1.29	12.32	1.62	7.12	2.56	15.72	91.20	31.92	0.00	5.72	5.44	2.14	1.36	5.86	5.64	0.68	2.88	31.22	4.62	1.56	1.62	0.57	0.65	0.70	1.19	6.49	9.51	0.00	1.28	1.25	0.29	0.54	3.29	3.28	0.51	0.65	9.59	1.29	1231	-35.38	0.2117	0.1893
299	0.07	11.64	5.28	40.42	6.80	14.68	78.80	31.40	1.54	6.62	27.34	3.06	2.72	5.10	4.85	1.93	2.83	30.60	5.44	0.06	1.05	4.36	42.49	5.79	8.83	18.25	8.96	0.55	6.01	26.20	0.93	1.55	4.36	4.34	1.34	0.93	9.12	6.02	1281	-34.79	0.2303	0.2050
321	0.52	9.54	0.62	10.68	2.44	18.10	80.80	47.90	0.00	6.16	4.16	2.66	2.98	3.82	3.59	2.25	4.33	47.16	5.36	0.31	0.62	0.43	0.82	0.39	6.47	10.98	16.27	0.00	3.36	1.19	0.39	1.67	2.91	2.84	1.42	3.78	16.06	3.09	1391	-35.80	0.1994	0.1757
334	0.04	12.06	1.44	20.00	3.58	9.22	65.60	20.56	0.00	2.90	10.48	1.72	1.46	2.06	1.95	1.11	4.20	20.22	2.41	0.01	1.39	0.76	11.22	1.07	2.71	13.47	9.89	0.00	1.67	6.24	0.32	1.00	1.64	1.60	0.88	2.43	9.79	1.46	1463	-33.67	0.2703	0.2367
353	0.03	10.83	8.27	12.28	3.20	8.92	73.67	25.70	0.93	4.50	8.03	1.63	1.30	5.40	5.23	0.77	2.37	25.15	3.19	0.01	1.43	4.99	1.99	0.88	2.16	19.01	13.73	0.39	2.28	4.34	0.35	0.72	2.67	2.65	0.67	0.97	13.70	2.24	1561	-34.65	0.2350	0.2041
364	0.43	10.14	0.00	13.78	5.38	10.72	62.40	47.72	0.86	5.48	9.40	1.36	1.82	7.98	7.77	1.17	2.40	47.06	3.52	0.20	0.52	0.00	4.43	2.14	4.65	12.04	51.53	0.62	3.39	7.31	0.59	1.59	7.97	7.86	1.31	0.77	51.35	2.07	1617	-36.10	0.1910	0.1650
386	0.11	8.70	0.00	9.00	2.85	16.18	78.67	30.67	0.00	6.57	5.15	2.60	1.52	6.87	6.62	0.73	3.38	29.88	4.73	0.05	1.28	0.00	1.51	0.55	7.23	25.30	6.14	0.00	5.26	2.43	2.58	0.67	3.40	3.39	0.31	1.48	6.01	5.35	1730	-35.65	0.2037	0.1742
396	0.06	8.04	0.00	10.54	2.28	9.84	71.60	42.56	0.14	6.20	7.30	1.94	1.80	8.00	7.77	1.06	1.84	41.82	4.48	0.04	0.97	0.00	1.43	0.62	3.26	16.40	19.17	0.19	3.45	4.47	0.66	0.84	3.88	3.83	0.69	0.58	19.08	3.30	1785	-33.91	0.2612	0.2222
410	0.08	8.86	0.00	10.56	3.74	13.74	67.30	32.28	0.12	9.02	5.02	1.46	1.70	7.18	6.84	0.62	1.88	31.20	7.48	0.02	0.45	0.00	1.08	0.77	6.76	15.06	11.91	0.15	6.76	2.69	0.37	1.02	3.71	3.60	0.51	0.55	12.09	6.49	1860	-35.72	0.2017	0.1705
426	0.05	8.32	2.17	32.02	2.37	12.95	74.45	25.27	0.50	6.62	23.70	1.73	1.68	7.70	7.45	0.89	2.26	24.47	4.78	0.04	1.85	3.42	32.79	1.79	8.15	17.73	11.11	0.51	4.58	24.05	0.61	1.16	7.01	6.90	0.81	0.88	10.86	3.74	1945	-35.71	0.2020	0.1694
440	0.05	10.18	2.18	12.05	3.93	11.38	64.67	22.85	0.55	8.70	5.28	1.63	1.78	6.07	5.74	0.75	1.64	21.80	7.45	0.02	0.45	2.65	0.89	1.62	7.39	13.94	4.23	0.33	7.66	3.14	0.37	0.72	3.20	3.01	0.73	0.68	4.98	7.26	2017	-35.40	0.2111	0.1759
453	0.06	9.70	0.65	12.93	2.68	12.70	66.17	28.10	0.57	7.95	8.32	1.65	1.90	7.10	6.80	0.96	1.81	27.12	6.26	0.03	0.67	0.67	4.13	0.69	4.26	17.77	7.19	0.50	4.21	4.69	0.41	0.66	3.67	3.72	0.59	0.50	7.23	4.56	2088	-34.14	0.2527	0.2093
475	0.07	10.36	0.00	12.56	2.86	15.74	72.40	66.72	0.04	8.92	6.46	1.74	2.24	9.10	8.76	1.18	2.72	65.64	6.90	0.03	1.15	0.00	1.83	0.65	1.86	7.00	26.44	0.08	3.73	2.57	0.51	1.15	5.72	5.64	0.94	2.41	26.29	3.14	2209	-35.35	0.2126	0.1742
493	2.06	8.80	1.50	7.25	2.22	158.88	64.00	139.62	1.40	10.88	4.98	1.85	1.33	7.40	6.99	0.04	11.38	138.30	9.32	1.40	1.71	3.35	4.20	1.23	198.58	32.08	122.71	2.96	4.37	1.33	0.72	0.44	2.76	2.72	0.53	10.48	122.32	4.29	2308	-33.77	0.2665	0.2163
