GRIP Hydrogen Peroxide Concentrations

REFERENCES: 

De Angelis, M., J.P. Steffensen, M.R. Legrand, H.B. Clausen, and C.U.
Hammer. 1997. Primary aerosol (sea salt and soil dust) deposited in
Greenland ice during the last climatic cycle: Comparison with east
Antarctic records. Journal of Geophysical Research 102:26681-26698.

Steffensen, J.P. 1997. The size distribution of microparticles from
selected segments of the Greenland Ice Core Project ice core representing
different climatic periods. Journal of Geophysical Research 102:26755-26763

Sigg, A., T. Staffelbach, and A. Neftel. 1992. Gas-phase measurements of
hydrogen peroxide in Greenland and their meaning for the interpretation of
H2O2 records in ice cores. Journal of Atmospheric Chemistry 14:223-232.

DATA DESCRIPTION: 

A continuous melting technique, combined with continuous flow analysis,
has been developed for measurements of chemical trace species in ice cores
directly in the field (Sigg et al., 1994). A subcore with a cross section
area of 18x18mm2 cut from the main core is used for the simultaneous
analysis of the four components. The subcore is melted continuously from
one side at a constant rate. The main advantage of this method compared to
conventional sampling and analytical procedures of discrete samples are
given by the high spatial resolution (ca. 1cm for Hydrogen peroxide,
Ammonium and Formaldehyde; 3cm for Calcium) combined with a significant
reduction in sample handling. The spatial resolution is only limited by
the sample dispersion in the melting system and the analyser. The
detection limit for hydrogen peroxide is 1.7 ppb.  Ages are years before
1950.00, as calculated from the glaciological timescale (file
gripage.dat). 

DATA:		

Depth (m)	H2O2	Age
Midpoint	(ppb)	(years B.P.)

1300.475	40.43	7800.6
1301.025	86.19	7805.8
1301.575	89.69	7811.1
1302.125	108.98	7816.3
1302.675	81.35	7821.5
1303.225	77.08	7826.7
1303.775	94.46	7831.7
1304.325	79.57	7836.7
1304.875	52.28	7841.7
1305.425	95.21	7846.7
1305.975	54.75	7851.9
1306.525	53.4	7857.0
1307.075	113.82	7862.0
1307.625	73.58	7867.0
1308.175	89.95	7872.3
1308.725	57.99	7877.5
1309.275	61.47	7882.6
1309.825	28.63	7887.5
1310.375	99.29	7892.4
1310.925	60.14	7897.4
1311.475	75.22	7902.4
1312.025	75.44	7907.3
1312.575	65.03	7912.3
1313.125	90.02	7917.4
1313.675	68.12	7922.4
1314.225	64.94	7927.6
1314.775	57.56	7932.8
1315.325	67.32	7938.0
1315.875	66.06	7943.4
1316.425	78.91	7948.7
1316.975	53.09	7953.8
1317.525	68.66	7959.0
1318.075	70.99	7964.3
1318.625	106.48	7969.9
1319.175	72.6	7975.4
1319.725	68.98	7980.5
1320.275	90.19	7985.9
1320.825	87.73	7991.7
1321.375	126.51	7997.2
1321.925	92.8	8002.4
1322.475	80.8	8007.4
1323.025	73.98	8012.5
1323.575	80.94	8017.7
1324.125	101.86	8022.9
1324.675	57.46	8028.1
1325.225	36.28	8033.7
1325.775	68.42	8039.2
1326.325	54.93	8044.7
1326.875	49.79	8050.4
1327.425	62.63	8056.2
1327.975	72.82	8062.0
1328.525	47.77	8067.7
1329.075	68.11	8073.0
1329.625	86.8	8077.9
1330.175	59.05	8083.4
1330.725	73.02	8089.2
1331.275	80.37	8095.1
1331.825	59.94	8101.0
1332.375	74.16	8106.5
1332.925	107.61	8112.1
1333.475	138.65	8117.7
1334.025	60.73	8123.5
1334.575	89.44	8130.2
1335.125	68.53	8136.8
1335.675	81.36	8142.7
1336.225	67.23	8148.5
1336.775	34.58	8154.2
1337.325	55.18	8159.6
1337.875	53.91	8164.8
1338.425	80.25	8170.5
1338.975	75.22	8176.2
1339.525	40.06	8181.4
1340.075	60.53	8186.6
1340.625	63.19	8191.7
1341.175	45.45	8196.9
1341.725	81.57	8202.1
1342.275	59.19	8207.5
1342.825	49.03	8213.1
1343.375	73.11	8218.5
1343.925	88.78	8223.6
1344.475	82.81	8228.8
1345.025	95.25	8234.2
1345.575	72.43	8239.6
1346.125	79.92	8244.8
1346.675	61.13	8250.1
1347.225	50.7	8255.6
1347.775	113.56	8261.0
1348.325	87.62	8266.4
1348.875	44.03	8271.9
1349.425	85.9	8277.2
1349.975	123.54	8282.2
1350.525	63.03	8287.4
1351.075	65.28	8292.8
1351.625	78.41	8298.0
1352.175	65.7	8303.4
1352.725	87.92	8308.9
1353.275	92.41	8314.5
1353.825	72.96	8320.1
1354.375	66.63	8325.7
1354.925	54.96	8331.0
1355.475	79.7	8336.3
1356.025	70.48	8341.5
1356.575	83.49	8346.7
1357.125	61.08	8352.1
1357.675	71.01	8357.6
1358.225	72.41	8363.4
1358.775	46.65	8369.0
1359.325	65.46	8374.4
1359.875	60.34	8379.9
1360.425	101.58	8385.1
1360.975	90.29	8390.1
1361.525	52.06	8395.3
1362.075	56.13	8400.7
1362.625	61.43	8406.2
1363.175	48.14	8411.8
1363.725	69.83	8417.4
1364.275	83.89	8422.6
1364.825	68.06	8427.9
1365.375	66.75	8433.4
1365.925	64.78	8438.9
1366.475	80.2	8444.3
1367.025	108.43	8449.5
1367.575	79.67	8454.8
1368.125	80.17	8460.4
1368.675	63.15	8465.9
1369.225	84.29	8471.2
1369.775	77.78	8476.4
1370.325	103.52	8481.9
1370.875	75.94	8487.2
1371.425	86.79	8492.7
1371.975	72.19	8498.3
1372.525	100.71	8503.5
1373.075	101.47	8508.6
1373.625	88.52	8513.9
1374.175	71.22	8519.6
1374.725	79.27	8525.2
1375.275	78.44	8530.6
1375.825	57.48	8536.2
1376.375	108.51	8542.0
1376.925	87.55	8547.5
1377.475	118.85	8553.0
1378.025	121.44	8558.5
1378.575	114.22	8564.4
1379.125	68.81	8570.2
1379.675	80.95	8575.7
1380.225	21.16	8581.4
1380.775	76.88	8587.1
1381.325	82.52	8592.7
1381.875	83.35	8598.2
1382.425	59.67	8603.5
1382.975	97.31	8608.9
1383.525	54.65	8614.6
1384.075	87.86	8620.5
1384.625	82.71	8626.4
1385.175	85.87	8631.9
1385.725	51.49	8637.1
1386.275	48.87	8642.5
1386.825	40.85	8648.1
1387.375	62.52	8653.5
1387.925	90.01	8658.9
1388.475	53.23	8664.5
1389.025	111.08	8669.9
1389.575	78.52	8675.3
1390.125	58.76	8680.8
1390.675	52.44	8686.4
1391.225	91.3	8692.0
1391.775	76.27	8697.7
1392.325	88.81	8703.6
1392.875	100.87	8709.3
1393.425	111.15	8714.9
1393.975	78.01	8720.4
1394.525	63.82	8725.8
1395.075	80.93	8731.1
1395.625	83.42	8736.4
1396.175	84.22	8742.1
1396.725	49.09	8748.1
1397.275	66.16	8754.1
1397.825	121.1	8759.7
1398.375	62.76	8765.2
1398.925	71.47	8770.7
1399.475	105.42	8776.2
1400.025	67.98	8781.9
1400.575	84.75	8787.5
1401.125	86.48	8792.8
1401.675	49.15	8798.2
1402.225	63.53	8803.7
1402.775	97.51	8809.0
1403.325	70.96	8814.4
1403.875	59.26	8819.9
1404.425	39.91	8825.4
1404.975	68.73	8830.8
1405.525	44.2	8836.1
1406.075	53.84	8841.4
1406.625	36.51	8846.9
1407.175	79.42	8852.4
1407.725	55.07	8857.9
1408.275	80.95	8863.5
1408.825	75.36	8868.9
1409.375	65.12	8874.2
1409.925	55.79	8879.8
1410.475	74.1	8885.6
1411.025	64.12	8891.2
1411.575	51.42	8896.9
1412.125	57.04	8902.5
1412.675	85.98	8908.0
1413.225	56.97	8913.6
1413.775	45.06	8919.5
1414.325	31.95	8925.5
1414.875	53.66	8931.2
1415.425	71.03	8936.9
1415.975	58.74	8942.7
1416.525	56.62	8948.4
1417.075	68.49	8954.2
1417.625	55.05	8959.8
1418.175	67.87	8965.6
1418.725	18.57	8971.4
1419.275	73.84	8977.0
1419.825	42.07	8982.8
1420.375	43.57	8988.5
1420.925	56.77	8994.1
1421.475	51.57	8999.8
1422.025	69.79	9005.9
1422.575	63.93	9011.9
1423.125	52.59	9017.4
1423.675	65.37	9022.7
1424.225	55.04	9028.0
1424.775	77.41	9033.3
1425.325	47.44	9038.8
1425.875	50.35	9044.5
1426.425	39.69	9050.2
1426.975	80.81	9055.9
1427.525	64.51	9061.6
1428.075	56.27	9067.1
1428.625	119.09	9072.5
1429.175	78.74	9078.1
1429.725	42.53	9083.9
1430.275	48.27	9089.6
1430.825	53.39	9095.5
1431.375	65.56	9101.4
1431.925	26.44	9107.1
1432.475	36.33	9112.8
1433.025	62.91	9118.6
1433.575	59.63	9124.4
1434.125	53.66	9130.2
1434.675	43.67	9136.1
1435.225	46.13	9141.8
1435.775	48.28	9147.7
1436.325	32.97	9154.0
1436.875	54.49	9160.4
1437.425	65.08	9166.8
1437.975	34.56	9172.9
1438.525	31.64	9178.9
1439.075	52.81	9184.7
1439.625	50.41	9190.4
1440.175	58.78	9196.0
1440.725	65.34	9201.7
1441.275	50.1	9207.7
1441.825	33.68	9213.8
1442.375	49.4	9219.4
1442.925	52.05	9225.0
1443.475	77.55	9230.7
1444.025	59	9236.5
1444.575	74.62	9242.3
1445.125	67.55	9247.9
1445.675	62.35	9253.9
