GRIP Formaldehyde Concentrations

REFERENCES: 

De Angelis, M., J.P. Steffensen, M.R. Legrand, H.B. Clausen, and C.U.
Hammer. 1997. Primary aerosol (sea salt and soil dust) deposited in
Greenland ice during the last climatic cycle: Comparison with east
Antarctic records. Journal of Geophysical Research 102:26681-26698.

Steffensen, J.P. 1997. The size distribution of microparticles from
selected segments of the Greenland Ice Core Project ice core representing
different climatic periods. Journal of Geophysical Research 102:26755-26763

Sigg, A., T. Staffelbach, and A. Neftel. 1992. Gas-phase measurements of
hydrogen peroxide in Greenland and their meaning for the interpretation of
H2O2 records in ice cores. Journal of Atmospheric Chemistry 14:223-232.

DATA DESCRIPTION: 

A continuous melting technique, combined with continuous flow analysis,
has been developed for measurements of chemical trace species in ice cores
directly in the field (Sigg et al., 1994). A subcore with a cross section
area of 18x18mm2 cut from the main core is used for the simultaneous
analysis of the four components. The subcore is melted continuously from
one side at a constant rate. The main advantage of this method compared to
conventional sampling and analytical procedures of discrete samples are
given by the high spatial resolution (ca. 1cm for Hydrogen peroxide,
Ammonium and Formaldehyde; 3cm for Calcium) combined with a significant
reduction in sample handling. The spatial resolution is only limited by
the sample dispersion in the melting system and the analyser. The
detection limit for formaldehyde is 0.3 ppb.  Ages are years before
1950.00, as calculated from the glaciological timescale (file
gripage.dat). 

DATA:

Depth(m)	HCHO	Age
Mipoint	(ppb)	(years B.P.)

1302.675	999999	7821.5
1303.225	999999	7826.7
1303.775	0.79	7831.7
1304.325	0.68	7836.7
1304.875	0.98	7841.7
1305.425	0.69	7846.7
1305.975	0.79	7851.9
1306.525	1.38	7857.0
1307.075	0.88	7862.0
1307.625	0.51	7867.0
1308.175	1.55	7872.3
1308.725	1.2	7877.5
1309.275	0.95	7882.6
1309.825	2.07	7887.5
1310.375	2.4	7892.4
1310.925	1.75	7897.4
1311.475	1.67	7902.4
1312.025	2.07	7907.3
1312.575	2.08	7912.3
1313.125	1.85	7917.4
1313.675	2.23	7922.4
1314.225	2.41	7927.6
1314.775	2.4	7932.8
1315.325	1.41	7938.0
1315.875	2.14	7943.4
1316.425	2.06	7948.7
1316.975	999999	7953.8
1317.525	999999	7959.0
1318.075	1.64	7964.3
1318.625	2.17	7969.9
1319.175	1.78	7975.4
1319.725	1.89	7980.5
1320.275	1.94	7985.9
1320.825	1.93	7991.7
1321.375	2.54	7997.2
1321.925	2.93	8002.4
1322.475	1.66	8007.4
1323.025	2.72	8012.5
1323.575	1.87	8017.7
1324.125	1.93	8022.9
1324.675	1.57	8028.1
1325.225	1.71	8033.7
1325.775	1.82	8039.2
1326.325	1.4	8044.7
1326.875	1.24	8050.4
1327.425	1.19	8056.2
1327.975	1.29	8062.0
1328.525	999999	8067.7
1329.075	999999	8073.0
1329.625	999999	8077.9
1330.175	999999	8083.4
1330.725	1.82	8089.2
1331.275	2.65	8095.1
1331.825	2.14	8101.0
1332.375	2.15	8106.5
1332.925	2.39	8112.1
1333.475	2.81	8117.7
1334.025	2.11	8123.5
1334.575	1.47	8130.2
1335.125	1.25	8136.8
1335.675	1.29	8142.7
1336.225	1.4	8148.5
1336.775	1.59	8154.2
1337.325	1.23	8159.6
1337.875	1.23	8164.8
1338.425	1.37	8170.5
1338.975	1.23	8176.2
1339.525	0.82	8181.4
1340.075	0.92	8186.6
1340.625	1.41	8191.7
1341.175	1.58	8196.9
1341.725	1.78	8202.1
1342.275	1.31	8207.5
1342.825	0.81	8213.1
1343.375	0.78	8218.5
1343.925	1.05	8223.6
1344.475	1.37	8228.8
1345.025	1.7	8234.2
1345.575	0.68	8239.6
1346.125	1.75	8244.8
1346.675	1.81	8250.1
1347.225	2.22	8255.6
1347.775	2.82	8261.0
1348.325	2.44	8266.4
1348.875	1.53	8271.9
1349.425	2.5	8277.2
1349.975	3.11	8282.2
1350.525	1.24	8287.4
1351.075	1.67	8292.8
1351.625	2.15	8298.0
1352.175	1.82	8303.4
1352.725	1.97	8308.9
1353.275	2.47	8314.5
1353.825	1.94	8320.1
1354.375	2.65	8325.7
1354.925	2.67	8331.0
1355.475	2.52	8336.3
1356.025	1.81	8341.5
1356.575	1.62	8346.7
1357.125	1.29	8352.1
1357.675	1.23	8357.6
1358.225	0.91	8363.4
1358.775	0.83	8369.0
1359.325	1.07	8374.4
1359.875	0.57	8379.9
1360.425	1.18	8385.1
