GRIP Mineralogy of atmospheric micro-particles

REFERENCES: 

Maggi, V. 1997. Mineralogy of atmospheric microparticles deposited along
the Greenland Ice Core Project ice core. Journal of Geophysical Research
102:26725-26734.

DATA DESCRIPTION: 

This file contains measured abundances of atmospheric micro-particles,
segregated by mineralogy, in the GRIP ice core.

999999 indicates blanks.

Qtz = Quartz
Ka = Kaolinite
Ill = Illite
Chl = Chlorite
Mi = Micas
Fds = Feldspars
Maf = Mafics
Car = Carbonates
O&H = Oxides and Hydroxides
OS = Other Silicates
OM = Other Minerals
TS = Total Silicates
AlS = Aluminum Silicates					
TNS = Total non-silicates	


DATA:																														

	Relative abundance (%)															Error Bars (+/-)														
Midpoint Depth (m)	Qtz	Ka	Ill	Chl	Mi	Fds	Maf	Car	O&H	OS	OM	TS	AlS	TNS		
Depth	 Qtz	Ka	 Ill	Chl	Mi	Fds	Maf	Car	O&H	OS	OM	TS	AlS	TNS

1766.5	22.06	1.47	11.76	2.94	10.29	19.12	4.41	1.47	5.88	20.24	0.35	72.06	31.08	7.7		1766.5	3.57	0.24	1.9	0.48	1.67	3.09	0.71	0.24	0.95	3.27	0.06	11.66	5.03	1.25
1799.05	37.35	999999	8.43	2.41	13.25	15.66	4.82	2.41	999999	15.24	0.42	59.04	30.67	2.83		1799.05	4.95	999999	1.12	0.32	1.76	2.08	0.64	0.32	999999	2.02	0.06	7.82	4.06	0.38
1813.9	32.91	999999	15.19	999999	6.33	17.72	2.53	999999	3.8	12.5	9.02	62.03	25.01	12.82		1813.9	5	999999	2.31	999999	0.96	2.69	0.38	999999	0.58	1.9	1.37	9.42	3.8	1.95
1855.7	24.64	999999	14.49	1.45	15.94	21.74	4.35	4.35	999999	12.58	0.46	71.01	39.3	4.81		1855.7	2.5	999999	1.47	0.15	1.62	2.21	0.44	0.44	999999	1.28	0.05	7.2	3.99	0.49
1882.65	30	1.25	6.25	6.25	21.25	13.75	3.75	7.5	999999	9.45	0.55	62.5	37.39	8.05		1882.65	3.38	0.14	0.7	0.7	2.39	1.55	0.42	0.84	999999	1.06	0.06	7.03	4.21	0.91
1905.75	20	999999	14.29	999999	18.57	15.71	1.43	7.14	999999	19.5	3.36	72.86	38.27	10.5		1905.75	4.29	999999	3.06	999999	3.98	3.37	0.31	1.53	999999	4.18	0.72	15.61	8.2	2.25
1968.45	31.94	999999	15.28	2.78	13.89	15.28	4.17	1.39	1.39	7.5	6.39	65.28	31.29	9.17		1968.45	4.88	999999	2.33	0.42	2.12	2.33	0.64	0.21	0.21	1.15	0.98	9.97	4.78	1.4
