GRIP Ammonium Concentrations

REFERENCES: 

De Angelis, M., J.P. Steffensen, M.R. Legrand, H.B. Clausen, and C.U.
Hammer. 1997. Primary aerosol (sea salt and soil dust) deposited in
Greenland ice during the last climatic cycle: Comparison with east
Antarctic records. Journal of Geophysical Research 102:26681-26698.

Fuhrer, K., and M.R. Legrand. 1997. Continental biogenic species in the
Greenland Ice Core Project ice core: Tracing back the biomass history of
the North American continent. Journal of Geophysical Research 102:26735
26745.

Legrand, M.R., C.U. Hammer, M. De Angelis, J. Savarino, R. Delmas, H.B.
Clausen, and S.J. Johnsen. 1997. Sulfur-containing species
(methanesulfonate and SO4) over the last climatic cycle in the Greenland
Ice Core Project (central Greenland) ice core. Journal of Geophysical
Research 102:26663-26679.

Steffensen, J.P., H.B. Clausen, C.U. Hammer, M.R. Legrand, and M. De
Angelis. 1997. The chemical composition of cold events within the Eemian
section of the Greenland Ice Core Project ice core from Summit, Greenland.
Journal of Geophysical Research 102:26747-26754.

De Angelis, M., and M.R. Legrand. 1994. Origins and variations of fluoride
in Greenland precipitation. Journal of Geophysical Research 99:1157-1172.

Legrand, M.R., M. De Angelis, and F. Maupetit. 1993. Field investigation of
major and minor ions along the Summit (central Greenland) ice cores using
ion chromatography. Journal of Chromatography 640:251-258.

Legrand, M.R., M. De Angelis, T. Staffelbach, A. Neftel, and B. Stauffer.
1992. Large perturbations of ammonium and organic acids content in the
Summit-Greenland ice core. Fingerprint from forest fires? Geophysical
Research Letters 19:473-475.

DATA DESCRIPTION: 

A continuous melting technique, combined with continuous flow analysis,
has been developed for measurements of chemical trace species in ice cores
directly in the field (Sigg et al., 1994). A subcore with a cross section
area of 18x18mm2 cut from the main core is used for the simultaneous
analysis of the four components. The subcore is melted continuously from
one side at a constant rate. The main advantage of this method compared to
conventional sampling and analytical procedures of discrete samples are
given by the high spatial resolution (ca. 1cm for Hydrogen peroxide,
Ammonium and Formaldehyde; 3cm for Calcium) combined with a significant
reduction in sample handling. The spatial resolution is only limited by
the sample dispersion in the melting system and the analyser. The
detection limit for ammonium is 0.18 ppb. Ages are years before 1950.00, as
calculated from the glaciological timescale (file gripage.dat).

DATA:		

Depth (m)	NH4	Age
Midpoint	(ppb)	(yrs BP)

102.025	4.2	307.9
102.575	3.68	310.3
103.125	5.12	312.8
103.675	999999	315.2
104.225	3.77	317.5
104.775	5.26	319.7
105.325	8.62	322.0
105.875	10.81	324.6
106.425	5.66	327.2
106.975	12.37	329.6
107.525	4.98	332.0
108.075	8.71	334.4
108.625	4.42	336.7
109.175	6.68	339.1
109.725	4.68	341.5
110.275	4.94	344.0
110.825	7.3	346.4
111.375	3.2	348.9
111.925	4.2	351.4
112.475	4.98	353.6
113.025	6.37	355.9
113.575	3.58	358.3
114.125	6.78	360.6
114.675	5.31	362.9
115.225	4.68	365.3
115.775	6.15	367.8
116.325	7.97	370.3
116.875	5.24	372.6
117.425	4.19	374.9
117.975	5.16	377.2
118.525	4.62	379.6
119.075	5.14	382.2
119.625	4.36	384.9
120.175	8.17	387.4
120.725	9.2	389.8
121.275	14.27	392.1
121.825	3.84	394.5
122.375	5.14	396.9
122.925	4.43	399.2
123.475	7.82	401.7
124.025	4.85	404.3
124.575	4.31	406.7
125.125	5.86	409.2
125.675	8.49	411.6
126.225	8.71	413.9
126.775	4.61	416.3
127.325	7.92	418.7
127.875	5.73	421.1
128.425	3.54	423.5
128.975	3.08	425.9
129.525	3.26	428.3
130.075	3.53	430.9
130.625	6.93	433.5
131.175	5.56	435.8
131.725	3.64	438.2
132.275	3.97	440.5
132.825	9.61	442.9
133.375	12.96	445.3
133.925	5.62	447.7
134.475	11.59	450.0
135.025	3.9	452.4
135.575	6.04	454.9
136.125	7.81	457.5
136.675	2.96	460.1
137.225	4.96	462.6
137.775	2.8	465.2
138.325	3.16	467.7
138.875	4.89	470.2
139.425	6.59	472.7
139.975	5.09	475.3
140.525	5.64	478.0
141.075	4.34	480.6
141.625	13.37	483.0
142.175	4.14	485.4
142.725	3.44	487.8
143.275	3.9	490.2
143.825	3.67	492.5
144.375	6.48	495.0
144.925	7.79	497.5
145.475	6.66	500.0
146.025	2.45	502.4
146.575	999999	504.7
147.125	3.31	507.1
147.675	4.72	509.4
148.225	6.97	512.0
148.775	3.94	514.5
149.325	14.17	517.0
149.875	6.04	519.5
150.425	8.13	522.0
150.975	7.24	524.7
151.525	4.36	527.4
152.075	6.84	530.0
152.625	3.15	532.5
153.175	4.07	534.9
153.725	6.3	537.4
154.275	4.72	539.7
154.825	5.31	542.0
155.375	6.2	544.4
155.925	3.97	546.8
156.475	3.47	549.4
157.025	5.35	551.9
157.575	4.99	554.4
158.125	3.9	556.7
158.675	3.32	559.1
159.225	19.51	561.7
159.775	3.08	564.3
160.325	3.53	566.7
160.875	3.45	569.5
161.425	3.74	572.4
161.975	7.77	575.1
162.525	2.58	577.7
163.075	4.49	580.3
163.625	8.63	582.6
164.175	4.26	585.1
164.725	3.61	588.0
165.275	3.48	590.9
165.825	3.93	593.6
166.375	2.25	596.4
166.925	2.31	599.0
167.475	10.68	601.7
168.025	10.02	604.6
168.575	4.79	607.2
169.125	4.84	609.6
169.675	6.13	612.1
170.225	3.7	614.8
170.775	3.94	617.4
171.325	4.83	619.9
171.875	10.1	622.5
172.425	3.84	625.1
172.975	4.81	627.7
173.525	3.31	630.3
174.075	14.1	633.0
174.625	3.92	635.7
175.175	4.01	638.3
175.725	3.56	641.0
176.275	5.35	643.6
176.825	21.52	646.0
177.375	17.79	648.4
177.925	4.45	650.8
178.475	8.41	653.3
179.025	4.32	655.9
179.575	9.71	658.5
180.125	6.7	661.0
180.675	4.59	663.5
181.225	6.4	666.0
181.775	3.48	668.4
182.325	5.54	670.9
182.875	11.32	673.3
183.425	17.64	675.8
183.975	12.8	678.4
184.525	5.18	681.0
185.075	7.44	683.4
185.625	5.28	685.9
186.175	5	688.5
186.725	4.83	691.4
187.275	3.6	694.1
187.825	4.3	696.8
188.375	8.73	699.4
188.925	8.42	702.0
189.475	6.21	704.6
190.025	3.19	707.1
190.575	3.31	709.9
191.125	10.67	712.5
191.675	4.77	715.0
192.225	4.25	717.4
192.775	3.55	720.0
193.325	9.12	722.6
193.875	8.24	725.2
194.425	7.33	727.7
194.975	1.32	730.0
195.525	3.97	732.5
196.075	2.57	735.1
196.625	5.88	737.7
197.175	2.95	740.2
197.725	13.56	742.8
198.275	3.29	745.3
198.825	3.07	747.8
199.375	7.09	750.3
199.925	3.48	752.8
200.475	3.5	755.4
201.025	7.03	758.0
201.575	999999	760.6
202.125	999999	763.4
202.675	3.2	766.1
203.225	7.11	768.7
203.775	6.35	771.3
204.325	11.97	773.9
204.875	9.67	776.4
205.425	6.86	779.1
205.975	3.22	781.8
206.525	8.03	784.5
207.075	6.91	787.0
207.625	6.4	789.6
208.175	7.36	792.3
208.725	11.63	794.8
209.275	23.58	797.5
209.825	3.39	800.4
210.375	2.62	803.3
210.925	5.92	806.0
211.475	3.07	808.6
212.025	3.34	811.2
212.575	2.56	813.7
213.125	3.58	816.1
213.675	4.7	818.6
214.225	5.6	821.2
214.775	10.91	823.8
215.325	6.25	826.4
215.875	6.65	828.9
216.425	4.24	831.5
216.975	5.09	834.1
217.525	4.43	836.9
218.075	5.57	839.7
218.625	2.68	842.6
219.175	5.6	845.3
219.725	3.8	848.1
220.275	6.8	850.9
220.825	2.55	853.6
221.375	3.32	856.2
221.925	10.95	858.7
222.475	7.57	861.3
223.025	6.23	863.9
223.575	4.22	866.4
224.125	3.67	868.9
224.675	6.92	871.5
225.225	6.77	874.1
225.775	7.18	876.7
226.325	12.6	879.3
226.875	3.67	882.0
227.425	4.26	884.6
227.975	3.94	887.1
228.525	3.95	889.8
229.075	12.93	892.4
229.625	3.77	895.0
230.175	4.23	897.8
230.725	5.25	900.6
231.275	3.82	903.2
231.825	3.71	905.7
232.375	13.88	908.4
232.925	4.95	911.1
233.475	5.49	913.6
234.025	6.46	916.2
234.575	5.32	918.8
235.125	6.13	921.5
235.675	3.82	924.3
236.225	5.01	927.0
236.775	2.91	929.7
237.325	6.41	932.2
237.875	46.22	934.6
238.425	20.24	937.3
238.975	4.17	940.0
239.525	3.98	942.8
240.075	7.26	945.5
240.625	4.24	948.0
241.175	4.44	950.5
241.725	3.81	953.1
242.275	4.44	955.8
242.825	2.89	958.6
243.375	3.44	961.3
243.925	5.58	963.9
244.475	5.44	966.6
245.025	7.93	969.3
245.575	4.09	972.1
246.125	3.88	974.8
246.675	4.43	977.2
247.225	5.85	979.7
247.775	5.78	982.3
248.325	5.21	984.9
248.875	5.09	987.5
249.425	2.35	990.1
249.975	7.33	992.5
250.525	7.7	994.9
251.075	4.31	997.3
251.625	10.12	999.7
252.175	5.34	1002.3
252.725	2.74	1004.9
253.275	10.06	1007.5
253.825	5.22	1010.1
254.375	3.4	1012.7
254.925	6.06	1015.4
255.475	2.54	1018.1
256.025	5.24	1020.8
256.575	4.29	1023.5
257.125	3.71	1026.0
257.675	13.24	1028.6
258.225	6	1031.1
258.775	4.33	1033.7
259.325	2.07	1036.3
259.875	2.16	1039.0
260.425	2.63	1041.8
260.975	2.2	1044.5
261.525	9.37	1046.9
262.075	5.62	1049.4
262.625	3.98	1051.9
263.175	7.49	1054.4
263.725	11.4	1056.9
264.275	1.88	1059.6
264.825	3.73	1062.4
265.375	4.55	1065.1
265.925	4.98	1067.7
266.475	3.8	1070.5
267.025	15.74	1073.2
267.575	4.02	1075.9
268.125	3.32	1078.5
268.675	4.21	1081.3
269.225	3.04	1084.0
269.775	3.24	1086.7
270.325	7.01	1089.4
270.875	4.18	1092.1
271.425	4.71	1094.8
271.975	7.73	1097.6
272.525	4.45	1100.5
273.075	3.89	1103.3
273.625	5.64	1105.9
274.175	4.65	1108.6
274.725	5.16	1111.4
275.275	6.31	1113.9
275.825	3.99	1116.2
276.375	2.64	1118.7
276.925	3.06	1121.3
277.475	3.2	1124.1
278.025	3.68	1126.8
278.575	9.46	1129.5
279.125	4.29	1132.1
279.675	4.98	1134.7
280.225	7.01	1137.2
280.775	4.49	1139.7
281.325	6.56	1142.3
281.875	3.85	1145.2
282.425	3.91	1148.2
282.975	10.73	1150.9
283.525	4.04	1153.8
284.075	8.97	1156.6
284.625	3.08	1159.2
285.175	3.46	1161.9
285.725	7.59	1164.7
286.275	7.33	1167.2
286.825	8.75	1169.7
287.375	5.21	1172.4
287.925	4.84	1175.1
288.475	3.48	1178.0
289.025	4.47	1180.8
289.575	3.41	1183.3
290.125	3.01	1185.9
290.675	3.45	1188.6
291.225	3.3	1191.1
291.775	3.93	1193.7
292.325	6.64	1196.1
292.875	4.9	1198.6
293.425	2.71	1201.2
293.975	4.04	1203.8
294.525	2.28	1206.3
295.075	9.52	1208.8
295.625	3.77	1211.3
296.175	2.82	1213.8
296.725	11.3	1216.5
297.275	10.48	1219.3
297.825	16.87	1222.1
298.375	3.67	1224.6
298.925	5.52	1227.2
299.475	2.87	1229.8
300.025	4.7	1232.5
300.575	10.33	1235.1
301.125	13.35	1237.7
301.675	4.46	1240.2
302.225	7.7	1242.7
302.775	8.13	1245.3
303.325	10.09	1248.0
303.875	11.79	1250.8
304.425	4.02	1253.5
304.975	6.75	1256.4
305.525	3.54	1259.2
306.075	3.86	1262.0
306.625	7.3	1264.7
307.175	7.24	1267.4
307.725	3.6	1270.1
308.275	5.05	1272.7
308.825	4.88	1275.5
309.375	2.17	1278.5
309.925	14.04	1281.3
310.475	4.79	1283.9
311.025	8.03	1286.5
311.575	4.92	1289.1
312.125	4.04	1291.8
312.675	2.6	1294.6
313.225	2.7	1297.1
313.775	3.3	1299.7
314.325	2.28	1302.4
314.875	6.09	1305.1
315.425	4.39	1307.8
315.975	3.43	1310.5
316.525	2.56	1313.2
317.075	3.5	1315.8
317.625	1.88	1318.3
318.175	6.79	1320.9
318.725	18.03	1323.4
319.275	8.33	1326.2
319.825	3.02	1329.2
320.375	2.88	1332.0
320.925	2.78	1334.8
321.475	4	1337.6
322.025	8.22	1340.3
322.575	3.04	1343.1
323.125	2.58	1345.9
323.675	4	1348.5
324.225	1.65	1351.2
324.775	8.32	1353.8
325.325	11.83	1356.5
325.875	6.93	1359.3
326.425	3.29	1362.1
326.975	5.72	1364.7
327.525	4.64	1367.7
328.075	5.42	1370.6
328.625	15.32	1373.3
329.175	8.12	1375.9
329.725	4.75	1378.5
330.275	9.87	1381.3
330.825	9.92	1384.3
331.375	3.98	1387.2
331.925	5.29	1390.1
332.475	10.83	1392.8
333.025	6.33	1395.4
333.575	4.43	1398.0
334.125	13.07	1400.6
334.675	2.23	1403.1
335.225	6.97	1405.7
335.775	9.65	1408.3
336.325	35.08	1410.9
336.875	4.8	1413.6
337.425	6.01	1416.4
337.975	4.99	1419.3
338.525	4.02	1422.0
339.075	2.6	1424.7
339.625	3.68	1427.7
340.175	5.05	1430.6
340.725	6.78	1433.3
341.275	2.07	1436.1
341.825	3.01	1439.0
342.375	5.05	1441.8
342.925	5.1	1444.6
343.475	4.32	1447.6
344.025	2.75	1450.6
344.575	6.17	1453.5
345.125	3.06	1456.4
345.675	3.24	1459.2
346.225	9.54	1462.0
346.775	6.22	1464.7
347.325	15.47	1467.5
347.875	4.9	1470.3
348.425	6.41	1473.2
348.975	5.5	1476.1
349.525	3.94	1479.0
350.075	5.07	1482.0
350.625	10.3	1485.0
351.175	7.09	1487.9
351.725	5.82	1490.8
352.275	5.78	1493.5
352.825	3.02	1496.1
353.375	14.49	1498.7
353.925	4.12	1501.4
354.475	4.27	1504.4
355.025	5.2	1507.5
355.575	4.75	1510.3
356.125	11.45	1513.0
356.675	21.43	1515.6
357.225	13.6	1518.2
357.775	4.27	1520.8
358.325	4.3	1523.6
358.875	7.57	1526.3
359.425	4.28	1529.2
359.975	4.96	1532.2
360.525	7.77	1535.0
361.075	11.3	1537.7
361.625	5.46	1540.4
362.175	14.75	1543.0
362.725	7.13	1545.7
363.275	4.12	1548.5
363.825	5.72	1551.3
364.375	9.68	1554.0
364.925	9.52	1556.6
365.475	5.3	1559.2
366.025	10.78	1561.9
366.575	6.98	1564.6
367.125	8.73	1567.5
367.675	18.98	1570.4
368.225	22.36	1573.1
368.775	11.27	1575.7
369.325	5.07	1578.3
369.875	3.99	1580.8
370.425	9.68	1583.4
370.975	6.27	1586.0
371.525	10.59	1588.6
372.075	25.92	1591.3
372.625	10.32	1594.1
373.175	10.9	1596.9
373.725	7.31	1599.6
374.275	3.24	1602.3
374.825	9.96	1605.1
375.375	5.03	1607.9
375.925	6.85	1610.8
376.475	4.58	1613.6
377.025	7.48	1616.5
377.575	11.81	1619.5
378.125	7.1	1622.3
378.675	4.94	1625.0
379.225	6.54	1627.8
379.775	3.23	1630.6
380.325	3.36	1633.4
380.875	6.96	1636.2
381.425	5.08	1638.9
381.975	3.51	1641.8
382.525	30.13	1644.9
383.075	7.74	1647.9
383.625	4.42	1650.7
384.175	5.21	1653.5
384.725	5	1656.3
385.275	4.45	1659.2
385.825	3.31	1661.9
386.375	3.41	1664.5
386.925	5.87	1667.4
387.475	12.02	1670.4
388.025	7.69	1673.3
388.575	21.96	1676.2
389.125	7.69	1679.0
389.675	5.28	1681.8
390.225	6.9	1684.4
390.775	4.57	1687.1
391.325	4.07	1689.9
