GRIP Depth Age Scale from Flow Modeling

REFERENCES: 

Johnsen, S.J., H.B. Clausen, W. Dansgaard, N.S. Gundestrup, C.U. Hammer, U.
Andersen, K.K. Andersen, C.S. Hvidberg, D. Dahl-Jensen, J.P. Steffensen, H.
Shoji, A.E. Sveinbjörnsdóttir, J.W.C. White, J. Jouzel, and D. Fisher.
1997. The d18O record along the Greenland Ice Core Pproject deep ice core
and the problem of possible Eemian climatic instability. Journal of
Geophysical Research 102:26397-26410.

DATA DESCRIPTION: 

This file contains the GRIP timescale ss09.  This is one of several
published depth age scales for the GRIP core.  It is based on a
Dansgaard-Johnsen (1969) type flow model, with a 1500 m lower shear layer,
13.5% bottom sliding and accumulation rates which are a function of the
d18O values: 23.0 cm of ice at -35.2 per mil with 8% and 18% change per
per mil at -35.2 per mil and -40 per mil, respectively.  The d18O values
are given in the file gripd18O.dat.  See also the stratigraphic ages by
Hammer et al. (1997), presented in the file gripstrat.dat. 

IMPORTANT NOTE: for most of the GRIP files on this CDROM, we have used
this timescale.  In some cases, ages were provided and these are not
necessarily on identical timescales.  Please refer to the document "A
note on the timescales" for more information. 

DATA: 

Depth (m)	Age (yrs BP)
0.00	-39.000
0.55	-38.065
1.10	-37.187
1.65	-36.118
2.20	-35.145
2.75	-34.097
3.30	-33.188
3.85	-32.195
4.40	-31.128
4.95	-30.120
5.50	-29.028
6.05	-27.973
6.60	-26.898
7.15	-25.798
7.70	-24.613
8.25	-23.171
8.80	-21.93
9.35	-20.411
9.90	-19.231
10.45	-18.068
11.00	-16.603
11.55	-15.416
12.10	-14.054
12.65	-12.784
13.20	-11.436
13.75	-9.831
14.30	-8.442
14.85	-6.811
15.40	-5.302
15.95	-3.916
16.50	-2.427
17.05	-0.927
17.60	0.565
18.15	2.458
18.70	3.968
19.25	5.354
19.80	6.712
20.35	8.233
20.90	9.638
21.45	11.139
22.00	12.543
22.55	14.235
23.10	15.73
23.65	17.127
24.20	18.62
24.75	20.038
25.30	21.647
25.85	23.034
26.40	24.626
26.95	26.405
27.50	28.006
28.05	29.862
28.60	31.498
29.15	33.188
29.70	34.654
30.25	36.446
30.80	38.249
31.35	39.918
31.90	41.446
32.45	43.049
33.00	45.183
33.55	46.964
34.10	48.64
34.65	50.384
35.20	52.087
35.75	53.857
36.30	55.538
36.85	57.282
37.40	59.016
37.95	61.01
38.50	62.74
39.05	64.45
39.60	66.2
40.15	67.99
40.70	69.91
41.25	71.67
41.80	73.44
42.35	75.2
42.90	76.99
43.45	78.75
44.00	80.48
44.55	82.4
45.10	84.44
45.65	86.61
46.20	88.45
46.75	90.35
47.30	92.14
47.85	94.07
48.40	96.07
48.95	98.01
49.50	99.77
50.05	101.62
50.60	103.59
51.15	105.66
51.70	107.58
52.25	109.47
52.80	111.28
53.35	113.1
53.90	115.85
54.45	117.72
55.00	119.72
55.55	121.74
56.10	123.6
56.65	125.7
57.20	127.77
57.75	129.72
58.30	131.66
58.85	133.77
59.40	135.72
59.95	137.78
60.50	139.77
61.05	141.73
61.60	143.7
62.15	145.6
62.70	147.57
63.25	149.55
63.80	151.73
64.35	153.89
64.90	155.84
65.45	157.84
66.00	159.85
66.55	161.82
67.10	163.7
67.65	165.71
68.20	167.82
68.75	170.07
69.30	172.39
69.85	174.42
70.40	176.58
70.95	178.66
71.50	180.77
72.05	182.96
72.60	184.98
73.15	187.13
73.70	189.29
74.25	191.38
74.80	193.68
75.35	196.01
75.90	198.31
76.45	200.68
77.00	202.93
77.55	205.07
78.10	207.19
78.65	209.21
79.20	211.46
79.75	213.72
80.30	215.96
80.85	218.11
81.40	220.08
81.95	222.16
82.50	224.23
83.05	226.48
83.60	229.17
84.15	231.39
84.70	233.62
85.25	235.77
85.80	238.07
86.35	240.38
86.90	242.66
87.45	245.17
88.00	247.22
88.55	249.97
89.10	252.58
89.65	254.85
90.20	257.22
90.75	259.54
91.30	262.08
91.85	264.41
92.40	266.57
92.95	268.97
93.50	271.27
94.05	273.78
94.60	276.3
95.15	278.6
95.70	281.04
96.25	283.3
96.80	285.59
97.35	287.8
97.90	290.24
98.45	292.73
99.00	295.06
99.55	297.48
100.10	299.66
100.65	301.96
101.20	304.47
101.75	306.73
102.30	309
102.85	311.59
103.40	314.02
103.95	316.4
104.50	318.64
105.05	320.8
105.60	323.24
106.15	325.99
106.70	328.4
107.25	330.74
107.80	333.35
108.35	335.52
108.90	337.89
109.45	340.32
110.00	342.71
110.55	345.21
111.10	347.61
111.65	350.16
112.20	352.54
112.75	354.7
113.30	357.07
113.85	359.43
114.40	361.79
114.95	364.03
115.50	366.6
116.05	369.06
116.60	371.44
117.15	373.79
117.70	376.05
118.25	378.41
118.80	380.79
119.35	383.65
119.90	386.12
120.45	388.66
121.00	390.96
121.55	393.29
122.10	395.67
122.65	398.09
123.20	400.35
123.75	402.99
124.30	405.55
124.85	407.87
125.40	410.44
125.95	412.77
126.50	415.09
127.05	417.48
127.60	419.85
128.15	422.26
128.70	424.67
129.25	427.15
129.80	429.51
130.35	432.37
130.90	434.62
131.45	437.04
132.00	439.33
132.55	441.72
133.10	444.1
133.65	446.49
134.20	448.82
134.75	451.16
135.30	453.67
135.85	456.16
136.40	458.9
136.95	461.27
137.50	463.91
138.05	466.43
138.60	469
139.15	471.4
139.70	473.93
140.25	476.6
140.80	479.41
141.35	481.8
141.90	484.24
142.45	486.62
143.00	488.96
143.55	491.34
144.10	493.72
144.65	496.34
145.20	498.75
145.75	501.18
146.30	503.58
146.85	505.91
147.40	508.21
147.95	510.63
148.50	513.29
149.05	515.7
149.60	518.26
150.15	520.67
150.70	523.25
151.25	526.06
151.80	528.75
152.35	531.25
152.90	533.65
153.45	536.18
154.00	538.56
154.55	540.87
155.10	543.2
155.65	545.59
156.20	548.07
156.75	550.7
157.30	553.17
157.85	555.54
158.40	557.84
158.95	560.38
159.50	563.07
160.05	565.44
160.60	568.02
161.15	570.95
161.70	573.82
162.25	576.38
162.80	579.08
163.35	581.46
163.90	583.79
164.45	586.49
165.00	589.53
165.55	592.25
166.10	594.94
166.65	597.76
167.20	600.27
167.75	603.14
168.30	605.99
168.85	608.42
169.40	610.8
169.95	613.38
170.50	616.15
171.05	618.73
171.60	621.16
172.15	623.81
172.70	626.44
173.25	628.93
173.80	631.6
174.35	634.41
174.90	636.99
175.45	639.66
176.00	642.26
176.55	644.87
177.10	647.16
177.65	649.59
178.20	652.09
178.75	654.54
179.30	657.21
179.85	659.71
180.40	662.24
180.95	664.78
181.50	667.18
182.05	669.71
182.60	672.08
183.15	674.52
183.70	677.12
184.25	679.67
184.80	682.25
185.35	684.6
185.90	687.11
186.45	689.94
187.00	692.79
187.55	695.45
188.10	698.18
188.65	700.55
189.20	703.39
189.75	705.78
190.30	708.51
190.85	711.2
191.40	713.74
191.95	716.2
192.50	718.63
193.05	721.36
193.60	723.88
194.15	726.51
194.70	728.84
195.25	731.18
195.80	733.77
196.35	736.51
196.90	738.88
197.45	741.61
198.00	744.05
198.55	746.59
199.10	749.04
199.65	751.63
200.20	754.04
200.75	756.68
201.30	759.27
201.85	762
202.40	764.8
202.95	767.45
203.50	769.96
204.05	772.67
204.60	775.1
205.15	777.72
205.70	780.51
206.25	783.15
206.80	785.8
207.35	788.26
207.90	791
208.45	793.57
209.00	796.08
209.55	799
210.10	801.88
210.65	804.7
211.20	807.34
211.75	809.92
212.30	812.39
212.85	814.99
213.40	817.28
213.95	819.83
214.50	822.5
215.05	825.12
215.60	827.62
216.15	830.18
216.70	832.74
217.25	835.48
217.80	838.26
218.35	841.22
218.90	843.9
219.45	846.73
220.00	849.52
220.55	852.23
221.10	854.87
221.65	857.47
222.20	860.02
222.75	862.58
223.30	865.15
223.85	867.59
224.40	870.26
224.95	872.77
225.50	875.34
226.05	877.98
226.60	880.65
227.15	883.39
227.70	885.8
228.25	888.48
228.80	891.11
229.35	893.76
229.90	896.33
230.45	899.32
231.00	901.9
231.55	904.47
232.10	906.97
232.65	909.78
233.20	912.37
233.75	914.92
234.30	917.55
234.85	920.09
235.40	922.87
235.95	925.67
236.50	928.34
237.05	931
237.60	933.36
238.15	935.84
238.70	938.68
239.25	941.35
239.80	944.25
240.35	946.77
240.90	949.19
241.45	951.78
242.00	954.45
242.55	957.16
243.10	960
243.65	962.5
244.20	965.3
244.75	967.9
245.30	970.6
245.85	973.5
246.40	976
246.95	978.4
247.50	981
248.05	983.6
248.60	986.1
249.15	988.8
249.70	991.3
250.25	993.7
250.80	996.1
251.35	998.4
251.90	1000.9
252.45	1003.6
253.00	1006.1
253.55	1008.8
254.10	1011.4
254.65	1014
255.20	1016.7
255.75	1019.4
256.30	1022.2
256.85	1024.7
257.40	1027.3
257.95	1029.8
258.50	1032.4
259.05	1034.9
259.60	1037.6
260.15	1040.4
260.70	1043.2
261.25	1045.7
261.80	1048.1
262.35	1050.7
262.90	1053.1
263.45	1055.6
264.00	1058.2
264.55	1061
265.10	1063.8
265.65	1066.3
266.20	1069.1
266.75	1071.8
267.30	1074.6
267.85	1077.1
268.40	1079.9
268.95	1082.6
269.50	1085.4
270.05	1088
270.60	1090.8
271.15	1093.4
271.70	1096.1
272.25	1099.1
272.80	1101.9
273.35	1104.6
273.90	1107.2
274.45	1110
275.00	1112.7
275.55	1115
276.10	1117.4
276.65	1119.9
277.20	1122.7
277.75	1125.4
278.30	1128.2
278.85	1130.8
279.40	1133.4
279.95	1135.9
280.50	1138.5
281.05	1140.9
281.60	1143.6
282.15	1146.8
282.70	1149.5
283.25	1152.3
283.80	1155.3
284.35	1157.9
284.90	1160.4
285.45	1163.4
286.00	1165.9
286.55	1168.4
287.10	1171
287.65	1173.7
288.20	1176.4
288.75	1179.5
289.30	1182
289.85	1184.5
290.40	1187.3
290.95	1189.8
291.50	1192.4
292.05	1194.9
292.60	1197.3
293.15	1199.8
293.70	1202.5
294.25	1205
294.80	1207.6
295.35	1210
295.90	1212.5
296.45	1215.1
297.00	1217.8
297.55	1220.8
298.10	1223.3
298.65	1225.9
299.20	1228.5
299.75	1231.1
300.30	1233.8
300.85	1236.4
301.40	1239
301.95	1241.4
302.50	1244
303.05	1246.5
303.60	1249.4
304.15	1252.1
304.70	1254.9
305.25	1257.8
305.80	1260.6
306.35	1263.3
306.90	1266.1
307.45	1268.7
308.00	1271.4
308.55	1274
309.10	1277
309.65	1279.9
310.20	1282.6
310.75	1285.2
311.30	1287.7
311.85	1290.4
312.40	1293.2
312.95	1295.9
313.50	1298.3
314.05	1301
314.60	1303.7
315.15	1306.4
315.70	1309.2
316.25	1311.8
316.80	1314.5
317.35	1317
317.90	1319.6
318.45	1322.1
319.00	1324.7
319.55	1327.7
320.10	1330.6
320.65	1333.4
321.20	1336.2
321.75	1339
322.30	1341.6
322.85	1344.6
323.40	1347.1
323.95	1349.8
324.50	1352.5
325.05	1355
325.60	1357.9
326.15	1360.7
326.70	1363.4
327.25	1366
327.80	1369.3
328.35	1371.9
328.90	1374.6
329.45	1377.2
330.00	1379.7
330.55	1382.8
331.10	1385.7
331.65	1388.6
332.20	1391.5
332.75	1394.1
333.30	1396.7
333.85	1399.3
334.40	1401.8
334.95	1404.3
335.50	1407
336.05	1409.6
336.60	1412.2
337.15	1414.9
337.70	1417.9
338.25	1420.7
338.80	1423.3
339.35	1426.1
339.90	1429.2
340.45	1431.9
341.00	1434.6
341.55	1437.6
342.10	1440.4
342.65	1443.2
343.20	1446
343.75	1449.2
344.30	1451.9
344.85	1455
345.40	1457.7
345.95	1460.6
346.50	1463.3
347.05	1466
347.60	1468.9
348.15	1471.7
348.70	1474.6
349.25	1477.6
349.80	1480.3
350.35	1483.6
350.90	1486.4
351.45	1489.4
352.00	1492.1
352.55	1494.8
353.10	1497.4
353.65	1500
354.20	1502.7
354.75	1506.1
355.30	1508.8
355.85	1511.7
356.40	1514.2
356.95	1516.9
357.50	1519.4
358.05	1522.2
358.60	1525
359.15	1527.6
359.70	1530.7
360.25	1533.6
360.80	1536.3
361.35	1539.1
361.90	1541.6
362.45	1544.3
363.00	1547
363.55	1550
364.10	1552.6
364.65	1555.3
365.20	1557.9
365.75	1560.5
366.30	1563.2
366.85	1566
367.40	1568.9
