GRIP Electrical Conductivity

REFERENCES: 

Wolff, E.W., J.C. Moore, H.B. Clausen, and C.U. Hammer. 1997. Climatic
implications of background acidity and other chemistry derived from
electrical studies of the Greenland Ice Core Project ice core. Journal of
Geophysical Research 102:26325-26332.

Clausen, H.B., C.U. Hammer, J. Christensen, C.S. Hvidberg, D. Dahl-Jensen,
M.R. Legrand, and J.P. Steffensen. 1995. 1250 years of global volcanism as
revealed by central Greenland ice cores. Ice Core Studies of Global
Biogeochemical cycles, annecy, France, R. Delmas (ed.). NATO Advanced
Sciences Institutes Series 1, 30:175-194.

Wolff, E.W., J.C. Moore, H.B. Clausen, C.U. Hammer, J. Kipfstuhl, and K.
Fuhrer. 1995. Long-term changes in the acid and salt concentrations of the
Greenland Ice Core Project ice core from electrical stratigraphy. Journal
of Geophysical Research 100:16249-16263.

Moore, J.C., E.W. Wolff, H.B. Clausen, C.U. Hammer, M.R. Legrand, and K.
Fuhrer. 1994. Electrical response of the Summit-Greenland ice core to
ammonium, sulphuric acid, and hydrochloric acid. Geophysical Research
Letters 21:565-568.

GRIP Members. 1993. Climate instability during the last interglacial period
recorded in the GRIP ice core. Nature 364:203-207.

Taylor, K.C., C.U. Hammer, R.B. Alley, H.B. Clausen, D. Dahl-Jensen, A.J.
Gow, N.S. Gundestrup, J. Kipfstuhl, J.C. Moore, and E.D. Waddington. 1993.
Electrical conductivity measurements from the GISP2 and GRIP Greenland ice
cores. Nature 366:549-552.

Moore, J.C., R. Mulvaney, and J.G. Paren. 1989. Dielectric stratigraphy of
ice: a new technique for determining total ionic concentrations in polar
ice cores. Geophysical Research Letters 16:1177-1180.

Moore, J.C., and J.G. Paren. 1987. A new technique for dielectric logging
of Antarctic ice cores. Journal de Physique 48:C1/155-C1/160.

DATA DESCRIPTION: 

This file shows the ECM (electrical conductivity measurement) data from
the GRIP ice core. The values were originally gathered continuously for
every 1 cm of the core, but for file are averaged in 55cm intervals. The
depths refers to the top of the sample. The ECM-values are given in
[microeq./kg], obtained by the formula: 

H+=0.085*i[microA]^1.63 for depths above 297 m

and

H+=0.045*i[microA]^1.73 for depths below 297 m

DATA:		

Depth	ECM	Age
Top (m)	(microeq./kg)	Top (yr BP)

0	1.43	-39
0.55	0.83	-38
1.1	0.18	-37
1.65	0.28	-36
2.2	1.36	-35
2.75	1.66	-34
3.3	1.29	-33
3.85	1.96	-32
4.4	1.81	-31
4.95	2.37	-30
5.5	1.71	-29
6.05	1.32	-28
6.6	1.79	-27
7.15	1.67	-26
7.7	1.23	-25
8.25	1.73	-23
8.8	2.07	-22
9.35	1.67	-20
9.9	2.1	-19
10.45	1.33	-18
11	1.78	-17
11.55	1.08	-15
12.1	1.32	-14
12.65	1.11	-13
13.2	1.32	-11
13.75	1.45	-10
14.3	1.39	-8
14.85	1.18	-7
15.4	1.32	-5
15.95	1.06	-4
16.5	1.21	-2
17.05	1.16	-1
17.6	1.23	1
18.15	1.45	2
18.7	1	4
19.25	1.14	5
19.8	1.12	7
20.35	1.17	8
20.9	1.05	10
21.45	0.89	11
22	0.91	13
22.55	0.85	14
23.1	0.85	16
23.65	1.03	17
24.2	0.85	19
24.75	1.14	20
25.3	0.89	22
25.85	0.99	23
26.4	1.1	25
26.95	0.98	26
27.5	1.18	28
28.05	1.16	30
28.6	1.21	31
29.15	1.18	33
29.7	1.17	35
30.25	2	36
30.8	0.81	38
31.35	0.94	40
31.9	1.44	41
32.45	1.41	43
33	1.38	45
33.55	1.2	47
34.1	1.04	49
34.65	0.85	50
35.2	0.83	52
35.75	0.89	54
36.3	0.98	56
36.85	0.95	57
37.4	0.7	59
37.95	0.78	61
38.5	0.57	63
39.05	1.12	64
39.6	0.93	66
40.15	0.84	68
40.7	0.81	70
41.25	0.95	72
41.8	0.97	73
42.35	1.09	75
42.9	1.02	77
43.45	0.81	79
44	0.88	80
44.55	1.09	82
45.1	1.05	84
45.65	1.13	87
46.2	1.17	88
46.75	1.28	90
47.3	1.31	92
47.85	1.16	94
48.4	1.01	96
48.95	0.79	98
49.5	1.12	100
50.05	0.88	102
50.6	1.22	104
51.15	0.92	106
51.7	0.92	108
52.25	0.92	109
52.8	1.07	111
53.35	0.88	113
53.9	1.66	116
54.45	1.03	118
55	1.07	120
55.55	1.18	122
56.1	1.22	124
56.65	1.16	126
57.2	0.77	128
57.75	1.09	130
58.3	1.85	132
58.85	1.44	134
59.4	1.38	136
59.95	1.93	138
60.5	1.02	140
61.05	1.55	142
61.6	1.22	144
62.15	1.23	146
62.7	1.07	148
63.25	1.46	150
63.8	0.87	152
64.35	0.9	154
64.9	1.12	156
65.45	1.16	158
66	1.55	160
66.55	1.88	162
67.1	4.01	164
67.65	1.73	166
68.2	2.02	168
68.75	1.7	170
69.3	1.24	172
69.85	1.58	174
70.4	1.63	177
70.95	1.5	179
71.5	1.2	181
72.05	1.47	183
72.6	1.08	185
73.15	0.96	187
73.7	1.17	189
74.25	1.02	191
74.8	0.81	194
75.35	1.01	196
75.9	1.07	198
76.45	1.16	201
77	0.83	203
77.55	1.29	205
78.1	1.41	207
78.65	1.25	209
79.2	1.11	211
79.75	1.43	214
80.3	1.5	216
80.85	1.69	218
81.4	1.51	220
81.95	1.83	222
82.5	1.47	224
83.05	1.7	226
83.6	1.55	229
84.15	1.26	231
84.7	1.39	234
85.25	1.36	236
85.8	1.49	238
86.35	1.32	240
86.9	1.55	243
87.45	1.3	245
88	1.65	247
88.55	1.63	250
89.1	1.24	253
89.65	1.43	255
90.2	1.57	257
90.75	1.46	260
91.3	1.26	262
91.85	1.55	264
92.4	1.7	267
92.95	1.22	269
93.5	1.55	271
94.05	1.98	274
94.6	1.58	276
95.15	2.02	279
95.7	1.43	281
96.25	1.43	283
96.8	1.67	286
97.35	1.5	288
97.9	1.16	290
98.45	1.49	293
99	1.7	295
99.55	1.45	297
100.1	1.58	300
100.65	1.66	302
101.2	1.22	304
101.75	1.66	307
102.3	0.85	309
102.85	1.7	312
103.4	1.36	314
103.95	1.43	316
104.5	1.24	319
105.05	0.75	321
105.6	1.65	323
106.15	2.17	326
106.7	0.9	328
107.25	0.75	331
107.8	1.06	333
108.35	1.13	336
108.9	1.07	338
109.45	1.6	340
110	1.26	343
110.55	2.35	345
111.1	1.43	348
111.65	1.83	350
112.2	1.45	353
112.75	1.54	355
113.3	1.81	357
113.85	1.28	359
114.4	2.02	362
114.95	1.44	364
115.5	1.22	367
116.05	1.79	369
116.6	1.15	371
117.15	1.28	374
117.7	1.02	376
118.25	1.08	378
118.8	1.17	381
119.35	1.47	384
119.9	1.94	386
120.45	1.3	389
121	1.24	391
121.55	2.17	393
122.1	1.72	396
122.65	1.85	398
123.2	1.18	400
123.75	1.48	403
124.3	1.74	406
124.85	1.44	408
125.4	1.77	410
125.95	1.27	413
126.5	1.24	415
127.05	1.18	417
127.6	1.95	420
128.15	1.96	422
128.7	1.78	425
129.25	1.78	427
129.8	1.38	430
130.35	2.34	432
130.9	2.31	435
131.45	1.55	437
132	1.95	439
132.55	1.51	442
133.1	1.15	444
133.65	1.93	446
134.2	1.75	449
134.75	1.94	451
135.3	1.92	454
135.85	1.34	456
136.4	1.43	459
136.95	0.88	461
137.5	0.82	464
138.05	2.29	466
138.6	2.48	469
139.15	2.61	471
139.7	2.09	474
140.25	1.87	477
140.8	1.81	479
141.35	1.61	482
141.9	2.27	484
142.45	2.4	487
143	1.85	489
143.55	1.86	491
144.1	1.78	494
144.65	1.98	496
145.2	1.82	499
145.75	1.66	501
146.3	2.18	504
146.85	2.84	506
147.4	2.14	508
147.95	1.92	511
148.5	1.59	513
