GRIP Basal Ice Gas Concentrations

REFERENCE: 

Souchez, R., and M. Lemmens. 1995. Flow-induced mixing in the GRIP basas
ice deduced from the CO2 and CH4 records. Geophysical Research Letters
22:41-44.

Souchez, R., L. Janssens, M. Lemmens, and B. Stauffer. 1995. Very low
oxygen concentration in basal ice from Summit, Central Greenland.
Geophysical Research Letters 22:2001-2004.

DATA DESCRIPTION:

This file contains gas data from the GRIP basal ice. See also the files
isobas.dat and xlsize.dat for more data from the GRIP basal ice. 

DATA:					

Depth (m)	CO2	O2	N2	CH4	Total Air
Midpoint	(ppmv)	(%)	(%)	(ppmv)	(ml/g)

3022.285	410	999999	999999	0.642	0.098
3022.319	527	20.807	79.14	999999	999999
3022.47	640	999999	999999	0.575	0.084
3022.623	5900	999999	999999	110	0.068
3022.681	6573	19.774	79.569	999999	999999
3022.93	6800	999999	999999	500	0.077
3023.32	3400	999999	999999	5.9	0.087
3023.405	2921	18.802	80.906	999999	999999
3023.598	13034	15.879	82.818	999999	999999
3023.684	12900	999999	999999	800	0.077
3023.845	29585	14.657	82.384	999999	999999
3024.05	30800	999999	999999	1200	0.08
3024.326	95192	11.221	79.26	999999	999999
3024.396	66700	999999	999999	3500	0.068
3024.667	38318	12.612	83.556	999999	999999
3024.744	30100	999999	999999	1400	0.07
3024.995	63508	11.24	82.409	999999	999999
3025.06	53100	999999	999999	2500	0.063
3025.12	53702	10.466	84.164	999999	999999
3025.421	99484	9.82	80.232	999999	999999
3025.491	63300	999999	999999	3900	0.058
3025.7	54400	999999	999999	1600	0.074
3025.946	50859	10.702	84.212	999999	999999
3026.165	59754	10.021	84.003	999999	999999
3026.235	53600	999999	999999	2500	0.065
3026.445	67500	999999	999999	3300	0.068
3026.515	69058	9.66	83.435	999999	999999
3026.58	54400	999999	999999	2400	0.072
3026.745	59562	9.377	84.666	999999	999999
3027.145	81571	8.508	83.335	999999	999999
3027.321	99100	999999	999999	4600	0.059
3027.458	89105	6.42	84.669	999999	999999
3027.596	85441	6.269	85.187	999999	999999
3027.905	119000	999999	999999	5600	0.051
3027.975	111047	4.849	84.046	999999	999999
3028.216	999999	999999	999999	999999	999999
3028.285	131100	999999	999999	6100	0.048
3028.525	97299	3.38	86.891	999999	999999
