Stable Isotope Data from Basal Ice, GRIP Core		

REFERENCES:		

Souchez, R. 1997. The buildup of the ice sheet in central Greenland.
Journal of Geophysical Research 102:26317-26323.

Fuchs, A., and M.C. Leuenberger. 1996. d18O of atmospheric oxygen measured
on the GRIP ice core document stratagraphic disturbances in the lowest 10%
of the core. Geophysical Research Letters 9:1049-1052.

Souchez, R., J.L. Tison, R.D. Lorrain, M. Lemmens, and L. Janssens. 1994.
Stable isotopes in the basal silty ice preserved in the Greenland Ice Sheet
at Summit; environmental implications. Geophysical Research Letters 21:693
696.

DATA DESCRIPTION:		

This file contains deuterium and oxygen isotope data from the GRIP basal
ice. These data are continuous averages for the average (midpoint) depths
given. Missing data are denoted by 999999. 

DATA:		

Depth (m)	del D	del18O
Midpoint	(per mil)	(per mil)

3022.267	-285.1	-36.5
3022.3015	-280.2	-36.04
3022.336	-279.1	-35.84
3022.3705	-282.4	-36.13
3022.405	-285.8	-36.58
3022.4395	-281.6	-36.87
3022.474	-287.6	-36.99
3022.5085	-282.8	-36.14
3022.543	-267.9	-34.32
3022.5775	-261.1	-33.68
3022.612	-262.3	-33.97
3022.6465	-267	-34.25
3022.681	-265.4	-34.06
3022.7155	-265.4	-34.21
3022.75	-267.8	-34.31
3022.786	-262.9	-33.68
3022.817	999999	999999
3022.8515	-250.6	-32.28
3022.886	-245.3	-31.59
3022.9205	-244.7	-31.65
3022.955	-244.9	-31.62
3022.9895	-249.9	-32.11
3023.024	-259.5	-33.33
3023.0585	-260.3	-33.45
3023.093	-254.6	-32.77
3023.1275	-252.5	-32.52
3023.162	-254.1	-32.73
3023.1965	-258.1	-33.13
3023.231	-260.2	-33.47
3023.2655	-259.6	-33.96
3023.3	-269.4	-34.85
3023.337	-278.3	-35.74
3023.367	999999	999999
3023.4015	-258.4	-33.48
3023.436	-264.3	-33.95
3023.4705	-268.3	-34.47
3023.505	-268.6	-34.59
3023.5395	-274.6	-35.15
3023.574	-280.6	-35.84
3023.6085	-282.9	-36.21
3023.643	-281.6	-36.1
3023.6775	-261.7	-33.74
3023.712	-260.5	-33.76
3023.7465	-255.7	-32.85
3023.781	-247.3	-31.94
3023.8155	-240	-31.74
3023.85	-244.6	-32
3023.882	-248.1	-31.97
3023.917	-246.9	-31.75
3023.9515	-242.4	-31.27
3023.986	-242	-31.26
3024.0205	-243.1	-31.63
3024.055	-248.5	-32.08
3024.0895	-241.7	-31.72
3024.124	-241.2	-31.09
3024.1585	-232.8	-30.24
3024.193	-226.9	-29.14
3024.2275	-216.3	-27.91
3024.262	-203.1	-26.58
3024.2965	-200.9	-26.28
3024.331	-200.4	-26.23
3024.3655	-201.3	-26.18
