GRIP c-axis orientations

REFERENCES: 

Thorsteinsson, T., J. Kipfstuhl, and H. Miller. 1997. Textures and fabrics
in the GRIP ice core. Journal of Geophysical Research 102:26583-26599.

Thorsteinsson, T. 1996. Textures and Fabrics in the GRIP Ice Core, in
Relation to Climate History and Ice Deformation. Berichte zur
Polarforschung, PhD Thesis, University of Bremen, 146pp.

Tison, J.L., T. Thorsteinsson, R.D. Lorrain, and J. Kipfstuhl. 1994. Origin
and development of textures and fabrics in basal ice at Summit, Central
Greenland. Earth and Planetary Science Letters 125:421-437.

DATA DESCRIPTION:

Average horizontal and vertical crystal diameters are given, obtained by
linear-intercept measurements on thin sections. The data have not been
corrected for the sectioning effect. The depth and approximate age is
given for the data points. Ages are only given down to a depth of 2780 m
(111 kyr), since the timescale is uncertain below this depth. 999999 is
given where no data exist.

DATA:			

Depth (m)	Size (mm)	Size (mm)	Age (yrs BP)
Midpoint	Horizontal	Vertical	

109.08	1.61	1.36	375
120.9	1.66	1.53	430
139.15	1.9	999999	515
166.1	2.14	2	645
193.6	2.68	999999	782
221	2.58	2.58	920
249.15	2.2	999999	1061
276.55	2.81	2.36	1195
304.15	2.69	999999	1331
330.11	3.11	2.71	1464
359.1	3.31	999999	1617
382.25	2.82	2.18	1736
395.33	3.31	2.62	1805
412	3.25	999999	1897
446.05	3.78	2.53	2075
468.6	3.15	999999	2196
518.65	3.27	2.55	2468
523.6	4.13	999999	2495
538.33	3.11	2.53	2576
548.16	4.02	3.09	2628
578.6	3.7	999999	2796
592.35	3.85	3.05	2876
633.6	4.2	999999	3109
689.15	4.21	999999	3433
741.42	3.72	999999	3748
799.15	4.01	999999	4106
853.6	4.41	999999	4455
907.54	3.94	999999	4818
965.8	3.8	999999	5222
991.1	4.43	999999	5405
1018.63	3.93	999999	5605
1073.63	4.19	999999	6008
1122	3.99	2.89	6385
1172.6	4.13	3.38	6790
1212.2	3.55	2.99	7113
1237.07	3.97	3.07	7320
1265	3.26	2.78	7552
1292.5	4.55	999999	7810
1321.65	3.73	3.05	8045
1349.15	3.92	999999	8317
1403.6	4.03	3.11	8834
1459.15	4.31	3.13	9374
1513.6	4.16	2.94	9950
1569.14	3.55	2.4	10658
1618.1	3.75	2.62	11431
1625.78	2.91	999999	11609
1651.67	2.82	999999	12330
1679.15	3.17	999999	13050
1789.69	3.14	999999	15560
1899.14	2.5	999999	19090
1981.65	2.03	999999	22920
2063.92	2.44	1.81	27200
2091.1	2.89	2.09	28860
2118.6	2.76	1.93	30330
2146.42	2.96	1.94	31860
2173.6	3.4	999999	33540
2202.52	2.79	2.13	34920
2228.92	2.82	2.04	36970
2283.92	3.2	2.32	40850
2311.42	3.57	2.76	42580
2338.92	2.91	2.21	44680
2366.1	3.59	2.49	46870
2393.92	3.22	2.45	49070
2421.42	2.91	2.19	51100
2448.6	4.11	2.45	53900
2476.1	3.38	2.55	56300
2504.15	2.56	1.91	60400
2531.65	2.76	2	64900
2558.6	3.25	2.3	68500
2586.66	3.21	2.36	72700
2613.6	4.29	3.02	77200
2641.1	4.55	3.76	80800
2669.15	3.75	3.18	85800
2696.11	4.02	2.89	91500
2750.56	5.16	4.19	103400
2778.6	4.07	3.05	111000
2806.1	4.3	999999	999999
2833.61	3.8	999999	999999
2861.65	14	999999	999999
2889.15	4.3	999999	999999
2916.65	21.1	999999	999999
2923.75	5.4	999999	999999
2944.15	13.1	999999	999999
2970.56	21.4	999999	999999
2999.15	29.3	999999	999999
3022.25	33.3	999999	999999
