GRIP Ice Fabric

REFERENCES: 

Thorsteinsson, T., J. Kipfstuhl, and H. Miller. 1997. Textures and fabrics
in the GRIP ice core. Journal of Geophysical Research 102:26583-26599.

Thorsteinsson, T. 1996. Textures and Fabrics in the GRIP Ice Core, in
Relation to Climate History and Ice Deformation. Berichte zur
Polarforschung, PhD Thesis, University of Bremen, 146pp.

Tison, J.L., T. Thorsteinsson, R.D. Lorrain, and J. Kipfstuhl. 1994. Origin
and development of textures and fabrics in basal ice at Summit, Central
Greenland. Earth and Planetary Science Letters 125:421-437.

DATA DESCRIPTION:

The data making up the 36 fabric diagrams published in the article
(Thorstiensson, 1997) are included in this file. The depth and approximate
age is given for each data set. Ages are only given down to a depth of
2780 m (111 kyr), since the timescale is uncertain below this depth. Each
data point consists of A = azimuth of c-axis (0-360 deg), and I =
inclination (0-90 deg), with 0 deg = horizontal c-axis and 90 deg =
vertical c-axis. The measured inclination represent a projection into the
lower hemisphere of a Schmidt net, and have been refraction corrected
according to the recommendations of Kamb (1962). 

DATA:	

No. 1: GRIP - 139 m. Age = 0.535 kyr. n = 200 axes.	

A	I
222	57
83	5
335	68
64	36
230	38
155	34
265	33
73	79
335	71
126	22
317	61
204	27
263	33
50	65
162	10
318	67
175	24
306	1
269	41
330	81
172	59
190	55
340	24
358	0
298	55
39	25
0	3
264	26
251	31
81	57
36	55
189	30
175	23
353	65
105	70
131	24
198	49
258	51
108	22
258	82
293	79
243	27
266	61
145	57
13	38
84	27
189	1
353	47
5	74
1	9
43	77
246	20
305	32
57	71
299	29
349	7
118	55
145	56
175	42
222	76
150	18
352	71
51	82
291	55
68	80
178	5
338	36
191	19
147	38
357	41
161	26
44	24
354	64
9	3
59	30
115	41
316	80
300	23
291	76
168	32
69	2
181	5
129	43
2	19
247	40
356	43
189	69
188	82
269	54
84	76
314	28
5	12
79	88
222	55
133	33
151	21
209	59
204	29
102	78
250	30
58	0
249	82
90	79
106	30
17	37
66	27
21	51
95	82
355	25
38	70
102	15
291	68
57	23
5	68
11	21
289	38
106	30
10	46
2	71
80	70
176	54
188	23
11	34
213	42
187	3
333	73
233	85
165	3
165	17
341	63
162	71
101	12
282	41
250	72
143	80
53	61
145	19
19	41
339	1
105	24
66	9
305	77
48	66
88	25
85	71
36	2
133	79
107	32
81	5
9	21
268	79
163	18
319	24
280	73
163	26
210	5
107	19
163	48
142	78
207	10
62	14
311	6
16	41
41	53
39	83
57	25
126	30
235	42
53	79
310	65
151	11
173	29
85	34
118	26
85	26
268	85
355	23
201	55
338	63
233	59
340	49
178	4
182	74
147	40
221	29
259	27
171	76
153	3
90	73
47	45
241	35
189	31
139	6
217	19
219	1
342	30
278	41
100	80
345	17
92	28





No. 2: GRIP - 249 m. Age = 1.08 kyr. n = 200 axes.	

A	I
240	19
210	18
121	25
359	22
189	3
92	61
216	73
63	70
356	10
283	23
160	31
167	64
343	26
154	1
98	68
165	18
355	49
77	74
213	24
215	62
79	3
262	70
261	58
41	24
110	51
97	79
25	70
112	17
110	33
170	31
226	79
333	41
99	45
321	15
154	5
85	78
52	59
16	78
13	45
102	36
22	83
19	20
46	27
353	31
305	15
35	78
78	32
313	10
337	70
137	34
298	12
102	44
268	78
261	16
321	14
196	17
22	53
7	54
89	65
159	26
13	55
330	19
356	11
94	73
213	27
328	1
101	47
286	2
268	32
54	41
319	63
290	70
84	20
253	55
183	6
205	16
55	68
351	34
201	68
329	34
267	47
7	83
85	71
250	48
3	19
17	34
63	20
71	24
330	22
326	34
232	26
118	35
7	41
268	19
174	9
45	5
38	70
317	41
133	30
25	73
73	48
310	30
325	36
56	1
356	16
139	79
350	1
193	61
125	50
1	47
219	56
261	22
244	40
103	63
178	70
289	41
276	57
102	64
27	68
142	22
51	77
87	68
318	68
69	29
164	50
21	7
8	28
292	45
173	1
126	29
204	15
176	54
348	70
259	82
261	30
9	59
207	47
109	19
150	27
329	55
34	21
23	44
81	18
15	20
199	36
281	67
336	9
92	82
309	47
324	20
5	65
214	12
192	41
216	6
101	70
305	51
350	70
62	20
35	73
88	37
203	2
287	61
100	29
292	33
201	64
173	27
34	4
92	24
308	53
209	32
68	24
309	29
205	61
135	77
331	8
305	54
194	22
129	22
194	9
102	64
225	52
325	62
221	1
117	65
310	41
258	1
342	73
61	59
186	44
13	26
206	45
21	3
154	35
83	76
345	41
215	41
326	19
231	30
299	45
17	59




No. 3: GRIP - 359 m. Age = 1.64 kyr. n = 200 axes.	

A	I
269	22
169	29
109	19
281	37
91	41
74	58
274	82
171	45
8	73
323	31
121	35
111	35
217	16
42	4
281	30
41	73
54	65
306	73
174	31
17	47
207	70
274	79
345	64
221	59
318	63
359	59
160	37
45	68
311	0
189	75
171	35
231	26
290	16
89	18
167	59
315	14
279	59
290	70
176	45
290	43
282	17
354	59
281	52
171	24
315	70
291	54
197	78
153	27
313	73
325	35
47	32
145	63
178	61
50	64
338	76
348	49
81	84
14	36
62	57
217	56
313	36
196	58
290	79
135	57
298	15
44	78
262	55
172	57
233	27
277	53
274	70
115	61
165	72
105	64
14	11
224	73
248	8
134	34
21	33
224	50
257	34
118	65
197	62
178	51
90	26
325	74
246	47
222	27
214	47
178	59
142	55
343	43
271	1
4	73
211	37
185	48
202	35
261	45
28	59
244	38
304	52
186	59
56	4
158	24
49	16
137	67
138	78
113	29
354	7
65	89
140	61
244	52
202	63
351	65
142	64
349	57
153	45
61	20
313	55
270	63
215	51
188	53
248	47
14	20
199	49
188	59
321	31
157	26
235	21
19	29
328	83
145	34
357	4
298	31
185	59
53	20
330	60
151	68
129	46
257	50
120	51
55	65
86	36
101	51
54	69
135	56
8	51
17	79
165	46
264	18
5	38
145	53
228	58
297	47
299	24
55	55
241	38
187	18
244	6
318	79
165	3
79	67
301	61
126	32
355	23
51	71
307	5
111	26
334	11
51	21
189	52
157	46
119	58
349	1
171	65
14	57
77	82
109	69
288	60
5	83
110	15
242	53
314	15
274	2
83	26
7	25
81	76
72	12
155	70
176	48
13	55
327	4
337	50
286	62
324	20
357	60
18	46
291	65
108	77
158	35




No. 4: GRIP - 470 m. Age = 2.23 kyr. n = 200 axes.	

A	I
330	65
218	63
148	2
11	68
194	18
147	26
281	76
141	26
103	51
123	64
319	49
316	18
244	46
39	34
48	78
90	6
144	63
81	68
357	71
79	5
116	68
246	27
148	61
33	63
174	22
234	64
334	11
73	32
133	55
46	49
313	38
357	55
54	69
289	74
353	73
90	49
278	61
11	50
37	55
342	74
25	53
240	60
108	33
347	76
47	70
2	24
224	3
16	3
177	73
306	37
190	45
59	54
66	65
33	49
144	29
17	63
30	63
245	73
97	31
322	65
29	28
256	71
81	32
253	32
236	81
222	21
121	35
78	48
286	67
91	70
201	57
184	48
303	74
139	70
344	20
289	62
91	46
15	80
33	48
279	38
84	32
322	26
278	68
154	64
196	63
144	31
33	71
214	2
187	57
171	67
118	63
225	74
191	51
197	34
235	54
24	1
148	66
127	78
288	63
87	54
141	73
328	52
346	58
215	30
333	52
116	65
54	33
36	44
88	46
35	76
289	52
31	83
346	61
7	31
312	57
182	65
41	63
191	28
278	70
355	77
134	50
49	60
281	70
85	57
155	19
249	57
5	6
297	61
81	17
297	60
284	12
84	79
295	61
45	43
241	57
344	55
190	62
45	63
262	45
346	55
112	9
145	74
178	60
273	48
114	36
319	32
299	74
237	29
349	73
342	59
66	37
172	68
285	63
358	82
92	19
223	76
152	50
149	60
187	67
49	59
25	68
357	55
62	82
20	61
262	68
359	68
188	65
213	22
19	88
185	71
5	63
318	76
18	80
301	25
184	38
151	30
84	27
193	61
48	41
134	56
0	47
318	36
48	85
108	31
136	64
4	57
329	63
296	45
354	57
279	81
112	27
266	64
335	72
263	48
69	44
205	23
261	63
191	70
48	48
217	60





No. 5: GRIP - 579 m. Age = 2.82 kyr. n = 200 axes.	

A	I
345	65
67	73
223	65
49	55
246	67
281	82
177	38
198	64
111	34
204	56
261	40
292	26
97	69
89	36
325	74
118	70
307	44
6	71
153	54
261	37
3	76
112	53
192	5
35	26
59	63
41	74
358	23
69	24
243	35
265	45
52	30
276	68
93	57
214	51
100	49
263	89
335	77
125	70
271	49
134	9
115	50
60	28
237	38
110	60
163	48
135	54
10	68
82	28
94	1
259	52
301	85
37	44
301	36
112	79
168	46
187	55
178	62
252	51
226	22
173	67
68	75
331	73
115	67
121	19
357	17
254	82
335	71
251	7
250	35
34	62
280	49
117	54
285	31
223	82
167	24
119	64
243	19
77	73
264	65
261	79
144	32
254	24
74	78
72	50
92	41
205	68
270	41
136	44
69	24
32	28
242	82
339	57
203	32
201	61
142	59
171	65
231	8
209	57
291	73
225	19
72	31
226	40
60	0
172	67
195	60
104	83
189	67
199	26
215	70
317	79
146	18
225	63
79	53
209	63
221	71
16	71
54	38
306	85
282	4
