GRIP Basal Ice: Crystal Sizes	

REFERENCES:	

Thorsteinsson, T., J. Kipfstuhl, H. Eicken, S.J. Johnsen, and K. Fuhrer.
1995. Crystal size variations in Eemian-age ice from the GRIP ice core,
Central Greenland. Earth and Planetary Science Letters 131:381-394.

Wolff, E.W., and A.P. Reid. 1994. Capture and scanning electron microscopy
of indiviual snow crystals. Journal of Glaciology 40:195-197.

DATA DESCRIPTION:	

Depths are in meters.	
Crystal refers to the average horizontal crystal diameter in mm.	


DATA:	

Depth (m)	Crystal Size
Midpoint	(mm)
3022.26	33.3
3022.28	25
3022.3	20
3022.32	22
3022.34	25.8
3022.36	27.1
3022.38	27.5
3022.4	26
3022.42	21.1
3022.44	20
3022.46	13.4
3022.48	16.6
3022.5	11.4
3022.52	22.5
3022.54	5.5
3022.56	4.9
3022.58	4.7
3022.6	5.3
3022.62	11.3
3022.64	12.9
3022.66	11.4
3022.68	5.6
3022.7	5.3
3022.72	10.6
3022.74	6.3
3022.76	7.9
3022.78	4.8
3022.8	5.3
3022.82	15.4
3022.84	5.8
3022.86	4.8
3022.88	4.7
3022.9	4.7
3022.92	6.3
3022.94	5.5
3022.96	5.1
3022.98	3.9
3023	9.6
3023.02	8.7
3023.04	8.1
3023.06	5.7
3023.08	4.6
3023.1	5.1
3023.12	4.4
3023.14	4.8
3023.16	4.8
3023.18	4.9
3023.2	4.6
3023.22	4.4
3023.24	4.4
3023.26	4.1
3023.28	5.6
3023.3	9.5
3023.32	19
3023.34	23.8
3023.36	31.3
3023.38	23.5
3023.4	15.7
3023.42	23.5
3023.44	23.8
3023.46	19
3023.48	7
3023.5	6.4
3023.52	9.3
3023.54	13.3
3023.56	12.9
3023.58	11.3
3023.6	5.2
3023.62	3.7
3023.64	3.4
3023.66	3.6
3023.68	6.2
3023.7	3.6
3023.72	6.1
3023.74	7.2
3023.76	4.2
3023.78	3.2
3023.8	3.1
3023.82	3.3
3023.84	3.2
3023.86	3.1
3023.88	3.7
3023.9	4.2
3023.92	3.4
3023.94	3.1
3023.96	3.2
3023.98	3.9
3024	3.8
3024.02	3.2
3024.04	4.6
3024.06	4.3
3024.08	4
3024.1	3.7
3024.12	4.6
3024.14	3.7
3024.16	4.4
3024.18	3.6
3024.2	3.2
3024.22	3.8
3024.24	3.3
3024.26	3.2
3024.28	3.4
3024.3	3.1
3024.32	3
3024.34	3.4
3024.36	3.1
3024.38	3.1
3024.4	3.2
3024.42	3.5
3024.44	3.7
3024.46	3.4
3024.48	3.4
3024.5	3
3024.52	3.5
3024.54	3.7
3024.56	3
3024.58	3
3024.6	3.5
3024.62	3.7
3024.64	3.7
3024.66	3.4
