Kindler et al., 2014, Clim. Past;;;;;;;;;;;
Temperature reconstruction from 10 to 120 kyr b2k from the NGRIP ice core;;;;;;;;;;;
supplementary data file;;;;;;;;;;;
;;;;;;;;;;;
modelled NGRIP data ;;;;;;;;;;;
'the model was run using the ss09sea06bm time scale (NGRIP members, 2004; Anderson et al., 2006), additionally ages have been transformed to GICC05modelext time scale (Svensson et al., 2008; Wolff et al., 2010)';;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;ss09sea06bm;;GICC05modelext;
depth ;age ss09sea06bm ;age GICC05modelext;accumulation tuned;temperature;;;depth ;ice age;gas age ;ice age;gas age
[m];[yr];[yr];[m ice/yr];[°C];;;[m];[yr];[yr];[yr];[yr]
1381.57;10000;9965;0.190;-28.8;;;1381.30;9997;9768;9961;9700
1383.36;10020;9987;0.190;-29.1;;;1382.28;10008;9778;9974;9711
1385.10;10040;10010;0.189;-29.2;;;1383.17;10018;9788;9985;9722
1386.83;10060;10033;0.187;-29.2;;;1384.14;10029;9798;9997;9733
1388.51;10080;10056;0.186;-29.1;;;1385.10;10040;9808;10010;9744
1390.20;10100;10080;0.185;-28.9;;;1385.97;10050;9818;10021;9755
1391.90;10120;10102;0.185;-28.7;;;1386.92;10061;9829;10034;9768
1393.59;10140;10126;0.185;-28.7;;;1387.84;10072;9839;10047;9780
1395.28;10160;10149;0.185;-28.8;;;1388.68;10082;9849;10058;9791
1397.00;10180;10172;0.185;-29.1;;;1389.61;10093;9859;10071;9801
1398.72;10200;10194;0.183;-29.6;;;1390.54;10104;9869;10084;9812
1400.36;10220;10217;0.180;-30.1;;;1391.38;10114;9879;10096;9824
1401.97;10240;10239;0.176;-30.4;;;1392.32;10125;9889;10108;9839
1403.51;10260;10260;0.174;-30.6;;;1393.26;10136;9899;10121;9850
1405.03;10280;10280;0.172;-30.5;;;1394.18;10147;9909;10134;9861
1406.57;10300;10302;0.172;-30.3;;;1395.03;10157;9919;10146;9872
1408.18;10320;10324;0.172;-30.1;;;1395.95;10168;9929;10159;9883
1409.81;10340;10346;0.172;-30.2;;;1396.91;10179;9939;10171;9894
1411.37;10360;10369;0.172;-30.4;;;1397.77;10189;9949;10182;9906
1412.89;10380;10391;0.171;-30.7;;;1398.72;10200;9959;10194;9917
1414.40;10400;10414;0.171;-31.0;;;1399.63;10211;9969;10207;9929
1415.95;10420;10437;0.172;-31.2;;;1400.44;10221;9979;10218;9940
1417.52;10440;10460;0.173;-31.1;;;1401.33;10232;9989;10230;9952
1419.06;10460;10483;0.175;-30.9;;;1402.21;10243;9999;10242;9963
1420.64;10480;10506;0.175;-30.7;;;1403.06;10254;10009;10254;9975
1422.22;10500;10530;0.175;-30.7;;;1403.89;10265;10019;10265;9986
1423.80;10520;10554;0.175;-31.0;;;1404.72;10276;10029;10276;9997
1425.35;10540;10577;0.174;-31.3;;;1405.64;10288;10039;10289;10009
1426.88;10560;10599;0.174;-31.3;;;1406.49;10299;10049;10301;10020
1428.41;10580;10623;0.173;-31.2;;;1407.38;10310;10059;10313;10032
1429.90;10600;10646;0.173;-30.9;;;1408.26;10321;10069;10325;10043
1431.45;10620;10669;0.173;-30.7;;;1409.25;10333;10079;10338;10055
1433.02;10640;10693;0.173;-30.8;;;1410.12;10344;10089;10350;10066
1434.55;10660;10716;0.172;-31.1;;;1411.06;10356;10099;10364;10078
1436.04;10680;10739;0.171;-31.4;;;1411.91;10367;10109;10377;10090
1437.54;10700;10762;0.170;-31.7;;;1412.74;10378;10119;10389;10101
1439.02;10720;10785;0.168;-32.0;;;1413.64;10390;10129;10403;10113
1440.48;10740;10809;0.166;-32.3;;;1414.47;10401;10139;10415;10125
1441.96;10760;10832;0.164;-32.8;;;1415.41;10413;10149;10429;10136
1443.40;10780;10854;0.160;-33.5;;;1416.27;10424;10159;10441;10148
1444.76;10800;10874;0.156;-34.3;;;1417.13;10435;10169;10454;10160
1446.07;10820;10896;0.153;-34.8;;;1417.98;10446;10180;10467;10172
1447.38;10840;10917;0.152;-35.0;;;1418.75;10456;10190;10479;10183
1448.69;10860;10941;0.151;-34.7;;;1419.61;10467;10200;10491;10194
1450.01;10880;10962;0.152;-34.2;;;1420.40;10477;10210;10503;10206
1451.32;10900;10985;0.154;-33.7;;;1421.28;10488;10220;10516;10217
