### Lecavalier et al., 2013 Revised estimates of Greenland ice sheet thinning histories based on ice-core records;;;;;;;;;;;;;;;;;;;
###;;;;;;;;;;;;;;;;;;;
### Holocene Thinning Curves (TC);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Site A corrected;Site B corrected;total uncertainty (m);;;Site A corrected;Site B corrected;total uncertainty (m);;;Site A corrected;Site B corrected;total uncertainty (m);;;Site A corrected;Site B corrected;total uncertainty (m);
Time (ka);GRIP TC (m);GRIP TC (m);Upper bound;Lower bound;;NGRIP TC (m);NGRIP TC (m);Upper bound;Lower bound;;DYE-3 TC (m);DYE-3 TC (m);Upper bound;Lower bound;;Camp Century TC (m);Camp Century TC (m);Upper bound;Lower bound
-0.04;0;0;68;-68;;-0.020188167;-0.020188167;67.979811833;-68.020188167;;0;0;72;-72;;0;0;72;-72
-0.06;0.396545108624196;0.398811213887257;68.3988112138873;-67.6034548913758;;0.335942059060215;0.342461216954319;68.3424612169543;-67.6640579409398;;1.28815197472718;1.27825007998958;73.2881519747272;-70.7217499200104;;-0.126366650852479;-0.116563282432285;71.8834367175677;-72.1263666508525
-0.08;0.826974125666538;0.831506336194707;68.8315063361947;-67.1730258743335;;0.706776763820243;0.719815079612089;68.7198150796121;-67.2932232361798;;2.55157354808449;2.53176975860828;74.5515735480845;-69.4682302413917;;-0.242659196618003;-0.223052459772045;71.776947540228;-72.242659196618
-0.1;1.28817942365504;1.29497919207665;69.2949791920767;-66.711820576345;;1.09328059158656;1.11284224421751;69.1128422442175;-66.9067194084135;;3.80599054884025;3.7762785172611;75.8059905488403;-68.2237214827389;;-0.368308483734214;-0.338892094260817;71.6611079057392;-72.3683084837342
-0.12;1.7797751169071;1.78884099059155;69.7888409905916;-66.2202248830929;;1.49028471877506;1.51636552930114;69.5163655293011;-66.5097152812249;;5.04280402779913;5.00319010148238;77.0428040277991;-66.9968098985176;;-0.49031845171744;-0.451098693822769;71.5489013061772;-72.4903184517174
-0.14;2.29460063944066;2.30680855523019;70.3068085552302;-65.7053993605593;;1.87687256415673;1.91199243784009;69.9119924378401;-66.1231274358433;;6.31550252646165;6.26215924224929;78.3155025264616;-65.7378407577507;;-0.665629227409693;-0.612816722147511;71.3871832778525;-72.6656292274097
-0.16;2.74447771110908;2.75988577426733;70.7598857742673;-65.2555222888909;;2.20728688074851;2.25161297548462;70.2516129754846;-65.7927131192515;;7.38034154333481;7.31301500649262;79.3803415433348;-64.6869849935074;;-0.888507478931546;-0.821850857881304;71.1781491421187;-72.8885074789315
-0.18;3.22306106759424;3.24166927812166;71.2416692781217;-64.7769389324058;;2.55623826316727;2.60977057895624;70.6097705789562;-65.4437617368327;;8.41383132734985;8.3325215378776;80.4138313273498;-63.6674784621224;;-1.11292355703682;-1.032422820195;70.967577179805;-73.1129235570368
-0.2;3.71987678853429;3.74168369379845;71.7416836937985;-64.2801232114657;;2.91318458228852;2.9759189401833;70.9759189401833;-65.0868154177115;;9.39861676514554;9.30333007040858;81.3986167651455;-62.6966699295914;;-1.34009688430603;-1.24575831588566;70.7542416841143;-73.340096884306
-0.22;4.25108158169019;4.27608863432283;72.2760886343228;-63.7489184183098;;3.28976704350245;3.3617076224501;71.3617076224501;-64.7102329564976;;10.3528056805892;10.2435357332198;82.3528056805892;-61.7564642667802;;-1.5725382278004;-1.46435554358969;70.5356444564103;-73.5725382278004
-0.24;4.81515504282083;4.84336224282129;72.8433622428213;-63.1848449571792;;3.68844333152678;3.76959013152604;71.769590131526;-64.3115566684732;;11.2766428682489;11.1533896682483;83.2766428682489;-60.8466103317517;;-1.80643264398983;-1.68440584398987;70.3155941560101;-73.8064326439898
-0.26;5.40255798732778;5.43458560838053;73.4345856083805;-62.5974420126722;;4.07394095084873;4.16607838242703;72.166078382427;-63.9260590491513;;12.2038515892755;12.0639048103285;84.2038515892755;-59.9360951896715;;-2.07358016671849;-1.93502589303442;70.0649741069656;-74.0735801667185
