/* DATA DESCRIPTION:
Citation:	Lecavalier, Benoit; Fisher, David A; Milne, Glenn A; Vinther, Bo M; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Bill; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur (2019): Elevation history of Camp Century, Greenland. PANGAEA, https://doi.org/10.1594/PANGAEA.904114, 
	In supplement to: Lecavalier, B et al. (2017): High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution. Proceedings of the National Academy of Sciences, 114(23), 5952-5957, https://doi.org/10.1073/pnas.1616287114
Keyword(s):	Agassiz ice cap; Canadian Arctic; Greenland ice sheet; Holocene climate; ice core; temperature reconstruction
Coverage:	LATITUDE: 77.166000 * LONGITUDE: -61.133000
Event(s):	Camp_Century * LATITUDE: 77.166000 * LONGITUDE: -61.133000 * LOCATION: Greenland * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Surface elevation change [m] (Surf elev change) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: elevation history
	Surface elevation change [m] (Surf elev change) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma upper
	Surface elevation change [m] (Surf elev change) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma lower
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1752 data points
*/
Age [ka BP]	Surf elev change [m] (elevation history)	Surf elev change [m] (2 sigma upper)	Surf elev change [m] (2 sigma lower)
0.04	0.000000000	104.965517200	-111.883469400
0.06	-0.486521172	104.337594600	-112.464888800
0.08	-0.955501486	103.726116600	-113.030896500
0.10	-1.428987789	103.107838800	-113.602579200
0.12	-1.893882752	102.496463500	-114.167486900
0.14	-2.431808153	101.895816200	-114.722134800
0.16	-2.969390210	101.299036000	-115.272738200
0.18	-3.497450518	100.709928600	-115.815830300
0.20	-4.013087365	100.131458400	-116.348708300
0.22	-4.523896557	99.555575840	-116.878667000
0.24	-5.024413677	98.987973390	-117.400527600
0.26	-5.566063595	98.431320550	-117.911856000
0.28	-6.113525521	97.873720400	-118.423440000
0.30	-6.645112079	97.330083090	-118.921735700
0.32	-7.169761692	96.790958090	-119.415311700
0.34	-7.680076177	96.264066800	-119.897150500
0.36	-8.180802717	95.744388590	-120.371801200
0.38	-8.705700849	95.229827460	-120.841159200
0.40	-9.228607738	94.721848010	-121.303888700
0.42	-9.741298907	94.221644840	-121.758900400
0.44	-10.243539230	93.729448480	-122.205980900
0.46	-10.740600800	93.239709910	-122.650164200
0.48	-11.229135990	92.755946250	-123.088256300
0.50	-11.726031030	92.277838130	-123.520546800
0.52	-12.224292280	91.800908300	-123.951100800
0.54	-12.715167230	91.328805090	-124.376609100
0.56	-13.204073670	90.855869960	-124.802211900
0.58	-13.687293160	90.386054370	-125.224327900
0.60	-14.166879310	89.917248170	-125.644879100
0.62	-14.655040750	89.443693180	-126.069100500
0.64	-15.149781910	88.963585340	-126.498639000
0.66	-15.641322750	88.484261010	-126.926847400
0.68	-16.129676160	88.005781300	-127.353686900
0.70	-16.613298020	87.529872750	-127.777609300
