/* DATA DESCRIPTION:
Citation:	Lecavalier, Benoit; Fisher, David A; Milne, Glenn A; Vinther, Bo M; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Bill; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur (2019): Summer temperature record from the Agassiz ice cap, Greenland. PANGAEA, https://doi.org/10.1594/PANGAEA.904115, 
	In supplement to: Lecavalier, B et al. (2017): High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution. Proceedings of the National Academy of Sciences, 114(23), 5952-5957, https://doi.org/10.1073/pnas.1616287114
Keyword(s):	Agassiz ice cap; Canadian Arctic; Greenland ice sheet; Holocene climate; ice core; temperature reconstruction
Coverage:	LATITUDE: 80.666670 * LONGITUDE: -73.500000
	MINIMUM ELEVATION: 1730.0 m * MAXIMUM ELEVATION: 1730.0 m
Event(s):	Agassiz_IceCap * LATITUDE: 80.666670 * LONGITUDE: -73.500000 * ELEVATION: 1730.0 m * LOCATION: Ellesmere Island, Canadian Arctic Archipelago (URI: http://en.wikipedia.org/wiki/Ellesmere_island) * METHOD/DEVICE: Ice measurement (ICEM)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Melt fraction [%] (Melt frac) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Melt fraction [%] (Melt frac) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma upper
	Melt fraction [%] (Melt frac) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma lower
	Temperature, summer [°C] (T sum) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: June-August
	Temperature, summer [°C] (T sum) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: , 2 sigma upper, June-August
	Temperature, summer [°C] (T sum) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: , 2 sigma lower, June-August
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	2730 data points
*/
Age [ka BP]	Melt frac [%]	Melt frac [%] (2 sigma upper)	Melt frac [%] (2 sigma lower)	T sum [°C] (June-August)	T sum [°C] (, 2 sigma upper, June-August)	T sum [°C] (, 2 sigma lower, June-August)
0.016	35.609	36.214353	35.003647	-6.462848435	-6.148141953	-6.773916746
0.041	19.661	19.995237	19.326763	-7.137860162	-6.883356263	-7.390355296
0.066	20.856	21.210552	20.501448	-7.087726262	-6.828711322	-7.344610345
0.091	16.216	16.491672	15.940328	-7.284325337	-7.042826072	-7.524167813
0.116	7.061	7.181037	6.940963	-7.671943699	-7.452619919	-7.890546056
0.141	11.571	11.767707	11.374293	-7.481795199	-7.226096485	-7.736311704
0.166	3.613	3.674421	3.551579	-7.818856079	-7.573848258	-8.063494760
0.191	3.030	3.081510	2.978490	-7.844065084	-7.581908047	-8.105912546
0.216	2.161	2.197737	2.124263	-7.881367599	-7.603140976	-8.159373433
0.241	6.585	6.696945	6.473055	-7.694855609	-7.380578696	-8.008459733
0.266	1.194	1.214298	1.173702	-7.923370894	-7.610094628	-8.236525169
0.291	2.903	2.952351	2.853649	-7.851662679	-7.512585058	-8.190443701
0.316	0.491	0.499347	0.482653	-7.954210949	-7.604888459	-8.303483274
0.341	2.546	2.589282	2.502718	-7.867872124	-7.491442153	-8.244041970
0.366	4.894	4.977198	4.810802	-7.769143794	-7.364500287	-8.173287281
0.391	2.008	2.042136	1.973864	-7.891735154	-7.478636095	-8.304629056
0.416	5.087	5.173479	5.000521	-7.762096489	-7.318024420	-8.205648819
0.441	4.115	4.184955	4.045045	-7.803754359	-7.344001522	-8.263086766
0.466	3.149	3.202533	3.095467	-7.845158519	-7.369702265	-8.320293040
0.491	4.367	4.441239	4.292761	-7.794212239	-7.294808120	-8.293170182
0.516	4.409	4.483953	4.334047	-7.793065772	-7.286537105	-8.299143971
0.541	3.324	3.380508	3.267492	-7.839615367	-7.337182499	-8.341708621
0.566	2.110	2.145870	2.074130	-7.891619727	-7.393769625	-8.389254250
0.591	7.985	8.120745	7.849255	-7.643865722	-7.123837906	-8.163077710
0.616	1.868	1.899756	1.836244	-7.903193437	-7.406256868	-8.399939152
0.641	0.998	1.014966	0.981034	-7.940651757	-7.446999377	-8.434202171
0.666	5.455	5.547735	5.362265	-7.752857882	-7.242380639	-8.262777788
0.691	5.154	5.241618	5.066382	-7.766256037	-7.256915048	-8.275070442
0.716	6.328	6.435576	6.220424	-7.717283817	-7.203511060	-8.230410042
0.741	1.600	1.627200	1.572800	-7.917877667	-7.421952779	-8.413639083
0.766	0.146	0.148482	0.143518	-7.980030427	-7.489594287	-8.470451650
0.791	1.620	1.647540	1.592460	-7.918372707	-7.422372320	-8.414207578
