/* DATA DESCRIPTION:
Citation:	Lecavalier, Benoit; Fisher, David A; Milne, Glenn A; Vinther, Bo M; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Bill; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur (2019): Oxygen isotope ratio and reconstructed temperature record from the Agassiz ice cap, Greenland. PANGAEA, https://doi.org/10.1594/PANGAEA.904113, 
	In supplement to: Lecavalier, B et al. (2017): High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution. Proceedings of the National Academy of Sciences, 114(23), 5952-5957, https://doi.org/10.1073/pnas.1616287114
Keyword(s):	Agassiz ice cap; Canadian Arctic; Greenland ice sheet; Holocene climate; ice core; temperature reconstruction
Coverage:	LATITUDE: 80.666670 * LONGITUDE: -73.500000
	MINIMUM ELEVATION: 1730.0 m * MAXIMUM ELEVATION: 1730.0 m
Event(s):	Agassiz_IceCap * LATITUDE: 80.666670 * LONGITUDE: -73.500000 * ELEVATION: 1730.0 m * LOCATION: Ellesmere Island, Canadian Arctic Archipelago (URI: http://en.wikipedia.org/wiki/Ellesmere_island) * METHOD/DEVICE: Ice measurement (ICEM)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Temperature, air, annual mean [°C] (MAAT) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Temperature, air, annual mean [°C] (MAAT) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma upper
	Temperature, air, annual mean [°C] (MAAT) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma lower
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: Agassiz alt cor
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: filter
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: upper corrected
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: lower corrected
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	3848 data points
*/
Age [ka BP]	δ18O H2O [‰ SMOW]	MAAT [°C]	MAAT [°C] (2 sigma upper)	MAAT [°C] (2 sigma lower)	δ18O H2O [‰ SMOW] (Agassiz alt cor)	δ18O H2O [‰ SMOW] (filter)	δ18O H2O [‰ SMOW] (upper corrected)	δ18O H2O [‰ SMOW] (lower corrected)
0.000	-26.380	3.529	3.865	3.193	-26.380000	-26.893300	-26.380000	-26.380000
0.025	-26.070	4.179	4.578	3.782	-26.070517	-27.016817	-26.070000	-26.070000
0.050	-27.301	1.593	1.747	1.443	-27.302034	-27.154434	-27.301000	-27.301000
0.075	-27.363	1.462	1.605	1.326	-27.364551	-27.301351	-27.363000	-27.363000
0.100	-27.401	1.381	1.517	1.253	-27.403068	-27.449868	-27.401000	-27.401000
0.125	-27.618	0.924	1.018	0.841	-27.620646	-27.591346	-27.618000	-27.618000
0.150	-28.081	-0.050	0.663	-0.717	-28.084224	-27.718424	-27.772392	-28.437945
0.175	-28.277	-0.462	0.211	-1.090	-28.280803	-27.827603	-27.969107	-28.634396
0.200	-27.772	0.597	1.370	-0.131	-27.776381	-27.919381	-27.464823	-28.129847
0.225	-27.581	0.997	1.808	0.231	-27.585959	-27.996659	-27.274538	-27.939299
0.250	-27.942	0.237	0.976	-0.456	-27.947538	-28.060638	-27.636253	-28.300750
0.275	-28.556	-1.053	-0.438	-1.624	-28.562116	-28.110116	-28.250969	-28.915201
0.300	-28.526	-0.991	-0.370	-1.568	-28.532694	-28.142294	-28.221684	-28.885653
0.325	-28.104	-0.106	0.599	-0.767	-28.111273	-28.156073	-27.800400	-28.464104
0.350	-28.141	-0.185	0.512	-0.838	-28.148851	-28.154251	-27.838115	-28.501555
0.375	-28.208	-0.327	0.356	-0.966	-28.216429	-28.143029	-27.905830	-28.569007
0.400	-27.967	0.178	0.909	-0.509	-27.976008	-28.129108	-27.665546	-28.328458
0.425	-27.925	0.265	1.004	-0.430	-27.934586	-28.116686	-27.624261	-28.286909
0.450	-28.040	0.022	0.738	-0.649	-28.050165	-28.105865	-27.739977	-28.402361
0.475	-28.218	-0.353	0.326	-0.988	-28.228743	-28.093543	-27.918692	-28.580812
0.500	-28.387	-0.709	-0.064	-1.310	-28.398321	-28.076321	-28.088407	-28.750263
0.525	-28.183	-0.282	0.403	-0.924	-28.195027	-28.053227	-27.885285	-28.546810
0.550	-27.668	0.798	1.586	0.054	-27.680732	-28.026232	-27.371162	-28.032356
0.575	-27.970	0.162	0.889	-0.521	-27.983437	-27.999237	-27.674039	-28.334902
0.600	-27.970	0.161	0.887	-0.522	-27.984143	-27.975943	-27.674916	-28.335449
0.625	-27.815	0.485	1.242	-0.229	-27.829848	-27.957548	-27.520793	-28.180995
0.650	-27.967	0.164	0.890	-0.519	-27.982554	-27.942854	-27.673671	-28.333541
0.675	-28.105	-0.127	0.571	-0.782	-28.121259	-27.928759	-27.812548	-28.472088
0.700	-27.759	0.598	1.364	-0.125	-27.775964	-27.912464	-27.467425	-28.126634
