NEEM bottom depth;Age at bottom of sample;Acc mean;Acc min;Acc max;2 sigma
(m);(years b2k);(m/year i.e.);(m/year i.e.);(m/year i.e.);(m/year i.e.)
12.96;20;0.2240;0.2200;0.2280;0.0113
19.99;40;0.2260;0.2216;0.2305;0.0126
26.38;60;0.2247;0.2192;0.2302;0.0156
32.41;80;0.2277;0.2220;0.2334;0.0161
38.48;100;0.2270;0.2212;0.2328;0.0164
44.22;120;0.2254;0.2208;0.2301;0.0132
49.76;140;0.2254;0.2191;0.2317;0.0165
55.10;160;0.2246;0.2171;0.2310;0.0176
60.30;180;0.2258;0.2180;0.2331;0.0178
65.32;200;0.2222;0.2149;0.2293;0.0165
70.20;220;0.2202;0.2131;0.2272;0.0155
74.98;240;0.2197;0.2129;0.2267;0.0147
79.70;260;0.2197;0.2123;0.2271;0.0155
84.33;280;0.2188;0.2128;0.2248;0.0127
88.88;300;0.2185;0.2137;0.2240;0.0107
93.38;320;0.2180;0.2145;0.2217;0.0075
97.87;340;0.2196;0.2154;0.2234;0.0084
102.33;360;0.2205;0.2164;0.2238;0.0078
106.77;380;0.2212;0.2171;0.2242;0.0074
111.16;400;0.2213;0.2172;0.2243;0.0075
115.55;420;0.2217;0.2174;0.2250;0.0080
119.90;440;0.2210;0.2169;0.2241;0.0076
124.20;460;0.2202;0.2157;0.2233;0.0080
128.44;480;0.2198;0.2152;0.2243;0.0098
132.73;500;0.2214;0.2149;0.2279;0.0135
136.99;520;0.2215;0.2150;0.2282;0.0137
141.26;540;0.2216;0.2153;0.2284;0.0137
145.50;560;0.2218;0.2156;0.2287;0.0137
149.73;580;0.2221;0.2160;0.2288;0.0135
154.00;600;0.2233;0.2171;0.2302;0.0138
158.27;620;0.2225;0.2169;0.2285;0.0121
162.44;640;0.2202;0.2166;0.2245;0.0084
166.55;660;0.2197;0.2147;0.2254;0.0111
170.63;680;0.2193;0.2147;0.2244;0.0102
174.75;700;0.2202;0.2150;0.2261;0.0116
178.85;720;0.2213;0.2154;0.2291;0.0145
182.90;740;0.2204;0.2146;0.2289;0.0152
186.95;760;0.2210;0.2152;0.2289;0.0144
190.97;780;0.2207;0.2149;0.2288;0.0147
195.02;800;0.2217;0.2172;0.2288;0.0125
199.09;820;0.2226;0.2174;0.2300;0.0135
203.13;840;0.2224;0.2173;0.2293;0.0128
207.21;860;0.2226;0.2174;0.2286;0.0118
211.28;880;0.2234;0.2174;0.2299;0.0128
215.31;900;0.2226;0.2165;0.2293;0.0131
219.33;920;0.2223;0.2155;0.2294;0.0142
223.32;940;0.2218;0.2143;0.2290;0.0149
227.31;960;0.2219;0.2147;0.2294;0.0150
231.26;980;0.2221;0.2151;0.2296;0.0149
235.17;1000;0.2218;0.2158;0.2285;0.0131
239.11;1020;0.2223;0.2175;0.2277;0.0105
