Holocene site elevation data presented in Vinther et al., 2009 
Original File name Vinther_etal_2009_data_29sep2009.xls 
All ages are given in years b2k (years relative to A.D. 2000). 
Age values refer to the bottom of each interval. 
Thus the age value 60 b2k refer to the interval 40 - 60 b2k. 
Site elevation data has been corrected for upstream effects.  
These are the data shown in fig. 2a. 
The estimated 1-sigma uncertainties on both site elevation data 
are +/- 40 m for GRIP and NGRIP, and +/- 65 m for Camp Century 
and DYE-3 (see Vinther et al., 2009 suppl. inf. for details).

Age    CampCentury     NGRIP       GRIP      DYE-3
         Site elev. Site elev. Site elev. Site elev.
(yrs        change     change     change     change
b2k)           (m)        (m)        (m)        (m)
40             0.0        0.0        0.0        0.0
60            -0.5        0.1       -0.1        0.0
80            -1.0        0.3       -0.2        0.0
100           -1.5        0.4       -0.2        0.0
120           -2.1        0.6       -0.2        0.1
140           -2.6        0.8       -0.2        0.1
160           -3.1        1.0       -0.1        0.1
180           -3.7        1.3        0.0        0.1
200           -4.2        1.5        0.2        0.2
220           -4.8        1.8        0.4        0.2
240           -5.3        2.1        0.6        0.2
260           -5.9        2.4        0.9        0.3
280           -6.5        2.7        1.3        0.3
300           -7.1        3.1        1.7        0.4
320           -7.7        3.5        2.1        0.4
340           -8.3        3.9        2.5        0.5
360           -8.9        4.3        3.1        0.5
380           -9.5        4.7        3.6        0.5
400          -10.2        5.2        4.2        0.6
420          -10.9        5.7        4.8        0.6
440          -11.5        6.2        5.5        0.7
460          -12.2        6.7        6.1        0.8
480          -13.0        7.2        6.9        0.8
500          -13.7        7.8        7.6        0.9
520          -14.5        8.3        8.4        0.9
540          -15.2        8.9        9.2        1.0
560          -16.0        9.5       10.0        1.1
580          -16.8       10.1       10.8        1.2
600          -17.7       10.8       11.6        1.3
620          -18.5       11.4       12.5        1.4
640          -19.4       12.0       13.3        1.5
660          -20.3       12.7       14.2        1.6
680          -21.2       13.3       15.1        1.8
700          -22.2       14.0       15.9        1.9
720          -23.1       14.7       16.8        2.1
740          -24.1       15.3       17.6        2.2
760          -25.0       16.0       18.5        2.4
780          -26.0       16.6       19.3        2.6
800          -27.0       17.3       20.1        2.8
820          -28.0       18.0       20.9        3.1
840          -29.1       18.6       21.7        3.3
860          -30.1       19.2       22.4        3.6
880          -31.1       19.9       23.1        3.8
900          -32.1       20.5       23.9        4.1
920          -33.1       21.1       24.5        4.4
940          -34.1       21.7       25.2        4.7
960          -35.1       22.2       25.8        5.0
980          -36.1       22.8       26.4        5.3
1000         -37.1       23.3       27.0        5.6
1020         -38.0       23.8       27.6        5.9
1040         -38.9       24.3       28.1        6.2
1060         -39.8       24.8       28.6        6.5
1080         -40.7       25.2       29.1        6.7
1100         -41.6       25.7       29.6        7.0
1120         -42.4       26.1       30.0        7.3
1140         -43.2       26.5       30.4        7.5
1160         -43.9       26.8       30.8        7.7
1180         -44.6       27.2       31.2        7.8
1200         -45.3       27.5       31.5        8.0
1220         -45.9       27.8       31.9        8.1
1240         -46.6       28.1       32.2        8.1
1260         -47.1       28.3       32.4        8.2
1280         -47.6       28.6       32.7        8.1
1300         -48.1       28.8       32.9        8.1
1320         -48.6       29.0       33.1        7.9
1340         -49.0       29.1       33.3        7.8
1360         -49.3       29.2       33.4        7.6
1380         -49.6       29.4       33.5        7.3
1400         -49.9       29.4       33.6        7.0
1420         -50.1       29.5       33.7        6.6
1440         -50.3       29.5       33.7        6.2
1460         -50.5       29.5       33.7        5.7
1480         -50.6       29.5       33.6        5.2
1500         -50.7       29.5       33.5        4.6
1520         -50.7       29.4       33.4        4.0
1540         -50.7       29.3       33.3        3.4
1560         -50.6       29.2       33.1        2.7
1580         -50.5       29.0       32.8        2.0
1600         -50.4       28.8       32.6        1.2
1620         -50.2       28.6       32.3        0.5
1640         -50.1       28.4       31.9       -0.3
1660         -49.8       28.2       31.5       -1.1
1680         -49.6       27.9       31.1       -1.9
1700         -49.3       27.6       30.6       -2.7
1720         -49.0       27.3       30.1       -3.6
1740         -48.6       27.0       29.5       -4.4
1760         -48.3       26.6       29.0       -5.2
1780         -47.9       26.3       28.3       -6.0
1800         -47.5       25.9       27.7       -6.8
1820         -47.0       25.5       27.0       -7.5
1840         -46.6       25.2       26.3       -8.3
1860         -46.1       24.8       25.6       -9.0
1880         -45.6       24.4       24.9       -9.6
1900         -45.1       24.1       24.1      -10.3
1920         -44.6       23.7       23.4      -10.9
1940         -44.1       23.4       22.6      -11.5
1960         -43.6       23.1       21.8      -12.0
1980         -43.0       22.8       21.0      -12.4
2000         -42.5       22.5       20.3      -12.9
2020         -41.9       22.2       19.5      -13.3
2040         -41.4       22.0       18.7      -13.6
2060         -40.8       21.8       18.0      -13.9
2080         -40.3       21.6       17.3      -14.1
2100         -39.7       21.4       16.6      -14.3
2120         -39.2       21.3       15.9      -14.5
2140         -38.6       21.2       15.3      -14.6
2160         -38.0       21.2       14.6      -14.7
2180         -37.5       21.1       14.1      -14.7
2200         -36.9       21.2       13.5      -14.7
2220         -36.4       21.2       13.0      -14.6
2240         -35.8       21.3       12.6      -14.6
2260         -35.3       21.4       12.2      -14.4
2280         -34.7       21.5       11.8      -14.3
2300         -34.2       21.7       11.5      -14.1
2320         -33.6       21.9       11.3      -13.9
2340         -33.1       22.1       11.1      -13.7
2360         -32.5       22.4       11.0      -13.5
2380         -32.0       22.6       10.9      -13.2
2400         -31.4       22.9       10.9      -12.9
2420         -30.9       23.2       10.9      -12.7
2440         -30.3       23.6       11.0      -12.4
2460         -29.8       23.9       11.2      -12.1
2480         -29.2       24.3       11.4      -11.8
2500         -28.7       24.6       11.7      -11.5
2520         -28.2       25.0       12.0      -11.2
2540         -27.6       25.4       12.4      -10.9
2560         -27.1       25.8       12.8      -10.6
2580         -26.6       26.2       13.3      -10.3
2600         -26.0       26.6       13.8      -10.0
2620         -25.5       27.0       14.4       -9.7
2640         -25.0       27.4       14.9       -9.5
2660         -24.5       27.8       15.6       -9.2
2680         -24.1       28.2       16.2       -9.0
2700         -23.6       28.6       16.9       -8.8
2720         -23.2       29.1       17.6       -8.7
2740         -22.8       29.5       18.3       -8.5
2760         -22.4       29.9       19.1       -8.4
2780         -22.1       30.3       19.8       -8.3
2800         -21.8       30.6       20.5       -8.2
2820         -21.5       31.0       21.3       -8.2
2840         -21.2       31.4       22.0       -8.1
2860         -21.0       31.8       22.8       -8.2
2880         -20.9       32.1       23.5       -8.2
2900         -20.8       32.5       24.2       -8.3
2920         -20.7       32.8       24.9       -8.4
2940         -20.7       33.2       25.6       -8.5
2960         -20.7       33.5       26.2       -8.7
2980         -20.8       33.8       26.8       -8.9
3000         -21.0       34.1       27.4       -9.2
3020         -21.2       34.4       28.0       -9.4
3040         -21.5       34.7       28.5       -9.7
3060         -21.9       35.0       29.0      -10.1
3080         -22.3       35.2       29.5      -10.4
3100         -22.7       35.5       29.9      -10.8
3120         -23.3       35.7       30.3      -11.2
3140         -23.9       35.9       30.7      -11.6
3160         -24.6       36.1       31.1      -12.1
3180         -25.3       36.3       31.4      -12.5
3200         -26.1       36.5       31.7      -13.0
3220         -27.0       36.7       32.0      -13.5
3240         -27.9       36.8       32.2      -14.0
3260         -28.9       37.0       32.4      -14.5
3280         -29.9       37.2       32.6      -15.0
3300         -31.0       37.3       32.8      -15.4
3320         -32.2       37.4       33.0      -15.9
3340         -33.4       37.6       33.2      -16.4
3360         -34.6       37.7       33.3      -16.9
3380         -35.9       37.8       33.5      -17.3
3400         -37.3       37.9       33.6      -17.7
3420         -38.6       38.1       33.8      -18.2
3440         -40.1       38.2       33.9      -18.5
3460         -41.5       38.3       34.1      -18.9
3480         -43.0       38.5       34.2      -19.2
3500         -44.5       38.6       34.4      -19.5
3520         -46.0       38.8       34.6      -19.8
3540         -47.6       38.9       34.8      -20.0
3560         -49.2       39.1       35.0      -20.2
3580         -50.7       39.3       35.2      -20.4
3600         -52.3       39.5       35.4      -20.5
3620         -53.9       39.7       35.7      -20.6
3640         -55.5       39.9       35.9      -20.7
3660         -57.1       40.1       36.2      -20.7
3680         -58.7       40.4       36.5      -20.7
3700         -60.3       40.6       36.8      -20.6
3720         -61.8       40.9       37.1      -20.5
3740         -63.4       41.1       37.5      -20.4
3760         -64.9       41.4       37.9      -20.2
3780         -66.4       41.7       38.3      -20.1
3800         -67.9       41.9       38.7      -19.8
3820         -69.4       42.2       39.1      -19.6
3840         -70.8       42.5       39.6      -19.3
3860         -72.2       42.7       40.1      -19.0
3880         -73.6       43.0       40.5      -18.7
3900         -74.9       43.2       41.1      -18.4
3920         -76.2       43.5       41.6      -18.0
3940         -77.4       43.7       42.2      -17.7
3960         -78.6       43.9       42.7      -17.3
3980         -79.7       44.1       43.3      -16.9
4000         -80.8       44.3       44.0      -16.5
